,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
区域,0,0,0,20,0,1,0,21,2.7416666666666667
电子,0,0,1,31,3,0,0,35,4.725
能级,0,0,0,10,0,0,0,10,1.25
势垒,1,0,6,16,2,2,2,29,5.2
亚阈值斜率,4,0,23,10,8,11,6,62,14.166666666666668
波函数,0,0,0,8,0,0,0,8,1.0
隧穿概率,0,0,1,12,1,0,0,14,1.8666666666666667
能量,0,0,1,10,3,2,0,16,2.583333333333333
电流,0,0,14,14,3,2,0,33,4.708333333333333
tfets器件,3,0,13,13,16,12,1,58,13.258333333333333
隧穿电流,0,0,1,9,1,0,0,11,1.4916666666666667
tfets,2,0,29,14,6,2,4,57,10.275
能态,0,0,0,5,0,0,0,5,0.625
幅度,0,0,0,3,0,0,0,3,0.375
隧穿,0,0,2,9,0,2,0,13,1.8583333333333334
近似,0,0,0,3,0,0,0,3,0.375
阈值电压,0,0,0,3,4,0,0,7,1.3416666666666668
电子电流,0,0,0,2,0,1,0,3,0.4916666666666667
波矢量,0,0,0,2,0,0,0,2,0.25
概率密度,0,0,0,2,0,0,0,2,0.25
输入波,0,0,0,2,0,0,0,2,0.25
偏置,0,0,0,2,0,0,0,2,0.25
自旋,0,0,0,2,0,0,0,2,0.25
量子状态,0,0,0,2,0,0,0,2,0.25
费米能级,0,0,0,2,0,0,0,2,0.25
概率,0,0,1,2,3,0,0,6,1.1
相位,0,0,0,2,0,0,0,2,0.25
带带隧穿概率,0,0,1,5,21,4,0,31,6.791666666666667
栅极电压,0,0,13,5,6,6,0,30,5.15
ssavg,0,0,0,1,0,0,0,1,0.125
平均亚阈值斜率,0,0,3,2,2,2,0,9,1.5916666666666668
vcs,0,0,0,1,0,0,0,1,0.125
sspoint,0,0,0,1,0,0,0,1,0.125
斜率,0,0,1,1,0,0,0,2,0.25
点压阈值,0,0,0,1,0,0,0,1,0.125
平均,0,0,2,1,1,3,1,8,1.5833333333333333
mosfets器件,0,0,1,1,0,0,0,2,0.25
函数,0,0,0,1,0,0,0,1,0.125
横向电场,0,0,0,1,0,0,0,1,0.125
沟道,2,0,11,5,24,61,2,105,25.025
负指数函数,0,0,0,1,0,0,0,1,0.125
电场,1,0,0,6,8,15,1,31,7.55
kane模型,0,0,0,2,0,0,0,2,0.25
带带隧穿机制,0,0,1,1,0,0,0,2,0.25
亚阈值,0,0,0,1,0,0,0,1,0.125
漂移扩散,0,0,3,2,0,0,0,5,0.625
普通mosfets器件,0,0,0,1,0,0,0,1,0.125
dloguas,0,0,0,1,0,0,0,1,0.125
通mosfets,0,0,0,1,0,0,0,1,0.125
积分变量,0,0,0,1,0,0,0,1,0.125
波矢,0,0,0,1,0,0,0,1,0.125
相速度,0,0,0,1,0,0,0,1,0.125
热激发,0,0,0,1,0,0,0,1,0.125
变形,0,0,0,1,0,0,0,1,0.125
tgqvp,0,0,0,1,0,0,0,1,0.125
输入电流,0,0,0,1,0,0,0,1,0.125
双简,0,0,0,1,0,0,0,1,0.125
电子自旋,0,0,0,1,0,0,0,1,0.125
总隧穿电流,0,0,0,1,0,0,0,1,0.125
连续能态,0,0,0,1,0,0,0,1,0.125
维势井,0,0,0,1,0,0,0,1,0.125
e讹曲,0,0,0,1,0,0,0,1,0.125
双行波,0,0,0,1,0,0,0,1,0.125
维势,0,0,0,1,0,0,0,1,0.125
长度,0,0,2,1,2,4,0,9,1.825
-av,0,0,0,1,0,0,0,1,0.125
空能量状态,0,0,0,1,0,0,0,1,0.125
空能量,0,0,0,1,0,0,0,1,0.125
费米子,0,0,0,2,0,0,0,2,0.25
网状电流,0,0,0,1,0,0,0,1,0.125
有偏置电压,0,0,0,2,0,0,0,2,0.25
无偏置电压,0,0,0,2,0,0,0,2,0.25
能蒂,0,0,0,1,0,0,0,1,0.125
高能量状态,0,0,0,1,0,0,0,1,0.125
低能态,0,0,0,1,0,0,0,1,0.125
高能态,0,0,0,1,0,0,0,1,0.125
温度,0,0,0,1,0,0,0,1,0.125
玻尔兹曼常数,0,0,0,1,0,0,0,1,0.125
费米-狄拉克,0,0,0,1,0,0,0,1,0.125
连续能带,0,0,0,1,0,0,0,1,0.125
连续能级,0,0,0,1,0,0,0,1,0.125
块状晶体材料,0,0,0,1,0,0,0,1,0.125
电流模型,0,0,0,1,0,0,0,1,0.125
隧穿场效应晶体管器件,0,0,0,1,0,0,0,1,0.125
量子隧穿理论,0,0,0,1,0,0,0,1,0.125
能带结构,0,0,2,10,11,19,0,42,8.75
兰道尔公式,0,0,0,1,0,0,0,1,0.125
隧穿概率公式,0,0,0,2,0,0,0,2,0.25
边界条件,0,0,0,1,0,0,0,1,0.125
系数,0,0,0,1,0,0,0,1,0.125
指数,0,0,0,1,0,0,0,1,0.125
势垒区,0,0,0,1,0,0,0,1,0.125
传输波,0,0,0,1,0,0,0,1,0.125
反射波,0,0,0,1,0,0,0,1,0.125
传入波,0,0,0,1,0,0,0,1,0.125
薛定铐,0,0,0,1,0,0,0,1,0.125
线性叠加,0,0,0,1,0,0,0,1,0.125
正负指数,0,0,0,1,0,0,0,1,0.125
通解,0,0,0,1,0,0,0,1,0.125
相位函数,0,0,0,1,0,0,0,1,0.125
化解,0,0,0,1,0,0,0,1,0.125
数学,0,0,0,2,0,0,0,2,0.25
实数常量,0,0,0,1,0,0,0,1,0.125
复函数,0,0,0,1,0,0,0,1,0.125
wkb,0,0,0,1,0,0,0,1,0.125
离子能量,0,0,0,1,0,0,0,1,0.125
薛定铐等式,0,0,0,1,0,0,0,1,0.125
普通势垒,0,0,0,1,0,0,0,1,0.125
矩形势垒,0,0,0,1,0,0,0,1,0.125
be-ikx,0,0,0,1,0,0,0,1,0.125
wkb近似,0,0,0,2,0,0,0,2,0.25
kb,0,0,0,1,0,0,0,1,0.125
tfets重标,0,0,0,1,0,0,0,1,0.125
器件,4,0,29,12,27,61,5,138,31.6
刻蚀,0,0,0,0,5,5,0,10,2.4166666666666665
漏极,1,0,5,1,11,25,3,46,11.175
mosfets,1,0,20,1,4,0,4,30,5.558333333333334
化学气相沉淀,0,0,0,0,3,2,0,5,1.2083333333333333
源极,1,0,16,2,32,35,1,87,19.683333333333334
氧化层,0,0,0,1,3,0,0,4,0.85
栅极,0,0,6,0,4,6,1,17,3.408333333333333
掺杂杂质,0,0,0,0,3,1,0,4,0.9666666666666667
掺杂浓度,0,0,1,3,3,18,3,28,6.3
退火,0,0,0,0,3,1,0,4,0.9666666666666667
曝光,0,0,0,0,3,1,0,4,0.9666666666666667
加工,0,0,0,0,3,0,1,4,0.9666666666666667
