,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
wlan,2,0,28,4,0,0,4,2,40,7.0875
运营商,0,0,23,7,0,2,2,0,34,4.475
网络,4,0,17,5,0,4,1,3,34,8.2
lte网络,7,0,31,6,0,7,6,6,63,15.06875
网络质量,0,0,8,0,0,1,2,0,11,1.54375
wlan网络,5,0,19,10,0,0,27,7,68,14.7875
无线通信,0,0,20,0,0,0,0,0,20,2.5
投诉,1,0,19,6,0,25,5,1,57,9.743749999999999
移动通信企业,0,0,2,0,0,0,0,0,2,0.25
投诉处理,0,0,3,0,0,0,0,0,3,0.375
客户,0,0,13,0,0,3,0,0,16,2.16875
网络优化,1,0,1,2,0,1,0,0,5,1.55625
网络覆盖,1,0,1,0,0,1,0,0,3,1.30625
质量,2,0,5,3,0,3,3,1,17,4.26875
互联网,0,0,1,2,0,0,0,0,3,0.375
终端设备,0,0,1,6,0,0,0,0,7,0.875
电脑,0,0,1,1,0,0,0,0,2,0.25
手机,0,0,1,2,0,0,0,0,3,0.375
固网宽带,0,0,1,0,0,0,0,0,1,0.125
数据流量,0,0,1,1,0,0,0,0,2,0.25
蜂窝网,0,0,1,0,0,0,0,0,1,0.125
通信运营商,0,0,1,0,0,0,0,0,1,0.125
移动性,0,0,1,0,0,0,0,0,1,0.125
伸缩性,0,0,1,0,0,0,0,0,1,0.125
通畅网络,0,0,2,0,0,0,0,0,2,0.25
距离,0,0,3,0,11,1,0,0,15,2.55
无网线,0,0,2,0,0,0,0,0,2,0.25
网络延伸,0,0,2,0,0,0,0,0,2,0.25
蜂窝网络,0,0,4,1,0,0,1,0,6,0.80625
无线通信系统,0,0,1,0,0,0,0,0,1,0.125
无线局域网,0,0,9,1,0,0,0,0,10,1.25
数据传输,0,0,2,0,0,0,0,0,2,0.25
射频技术,0,0,3,0,0,0,0,0,3,0.375
运行质量,0,0,1,0,0,1,0,0,2,0.30625
lte,1,0,23,2,0,2,0,2,30,4.85
网络环境,1,0,3,0,0,0,0,0,4,1.375
便捷,0,0,1,0,0,0,0,0,1,0.125
智能化,0,0,1,0,0,0,0,0,1,0.125
信息化,0,0,1,0,0,0,0,0,1,0.125
有线网络,0,0,2,1,0,0,0,0,3,0.375
无缝连接,0,0,1,0,0,0,0,0,1,0.125
最终用户体验,0,0,1,0,0,0,0,0,1,0.125
延迟,0,0,2,0,0,3,0,1,6,0.975
吞吐量,0,0,4,0,0,0,0,0,4,0.5
用户体验,0,0,2,0,0,0,0,0,2,0.25
数据效率,0,0,1,0,0,0,0,0,1,0.125
交互特性,0,0,1,0,0,0,0,0,1,0.125
