dissertation,name,this_url,language
基于接收信号强度的可见光室内定位算法研究,可见光通信,基于接收信号强度的可见光室内定位算法研究_关键词_1,中文
基于接收信号强度的可见光室内定位算法研究,室内定位,基于接收信号强度的可见光室内定位算法研究_关键词_2,中文
基于接收信号强度的可见光室内定位算法研究,接收信号强度,基于接收信号强度的可见光室内定位算法研究_关键词_3,中文
基于接收信号强度的可见光室内定位算法研究,多角度LED 阵列,基于接收信号强度的可见光室内定位算法研究_关键词_4,中文
基于接收信号强度的可见光室内定位算法研究,多角度PD阵列,基于接收信号强度的可见光室内定位算法研究_关键词_5,中文
基于接收信号强度的可见光室内定位算法研究,visible light communication,基于接收信号强度的可见光室内定位算法研究_keyword_6,英文
基于接收信号强度的可见光室内定位算法研究,indoor localization,基于接收信号强度的可见光室内定位算法研究_keyword_7,英文
基于接收信号强度的可见光室内定位算法研究,received signal strength,基于接收信号强度的可见光室内定位算法研究_keyword_8,英文
基于接收信号强度的可见光室内定位算法研究,multi-directional LED array,基于接收信号强度的可见光室内定位算法研究_keyword_9,英文
基于接收信号强度的可见光室内定位算法研究,multi-directional PD array,基于接收信号强度的可见光室内定位算法研究_keyword_10,英文
