,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
wi-fi,3,0,5,8,0,2,0,0,18,4.9875
定位系统,2,0,7,28,1,3,5,0,46,8.00625
定位,2,0,6,25,4,24,9,0,70,12.58125
定位技术,1,0,2,2,0,0,0,0,5,1.5
室内环,0,0,2,0,0,0,0,0,2,0.25
wi-fi定位产品,0,0,1,0,0,0,0,0,1,0.125
效率,1,0,3,1,0,1,1,0,7,1.8625
社会生产力,0,0,1,0,0,0,0,0,1,0.125
交通拥堵预警,0,0,1,0,0,0,0,0,1,0.125
物流管理,0,0,1,0,0,0,0,0,1,0.125
线路导航,0,0,1,0,0,0,0,0,1,0.125
人群疏散,0,0,1,0,0,0,0,0,1,0.125
物联网,0,0,1,0,0,0,0,0,1,0.125
互联网,0,0,3,0,0,0,0,0,3,0.375
无线定位应用,0,0,1,0,0,0,0,0,1,0.125
产品,0,0,1,0,0,0,0,0,1,0.125
算法,0,0,3,0,1,4,1,0,9,1.4625
互联网定位技术,0,0,1,0,0,0,0,0,1,0.125
位置服务,0,0,1,0,0,0,0,0,1,0.125
室内定位技术,0,0,1,2,0,0,0,0,3,0.375
良性循环,0,0,1,0,0,0,0,0,1,0.125
电子市场,0,0,1,0,0,0,0,0,1,0.125
互联网时代,0,0,1,0,0,0,0,0,1,0.125
万物互联时代,0,0,1,0,0,0,0,0,1,0.125
室内定位系统,0,0,3,1,0,0,0,0,4,0.5
gps卫星定位系统,0,0,1,0,0,0,0,0,1,0.125
wi-fi技术,0,0,1,2,0,0,0,0,3,0.375
验证,0,0,1,0,0,0,0,0,1,0.125
信息采集,0,0,1,0,0,0,0,0,1,0.125
消息推送,0,0,1,0,0,0,0,0,1,0.125
人流密集度管控,0,0,1,0,0,0,0,0,1,0.125
商品推荐,0,0,1,0,0,0,0,0,1,0.125
位置共享服务,0,0,1,0,0,0,0,0,1,0.125
室内导航,0,0,1,0,0,0,0,0,1,0.125
无线局域网,0,0,1,0,0,0,0,0,1,0.125
wi-fi热点,0,0,3,0,0,0,0,0,3,0.375
平板电脑,0,0,1,0,0,0,0,0,1,0.125
智能手机,0,0,2,0,0,0,0,0,2,0.25
移动互联网,0,0,2,0,0,0,0,0,2,0.25
gps定位,0,0,1,1,0,0,0,0,2,0.25
定位精度,0,0,4,8,4,4,2,0,22,3.3125
室内环境,1,0,1,0,2,2,1,0,7,2.03125
有效信号,0,0,1,0,0,0,0,0,1,0.125
定位误差,0,0,1,0,0,0,0,0,1,0.125
信号衰减,0,0,1,0,0,0,0,0,1,0.125
衍射,1,0,1,0,0,0,0,0,2,1.125
信号,0,0,4,20,2,8,0,0,34,4.8125
定位终端,0,0,1,0,0,0,0,0,1,0.125
gps定位终端,0,0,1,0,0,0,0,0,1,0.125
无线定位,0,0,1,3,0,0,0,0,4,0.5
位置,0,0,3,2,0,1,0,0,6,0.80625
gps,0,0,1,0,0,0,0,0,1,0.125
ap节点,0,0,4,39,9,5,1,0,58,8.09375
rssi,0,0,3,15,7,10,1,0,36,5.512499999999999
部署密度,0,0,2,1,0,0,0,0,3,0.375
误差,1,0,2,6,9,1,0,0,19,3.8125
匹配算法,0,0,2,7,4,0,0,0,13,1.85
距离,0,0,2,17,13,12,0,0,44,6.90625
几何,0,0,2,1,0,0,0,0,3,0.375
节点,0,0,2,17,1,5,0,0,25,3.4625
能耗,0,0,2,1,0,0,1,0,4,0.55625
无线定位技术,0,0,2,0,0,0,0,0,2,0.25
精度,0,0,1,7,0,4,6,0,18,2.8125
平均误差,0,0,1,0,1,0,0,0,2,0.30625
室内定位,2,0,2,1,0,1,0,0,6,2.55625
参考节点,0,0,1,0,0,0,0,0,1,0.125
信号盲区,0,0,1,0,0,0,0,0,1,0.125
定位区域,0,0,1,0,0,1,0,0,2,0.30625
分布,1,0,1,0,1,0,0,0,3,1.30625
嗅探设备,0,0,1,0,0,0,0,0,1,0.125
实验区域,0,0,1,0,0,2,0,0,3,0.4875
位置模拟,0,0,1,0,0,0,0,0,1,0.125
终端,0,0,1,7,1,1,1,0,11,1.54375
接收装置,0,0,1,0,0,0,0,0,1,0.125
短距离信号,0,0,1,0,0,0,0,0,1,0.125
定位算法,3,0,2,9,1,8,4,0,27,6.731249999999999
分类回归,0,0,1,0,0,0,0,0,1,0.125
svm算法,0,0,1,0,0,0,0,0,1,0.125
函数,0,0,1,1,6,0,0,0,8,1.3375
信号衰减模型,0,0,1,0,0,0,0,0,1,0.125
无噪声干扰,0,0,1,0,0,0,0,0,1,0.125
方程,0,0,1,0,0,0,0,0,1,0.125
距离方程,0,0,1,0,0,0,0,0,1,0.125
定位方法,0,0,1,0,0,0,0,0,1,0.125
测距,0,0,1,2,2,0,0,0,5,0.7375
匹配方法,0,0,1,0,0,0,0,0,1,0.125
定位功能,0,0,1,1,0,0,1,0,3,0.43125
数据库,0,0,1,4,2,0,2,0,9,1.35
离线训练,0,0,1,0,0,0,0,0,1,0.125
位置指纹数据库,0,0,1,0,0,0,0,0,1,0.125
定位环境,0,0,1,0,0,0,0,0,1,0.125
空间复杂度,0,0,1,0,1,2,1,0,5,0.85
时间复杂度,0,0,1,0,1,3,2,0,7,1.2125
位置数据库,0,0,1,0,0,0,0,0,1,0.125
指纹定位,0,0,1,0,0,0,0,0,1,0.125
测距算法,0,0,2,5,10,2,0,0,19,3.05
定位服务,1,0,1,0,0,0,0,0,2,1.125
系统架设,0,0,1,0,0,0,0,0,1,0.125
硬件设备,0,0,1,0,0,0,0,0,1,0.125
aoa,0,0,1,2,0,0,0,0,3,0.375
tdoa,1,0,1,5,0,0,0,0,7,1.75
toa,0,0,1,3,0,0,0,0,4,0.5
接收强度,0,0,1,0,0,0,0,0,1,0.125
场景分析法,0,0,1,0,0,0,0,0,1,0.125
近似法,0,0,1,0,0,0,0,0,1,0.125
几何法,0,0,1,0,0,0,0,0,1,0.125
wi-fi无线定位技术,0,0,1,0,0,0,0,0,1,0.125
wi-fi定位服务,0,0,1,0,0,0,0,0,1,0.125
覆盖面积,0,0,1,0,0,0,0,0,1,0.125
网络,0,0,1,2,0,0,0,0,3,0.375
用户,0,0,1,0,0,1,0,0,2,0.30625
移动通信,0,0,1,0,0,0,0,0,1,0.125
无线覆盖网络,0,0,1,0,0,0,0,0,1,0.125
wi-fi定位系统,1,0,2,4,0,2,0,0,9,2.1125
硬件,0,0,1,2,0,1,0,0,4,0.55625
复杂定位系统,0,0,1,0,0,0,0,0,1,0.125
定位区,0,0,1,0,0,0,0,0,1,0.125
自动行走,0,0,1,0,0,0,0,0,1,0.125
机器人,0,0,1,0,0,0,0,0,1,0.125
地理信息系统网,0,0,1,0,0,0,0,0,1,0.125
数据挖掘,0,0,5,0,0,0,0,0,5,0.625
云计算平台,2,0,5,0,0,0,0,0,7,2.625
云计算技术,0,0,3,0,0,0,0,0,3,0.375
云计算,2,0,4,0,0,0,0,0,6,2.5
数据挖掘工具,0,0,2,0,0,0,0,0,2,0.25
hadoop平台,0,0,2,0,0,0,0,0,2,0.25
数据中心,0,0,2,0,0,0,0,0,2,0.25
大数据挖掘,0,0,1,0,0,0,0,0,1,0.125
潜在危险预警,0,0,1,0,0,0,0,0,1,0.125
潜在价值开发,0,0,1,0,0,0,0,0,1,0.125
企业级数据管理,0,0,1,0,0,0,0,0,1,0.125
电商推荐,0,0,1,0,0,0,0,0,1,0.125
深度学习,0,0,1,0,0,0,0,0,1,0.125
数据产品,0,0,1,0,0,0,0,0,1,0.125
分布式存储,0,0,1,0,0,0,0,0,1,0.125
海量数据,1,0,1,0,0,0,0,0,2,1.125
云平台,0,0,1,0,0,0,0,0,1,0.125
阿里,0,0,1,0,0,0,0,0,1,0.125
业务,0,0,1,0,0,0,0,0,1,0.125
企业,0,0,1,0,0,0,0,0,1,0.125
海量数据处理,0,0,1,0,0,0,0,0,1,0.125
大数据挖掘能力,0,0,1,0,0,0,0,0,1,0.125
数据挖掘效率,0,0,1,0,0,0,0,0,1,0.125
运算系统,0,0,1,0,0,0,0,0,1,0.125
云计算服务,0,0,1,0,0,0,0,0,1,0.125
云计算产品,0,0,1,0,0,0,0,0,1,0.125
云计算体系,0,0,1,0,0,0,0,0,1,0.125
智能化工具,0,0,1,0,0,0,0,0,1,0.125
日志文件,0,0,1,0,0,0,0,0,1,0.125
分布式集群,0,0,1,0,0,2,0,0,3,0.4875
数据挖掘服务,0,0,1,0,0,0,0,0,1,0.125
智能数据挖掘工具,0,0,1,0,0,0,0,0,1,0.125
开放式数据中心,0,0,1,0,0,0,0,0,1,0.125
云计算公司,0,0,1,0,0,0,0,0,1,0.125
vcloud,0,0,1,0,0,0,0,0,1,0.125
windowsazuresalesforce,0,0,1,0,0,0,0,0,1,0.125
ud,0,0,1,0,0,0,0,0,1,0.125
ec,0,0,1,0,0,0,0,0,1,0.125
applicationplatform,0,0,1,0,0,0,0,0,1,0.125
appsengine,0,0,1,0,0,0,0,0,1,0.125
云计算理论,0,0,1,0,0,0,0,0,1,0.125
mapreduce,3,0,4,0,0,2,0,0,9,3.8625
