(线密度, Linear density): 25
(对称轴, Axis of symmetry): 14
(质量分布区域, Region of mass distribution): 1
(质心, Center of mass): 113
(对称体系, Symmetric system): 1
(位置坐标, Position coordinates): 29
(质量均匀分布, Uniform mass distribution): 4
(连续分布体, Continuous distribution): 2
(质点系, System of particles): 101
(距离, Distance): 387
(位矢, Position vector): 92
(重心, Center of gravity): 9
(质点系, Particle system): 101
(均匀铁丝, Uniform wire): 1
(质量元, Mass element): 5
(质心的动量, Momentum of the center of mass): 1
(质心位置的计算, Calculation of the position of the center of mass): 1
(半圆形, Semicircle): 7
(半径, Radius): 398
(连线, Line connecting): 41
(离散分布, Discrete distribution): 2
(速度, Velocity): 1354
(重力, Gravity): 132
(质量, Mass): 641
(质心的总质量, Total mass of the center of mass): 1
(交点, Intersection): 20
(动量, Momentum): 476
(总质量, Total mass): 8
(动量矢量和, Vector sum of momenta): 0
