(电子感应加速器, Electron Induction Accelerator): 8
(楞次定律, Lenz's Law): 3
(电子脱离轨道, Electron Detachment from Orbit): 1
(涡流, Eddy Current): 8
(医疗上诊治癌症, Medical Diagnosis and Treatment of Cancer): 1
(指针, Pointer): 8
(电磁阻尼, Electromagnetic Damping): 3
(靶子, Target): 2
(电磁阻力, Electromagnetic Resistance): 1
(摆, Pendulum): 123
(磁通量, Magnetic Flux): 71
(电磁仪表, Electromagnetic Instrument): 1
(机械效应, Mechanical Effect): 1
(感应电流, Induced Current): 37
(电磁铁, Electromagnet): 5
(核物理研究, Nuclear Physics Research): 5
(工业探伤, Industrial Testing): 1
(磁极, Magnetic Pole): 10
(低能电子感应加速器, Low-energy Electron Induction Accelerator): 1
(热效应, Thermal Effect): 3
