(次级明纹, Secondary maximum): 5
(单缝衍射, Single slit diffraction): 32
(衍射角, Diffraction angle): 38
(凹光栅, Concave grating): 1
(物镜直径, Objective lens diameter): 2
(望远镜, Telescope): 46
(光源波长, Wavelength of the light source): 4
(圆心角, Central angle): 9
(相位差, Phase difference): 116
(分辨本领, Resolution capability): 15
(透镜, Lens): 347
(最小分辨角的大小, Size of the minimum resolvable angle): 1
(反射光栅, Reflection grating): 2
(衍射明条纹, Bright fringes in diffraction): 2
(衍射暗条纹, Dark fringes in diffraction): 0
(光强, Intensity): 183
(单色仪, Monochromator): 2
(半角宽度, Half-angle width): 3
(光强公式, Intensity formula): 4
(多边形, Polygon): 11
(斜入射情况下的衍射条纹, Diffraction fringes in oblique incidence): 1
(双星, Binary stars): 1
(入射光的波长, Wavelength of the incident light): 9
(衍射效应, Diffraction effect): 8
(振幅叠加方法, Amplitude superposition method): 1
(全息光栅, Holographic grating): 0
(惠更斯-菲涅耳原理, Huygens-Fresnel principle): 8
(人眼的最小分辨角, Minimum resolution angle of the human eye): 2
(望远镜口径, Telescope aperture): 0
(艾里斑, Airy disk): 11
(菲涅尔衍射, Fresnel diffraction): 1
(光强, Light intensity): 183
(二维光栅, Two-dimensional grating): 1
(入射光波波长, Wavelength of incident light waves): 1
(月球表面, Lunar surface): 4
(衍射图样, Diffraction pattern): 32
(角宽度, Angular width): 10
(瑞利判据, Rayleigh criterion): 2
(干涉, Interference): 487
(单缝夫琅禾费衍射, Single slit Fraunhofer diffraction): 10
(合成振动的振幅, Amplitude of the composite vibration): 1
(瞳孔直径, Pupil diameter): 4
(光振动, Light vibration): 39
(临界距离, Critical distance): 1
(最小线距离, Minimum line distance): 2
(放大率, Magnification): 87
(白光, White light): 21
(同心明环和暗环, Concentric bright and dark rings): 1
(衍射现象, Diffraction phenomenon): 17
(夫琅禾费衍射, Fresnel diffraction): 22
(可见光, Visible light): 35
(明亮的圆斑, Bright central spot): 1
(光学仪器的分辨本领, Resolution capability of the optical instrument): 3
(地日距离, Distance between Earth and Sun): 1
(电子束, Electron beam): 10
(衍射光栅, Diffraction grating): 6
(蓝光, Blue light): 1
(缝宽, Slit width): 24
(电子显微镜, Electron microscope): 6
(红光, Red light): 15
(波长, Wavelength): 470
(线距离, Line distance): 10
(单狭缝, Single slit): 1
(一维光栅, One-dimensional grating): 1
(式(15.63), Equation (15.63): 0
(光学显微镜, Optical microscope): 3
(夫琅禾费圆孔衍射, Fraunhofer diffraction of circular aperture): 2
(波长关系, Relationship between wavelengths): 3
(角间距, Angular separation): 1
(透射光栅, Transmission grating): 1
(仪器成像质量, Imaging quality of instruments): 1
(光强分布特点, Characteristics of light intensity distribution): 1
(线宽度, Line width): 14
(光的波动性, Wave nature of light): 5
(衍射屏, Diffraction screen): 7
(视网膜, Retina): 19
(声波, Sound wave): 63
(光学仪器的孔径, Aperture of the optical instrument): 2
(光程差, Optical path difference): 68
(眼睹, Perceive): 1
(圆孔直径, Diameter of the aperture): 1
(艾里斑的半径, Radius of Airy disk): 1
(衍射, Diffraction): 327
(透镜焦距, Lens focal length): 10
(暗纹条件, Dark fringe condition): 8
(圆心, Center of the circle): 69
(透镜口径, Lens aperture): 0
(地月距离, Distance between Earth and Moon): 1
(明纹, Bright fringe): 64
(超越方程, Transcendental equation): 3
(最小分辨角, Minimum resolvable angle): 10
(最小分辨角的计算, Calculation of the minimum resolvable angle): 0
(三维光栅, Three-dimensional grating): 2
(分辨率, Resolution): 10
(夫琅禾费衍射, Fraunhofer diffraction): 22
(光学精密测量仪器, Optical precision measuring instrument): 1
(波面, Wavefront): 69
(次波源, Secondary source): 8
(半径, Radius): 398
(迎面驶来的汽车的两盏前灯相距, The distance between the two headlights of an oncoming car): 1
(光谱仪, Spectrometer): 1
(光轴方向, Optical axis direction): 16
(衍射极小, Diffraction minima): 7
(明纹宽度, Width of bright fringes): 5
(衍射因子, Diffraction factor): 2
(垂直入射, Vertical incidence): 15
(振幅矢量叠加, Amplitude vector superposition): 1
(无线电波, Radio wave): 16
(主极大, Principal maximum): 58
(暗纹之间的距离, Distance between dark fringes): 2
