(导体, Conductor): 427
(静电屏蔽, Electrostatic shielding): 2
(电荷面密度, Charge surface density): 42
(电势, Electric potential): 348
(电场强度分布, Electric field distribution): 14
(静电平衡, Static equilibrium): 25
(避雷针, Lightning rod): 3
(引力和静电力服从平方反比律, Gravitational and electrostatic forces obey the inverse square law): 0
(感应电荷, Induced charge): 12
(电势分布, Potential distribution): 13
(静电感应, Electrostatic induction): 6
(电荷分布, Charge distribution): 32
(导体表面上电场强度的大小, Magnitude of electric field intensity on the surface of a conductor): 0
(导体表面上电荷的均匀分布, Uniform distribution of charge on the surface of a conductor): 0
(曲率, Curvature): 59
(尖端放电, Corona discharge): 5
(自由电子, Free electrons): 24
(引力场和静电场的重要差别, Important differences between gravitational field and electrostatic field): 0
(金属壳, Metal shell): 3
(电荷守恒定律, Law of conservation of charge): 4
(高斯定理, Gauss's theorem): 63
(电势, Potential): 348
(静电平衡, Electrostatic equilibrium): 25
(电势差, Potential difference): 88
(电场强度, Electric field strength): 317
(电场, Electric field): 882
(净电荷, Net charge): 9
(引力场的屏蔽, Shielding of gravitational field): 0
(带电导体的等势面, Equipotential surface of a charged conductor): 0
