,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,第七章,总词频,加权得分
距离,0,0,0,7,11,0,0,0,0,18,2.4699999999999998
向量,0,0,0,0,7,0,1,0,0,8,1.16
协方差矩阵,0,0,0,0,2,0,5,0,0,7,1.015
马氏距离,0,0,0,0,2,0,0,0,0,2,0.29
欧氏距离,0,0,0,1,2,0,0,0,0,3,0.415
最近邻算法,0,0,0,0,2,0,0,1,0,3,0.43499999999999994
单位矩阵,0,0,0,0,1,0,0,0,0,1,0.145
mahalanobisdistance,0,0,0,0,1,0,0,0,0,1,0.145
chebyshevdista,0,0,0,0,1,0,0,0,0,1,0.145
切比雪夫距离,0,0,0,0,1,0,0,0,0,1,0.145
乙p距离,0,0,0,0,1,0,0,0,0,1,0.145
euclideandistance,0,0,0,0,1,0,0,0,0,1,0.145
乙户距离,0,0,0,0,1,0,0,0,0,1,0.145
manhattandistance,0,0,0,0,1,0,0,0,0,1,0.145
曼哈顿距离,0,0,0,0,1,0,0,0,0,1,0.145
stance,0,0,0,0,1,0,0,0,0,1,0.145
wski,0,0,0,0,1,0,0,0,0,1,0.145
min,0,0,0,0,1,0,0,0,0,1,0.145
明科夫斯基距离,0,0,0,0,1,0,0,0,0,1,0.145
坐标,0,0,0,0,5,0,0,0,0,5,0.725
定位结,0,0,0,0,2,3,0,0,0,5,0.725
点坐标,0,0,0,0,2,0,0,0,0,2,0.29
参考点,0,0,0,0,2,0,0,0,0,2,0.29
数据库,0,0,0,0,5,0,0,3,0,8,1.16
特征,0,0,0,0,16,2,17,6,0,41,5.944999999999999
lda,0,0,0,0,0,0,9,4,0,13,1.8849999999999998
基尼指数,0,0,0,0,1,0,4,0,0,5,0.725
信息增益,0,0,0,0,2,0,8,0,0,10,1.45
分类算法,0,0,0,0,1,1,3,0,0,5,0.725
pca,0,0,0,0,0,0,17,4,1,22,3.19
信息增益比,0,0,0,0,4,0,5,0,0,9,1.305
压缩,0,0,1,0,0,0,3,1,0,5,0.705
原始特征,0,0,0,0,0,0,2,0,0,2,0.29
特征选择算法,2,0,4,0,4,0,10,15,1,36,6.85
类别数,0,0,0,0,2,0,2,0,0,4,0.58
特征维数,0,0,0,0,0,0,2,1,0,3,0.43499999999999994
pca特征,0,0,0,0,0,0,1,0,0,1,0.145
类内离散度矩阵,0,0,0,0,0,0,1,0,0,1,0.145
da,0,0,0,0,0,0,1,0,0,1,0.145
数据处理,0,0,0,0,0,0,1,1,0,2,0.29
数据,0,0,4,3,8,0,16,4,1,36,5.08
决策树,0,0,0,0,13,8,2,7,0,30,4.35
纯度,0,0,0,0,0,0,1,0,0,1,0.145
树模型,0,0,0,0,6,0,2,0,0,8,1.16
样本,0,0,0,0,17,4,4,5,0,30,4.35
分类样本,0,0,0,0,0,0,1,0,0,1,0.145
多值特征,0,0,0,0,0,0,1,0,0,1,0.145
基尼指数算,0,0,0,0,0,0,1,0,0,1,0.145
特征压缩算法,0,0,0,0,0,0,1,0,0,1,0.145
特征投影,0,0,0,0,0,0,1,0,0,1,0.145
低维空间,0,0,0,0,0,0,2,0,0,2,0.29
空间,0,0,1,1,2,0,1,0,0,5,0.6849999999999999
矩阵,0,0,0,0,0,0,10,0,0,10,1.45
性能,0,0,4,3,4,6,0,3,0,20,2.76
提升算法,2,0,2,0,1,12,0,6,3,26,5.4399999999999995
支持向量计算法,0,0,0,0,1,0,0,0,0,1,0.145
决策树算法,1,0,0,0,6,0,1,7,0,15,3.03
k-近邻算法,0,0,0,0,1,0,0,1,0,2,0.29
