,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,第七章,总词频,加权得分
建模分析,0,0,0,0,1,0,6,0,0,7,1.015
建模,1,0,1,0,1,0,7,2,0,12,2.575
标准应用程序,1,0,0,0,9,19,23,9,2,63,9.99
建模分析过程,0,0,0,0,0,0,1,0,0,1,0.145
程序,0,0,0,2,2,0,1,7,0,12,1.7
wordcount,0,0,0,1,2,5,9,4,0,21,3.025
内容,0,0,0,0,0,1,2,0,0,3,0.43499999999999994
隐含层,0,0,0,0,0,0,7,0,0,7,1.015
连接权值,0,0,0,0,0,0,4,0,0,4,0.58
层节点数,0,0,0,0,0,0,4,0,0,4,0.58
神经元,0,0,0,0,0,0,8,0,0,8,1.16
输出层,0,0,0,0,0,0,5,0,0,5,0.725
输入层,0,0,0,0,0,0,6,0,0,6,0.8699999999999999
bp神经网络,1,0,1,0,0,0,28,7,2,39,6.489999999999999
隐含层节点数,0,0,0,0,0,0,2,0,0,2,0.29
向量,0,0,0,0,0,0,2,0,0,2,0.29
入向量,0,0,0,0,0,0,1,0,0,1,0.145
拓扑,0,0,0,0,0,0,1,0,0,1,0.145
三层bp神经网络,0,0,0,0,0,0,1,0,0,1,0.145
连接,0,0,0,0,0,0,1,0,0,1,0.145
全连接,0,0,0,0,0,0,1,0,0,1,0.145
outputlayer,0,0,0,0,0,0,1,0,0,1,0.145
hiddenlayer,0,0,0,0,0,0,1,0,0,1,0.145
inputlayer,0,0,0,0,0,0,1,0,0,1,0.145
非线性可微转移函数,0,0,0,0,0,0,1,0,0,1,0.145
习算法,0,0,0,0,0,0,1,0,0,1,0.145
widrow-hoff,0,0,0,0,0,0,1,0,0,1,0.145
多层前馈网络,0,0,0,0,0,0,2,0,0,2,0.29
误差,0,0,0,0,0,0,15,1,0,16,2.32
p神经网络结,0,0,0,0,0,0,1,0,0,1,0.145
时间,0,0,0,0,2,1,8,10,2,23,3.335
性能数据,1,0,2,0,12,57,36,4,4,116,17.634999999999998
输岀层,0,0,0,0,0,0,2,0,0,2,0.29
非线性建模分析,0,0,0,0,0,0,2,0,0,2,0.29
回归方程,0,0,0,0,0,0,18,5,1,24,3.4799999999999995
因变量,0,0,0,0,0,0,19,1,0,20,2.9
自变量,0,0,0,0,0,0,29,5,0,34,4.93
误差序列,0,0,0,0,0,0,4,0,0,4,0.58
多重共线性,0,0,0,0,0,0,4,0,0,4,0.58
回归系数,0,0,0,0,0,0,10,6,1,17,2.465
标准误差,0,0,0,0,0,0,5,0,0,5,0.725
回归模型,0,0,0,0,0,0,5,0,0,5,0.725
线性关系,0,0,0,0,0,0,3,1,0,4,0.58
多元线性回归,1,1,1,0,0,0,11,5,2,21,5.734999999999999
多元线性回归模型,0,0,0,0,0,0,13,1,0,14,2.03
自相关检验,0,0,0,0,0,0,1,0,0,1,0.145
变动关系,0,0,0,0,0,0,1,0,0,1,0.145
时间序列,0,0,0,0,0,0,1,0,0,1,0.145
误差项,0,0,0,0,0,0,1,0,0,1,0.145
动态数据,0,0,0,0,0,0,1,0,0,1,0.145
dw检验,0,0,0,0,0,0,1,0,0,1,0.145
多元回归模型,0,0,0,0,0,0,1,0,0,1,0.145
稳定性,0,0,0,0,0,0,1,0,0,1,0.145
多元线性回归方程,0,0,0,0,0,0,5,3,0,8,1.16
检验,0,0,0,0,0,0,1,0,0,1,0.145
等价,0,0,0,0,0,0,1,0,0,1,0.145
t检验,0,0,0,0,0,0,1,0,0,1,0.145
显著性检验,0,0,0,0,0,0,1,0,0,1,0.145
一元线性回归,0,0,0,0,0,0,1,0,0,1,0.145
线性,1,0,1,0,1,0,3,1,1,8,1.9949999999999999
估计值,0,0,0,0,0,0,1,0,0,1,0.145
数据点,0,0,0,0,0,0,1,0,0,1,0.145
回归平方,0,0,0,0,0,0,1,0,0,1,0.145
多重可决系数,0,0,0,0,0,0,1,0,0,1,0.145
拟合程度,0,0,0,0,0,0,1,0,0,1,0.145
二乘法,0,0,0,0,0,0,1,0,0,1,0.145
模型,0,0,0,0,0,0,5,0,0,5,0.725
应用程序,1,0,5,1,2,19,1,35,2,66,10.305
总时间,0,0,0,0,0,0,0,6,0,6,0.8699999999999999
评估分数,0,0,0,0,0,0,0,11,0,11,1.595
性能,1,0,8,21,11,9,4,7,1,62,9.265
性能状态,6,0,15,4,4,11,2,14,5,61,13.594999999999999
曲线斜率,0,0,0,0,0,0,0,4,0,4,0.58
分数段,0,0,0,0,0,0,0,4,0,4,0.58
曲线,0,0,0,0,0,0,0,2,0,2,0.29
评估,0,0,0,0,0,0,0,5,0,5,0.725
分析系统,2,0,14,0,23,15,4,13,4,75,12.305
斜率,0,0,0,0,0,0,0,1,0,1,0.145
曲线图,0,0,0,0,0,0,0,1,0,1,0.145
单调性,0,0,0,0,0,0,0,1,0,1,0.145
lb啪经络,0,0,0,0,0,0,0,1,0,1,0.145
多元线性,0,0,0,0,0,0,0,1,0,1,0.145
相关性,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
预处理,0,0,0,0,0,0,2,0,0,2,0.29
wordcount应用程序,0,0,0,0,0,1,1,0,0,2,0.29
bp算法,0,0,0,0,0,0,2,0,0,2,0.29
拓扑结构,0,0,0,1,0,0,1,0,0,2,0.27
二乘估计,0,0,0,0,0,0,1,0,0,1,0.145
回归参数,0,0,0,0,0,0,2,0,0,2,0.29
建模模型,0,0,0,0,0,0,1,0,0,1,0.145
trainparam,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
数据矩阵,0,0,0,0,0,0,2,0,0,2,0.29
train,0,0,0,0,0,0,1,0,0,1,0.145
学习速率,0,0,0,0,0,0,8,0,0,8,1.16
收敛次数,0,0,0,0,0,0,1,0,0,1,0.145
训练参数,0,0,0,0,0,0,1,0,0,1,0.145
ttrain,0,0,0,0,0,0,1,0,0,1,0.145
purelin,0,0,0,0,0,0,1,0,0,1,0.145
new,0,0,0,0,0,0,1,0,0,1,0.145
动量bp算法函数,0,0,0,0,0,0,1,0,0,1,0.145
学习训练函数,0,0,0,0,0,0,1,0,0,1,0.145
