,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
信道,3,0,27,16,11,50,0,107,23.116666666666667
otfs系统,0,0,11,6,19,7,2,45,8.891666666666666
复杂度,1,0,4,2,6,2,2,17,4.166666666666666
dncnn网络,0,0,2,0,0,6,0,8,1.7
信道估计,3,1,11,2,1,7,3,28,9.283333333333333
性能,2,0,6,4,12,11,1,36,9.05
信号检测,3,1,5,6,9,5,2,31,10.241666666666667
深度学习,5,1,28,40,8,10,6,98,21.3
系统性能,0,0,1,0,0,0,0,1,0.125
卷积层数,0,0,1,0,0,0,0,1,0.125
信道估计网络,0,0,1,1,0,2,1,5,0.975
信号检测网络,4,0,2,2,6,2,1,17,6.675
信道估,0,0,1,0,0,2,0,3,0.6083333333333334
dncnn,2,0,3,0,0,26,0,31,8.658333333333333
去噪,0,0,2,0,0,2,0,4,0.7333333333333334
层数,0,0,1,1,2,1,0,5,0.975
降噪,0,0,1,0,0,1,0,2,0.3666666666666667
二维图像去噪,0,0,1,0,0,0,0,1,0.125
二维图像,0,0,2,1,0,3,0,6,1.1
二维信道,0,0,4,0,1,5,0,10,1.95
延迟多普勒域,0,0,7,7,1,8,0,23,3.925
信道信息,0,0,4,1,0,15,0,20,4.25
阈值,1,0,3,0,0,8,1,13,3.55
检测网络,0,0,1,0,3,0,0,4,0.85
深度学习信号,0,0,2,0,5,0,0,7,1.4583333333333333
otfs,5,0,25,10,7,12,5,64,15.175
5线信道,0,0,1,0,0,0,0,1,0.125
高速移动通信,0,0,1,1,0,0,0,2,0.25
均衡器,0,0,1,0,0,0,0,1,0.125
otfs线性均衡器,0,0,1,0,0,0,0,1,0.125
收发关系,0,0,1,0,0,0,0,1,0.125
otfs通信系统,0,0,1,0,1,0,0,2,0.3666666666666667
信号,0,0,12,14,17,4,1,48,8.566666666666666
多载波符号,0,0,2,7,2,0,0,11,1.6083333333333334
多普勒频偏,0,0,8,6,0,2,0,16,2.2333333333333334
矩阵,0,0,1,9,4,0,0,14,2.216666666666667
发送滤波器,0,0,0,5,0,0,0,5,0.625
符号,0,0,1,5,8,6,0,20,4.133333333333333
时频域,0,0,2,5,6,4,0,17,3.2916666666666665
接收端,0,0,3,5,2,6,0,16,2.9333333333333336
信息符号,0,0,0,5,8,4,0,17,3.525
滤波器,0,0,0,4,7,1,0,12,2.4333333333333336
ofdm,0,0,11,4,0,2,1,18,2.6
无线信道,0,0,1,4,1,0,0,6,0.8666666666666667
时频信号,0,0,1,4,0,0,0,5,0.625
矩形滤波器,0,0,2,3,3,1,0,9,1.5916666666666668
接收信号,0,0,2,5,12,3,0,22,4.5
矩形窗,0,0,1,3,0,0,0,4,0.5
延迟多普勒网格,0,0,0,3,0,1,0,4,0.6166666666666667
维格纳变换,0,0,0,3,0,0,0,3,0.375
收发滤波器,0,0,2,2,1,0,0,5,0.7416666666666667
接收滤波器,0,0,0,2,0,0,0,2,0.25
发送信号,0,0,3,4,11,2,0,20,4.016666666666667
多普勒信道,0,0,0,2,0,0,0,2,0.25
子载波数,0,0,0,2,1,1,0,4,0.7333333333333334
信号径,0,0,0,2,0,1,0,3,0.4916666666666667
持续时间,0,0,0,2,0,0,0,2,0.25
子载波间隔,0,0,0,2,2,1,0,5,0.975
时频网格,0,0,0,2,0,2,0,4,0.7333333333333334
ifft,0,0,2,2,1,0,0,5,0.7416666666666667
fft,0,0,2,2,0,0,0,4,0.5
向量,0,0,0,3,2,0,0,5,0.8583333333333334
多普勒维,0,0,0,2,2,0,0,4,0.7333333333333334
延迟多普勒二维网格,0,0,0,2,0,0,0,2,0.25
sfft,0,0,1,2,2,0,0,5,0.8583333333333334
海森堡变换,0,0,0,2,0,0,0,2,0.25
isfft,0,0,2,2,2,0,0,6,0.9833333333333334
矩阵变换,0,0,0,1,0,0,0,1,0.125
矩阵运算表达式,0,0,0,1,0,0,0,1,0.125
otfs符号,0,0,0,1,0,0,0,1,0.125
evj,0,0,0,1,0,0,0,1,0.125
分集增益,0,0,1,1,0,0,0,2,0.25
运算时间消耗,0,0,0,1,0,0,0,1,0.125
存储空间消耗,0,0,0,1,0,0,0,1,0.125
信道矩阵,0,0,3,1,9,0,0,13,2.675
发送信号矩阵,0,0,0,1,0,0,0,1,0.125
时频域接收信号,0,0,0,1,0,0,0,1,0.125
圖血石,0,0,0,1,0,0,0,1,0.125
时频双正交性,0,0,1,1,0,0,0,2,0.25
tfs,0,0,0,1,0,0,0,1,0.125
加性高斯白噪,0,0,0,1,0,0,0,1,0.125
零均值,0,0,0,3,3,0,0,6,1.1
符号间干扰,1,0,2,1,2,0,1,7,2.1
多径时延,0,0,0,1,0,1,0,2,0.3666666666666667
干扰,0,0,2,1,1,3,0,7,1.3416666666666668
子载波间干扰,1,0,0,1,1,0,1,4,1.6083333333333334
nla,0,0,0,1,0,0,0,1,0.125
fft变换,0,0,0,1,0,0,0,1,0.125
逆运算,0,0,0,1,0,0,0,1,0.125
unvec,0,0,0,1,0,0,0,1,0.125
时频域网格,0,0,0,1,0,0,0,1,0.125
匹配滤波器,0,0,0,1,0,0,0,1,0.125
时频,0,0,0,1,0,0,0,1,0.125
延迟多普勒信号,0,0,0,1,1,0,0,2,0.3666666666666667
逆变换,0,0,0,1,0,0,0,1,0.125
矩阵表达,0,0,0,1,0,0,0,1,0.125
坐标,0,0,0,1,2,1,0,4,0.85
相位,0,0,0,1,0,0,0,1,0.125
循环,0,0,0,1,0,0,0,1,0.125
延迟,0,0,1,1,0,0,0,2,0.25
径信号,0,0,0,1,0,0,0,1,0.125
时延影响,0,0,0,1,0,0,0,1,0.125
信道噪声,0,0,0,2,1,1,0,4,0.7333333333333334
卷积,0,0,0,4,0,0,0,4,0.5
延迟多普勒信道,0,0,0,1,0,0,0,1,0.125
延迟维下,0,0,0,1,0,0,0,1,0.125
kv4v,0,0,0,1,0,0,0,1,0.125
推导论证,0,0,0,1,0,0,0,1,0.125
整数,0,0,1,1,0,0,0,2,0.25
整数多普勒径,0,0,0,1,0,0,0,1,0.125
小数多普勒频偏,0,0,0,1,0,0,0,1,0.125
多普勒特性,0,0,0,1,0,0,0,1,0.125
信道延迟,0,0,0,1,0,0,0,1,0.125
otfs信号,3,0,2,6,3,3,0,17,5.45
总符号数,0,0,0,1,0,0,0,1,0.125
多普勒域网格间隔,0,0,0,1,0,0,0,1,0.125
小数时延,0,0,0,1,0,0,0,1,0.125
时延分辨率,0,0,0,1,0,0,0,1,0.125
网格,0,0,0,1,0,0,0,1,0.125
延迟大小,0,0,0,1,0,0,0,1,0.125
冲激函数,1,0,0,1,0,0,0,2,1.125
信道增益,0,0,0,1,0,0,0,1,0.125
延时大,0,0,0,1,0,0,0,1,0.125
多径总数,0,0,0,1,2,1,0,4,0.85
时延,0,0,0,1,0,2,0,3,0.6083333333333334
散射遮挡,0,0,0,1,0,0,0,1,0.125
高速移动场景,0,0,0,1,0,0,0,1,0.125
无线通信系统,0,0,0,2,0,0,0,2,0.25
后处理过程,0,0,0,1,0,0,0,1,0.125
预处理,0,0,0,1,0,0,0,1,0.125
克罗内克积,0,0,0,1,0,0,0,1,0.125
if,0,0,0,1,0,0,0,1,0.125
信号向量,0,0,0,1,0,0,0,1,0.125
二维矩阵,0,0,0,2,0,0,0,2,0.25
严刃昭恣,0,0,0,1,0,0,0,1,0.125
海森堡变换处理信号,0,0,0,1,0,0,0,1,0.125
时域网格间隔,0,0,0,1,0,0,0,1,0.125
通信系统,0,0,3,15,0,0,1,19,2.4916666666666667
信息传输,0,0,0,1,0,0,0,1,0.125
间隔,0,0,0,1,0,0,0,1,0.125
频域网格,0,0,0,1,0,0,0,1,0.125
时频二维网格,0,0,0,1,0,0,0,1,0.125
共辄转置,0,0,0,1,0,0,0,1,0.125
变换矩阵,0,0,0,1,0,0,0,1,0.125
离散傅里叶,0,0,0,1,0,0,0,1,0.125
时域符号,0,0,0,1,0,0,0,1,0.125
多普勒域符号,0,0,0,1,0,0,0,1,0.125
频域符号,0,0,0,1,0,0,0,1,0.125
延迟域符号,0,0,0,1,0,0,0,1,0.125
时频域符号,0,0,0,1,0,0,0,1,0.125
isfft变换,0,0,0,1,0,0,0,1,0.125
多普勒维网格间隔,0,0,0,1,0,0,0,1,0.125
延迟维网格间隔,0,0,0,1,0,0,0,1,0.125
总点数,0,0,0,1,0,0,0,1,0.125
延迟维总点数,0,0,0,1,0,0,0,1,0.125
发送端,0,0,0,1,0,4,0,5,1.0916666666666668
延迟多普勒域符号,0,0,0,1,0,1,0,2,0.3666666666666667
wignertransfbrm,0,0,0,1,0,0,0,1,0.125
时域信号,0,0,1,1,0,0,0,2,0.25
调制,0,0,1,2,0,0,0,3,0.375
heisenbergtransfbrm,0,0,0,1,0,0,0,1,0.125
连续多载波符号,0,0,0,1,0,0,0,1,0.125
延迟多普勒域网格点,0,0,0,1,0,0,0,1,0.125
qam,0,0,0,1,0,0,0,1,0.125
数据,0,0,8,19,12,1,0,40,6.516666666666667
otfs收发系统,0,0,2,1,0,0,1,4,0.6166666666666667
深度学习神经网络,0,0,3,4,8,2,1,18,3.533333333333333
信号检测神经网络,0,0,2,0,3,0,0,5,0.975
解调,1,0,0,3,13,1,0,18,4.758333333333333
otfs信道均衡算法,0,0,0,0,1,0,0,1,0.24166666666666667
mp算法,1,0,3,0,22,1,3,30,7.658333333333333
非线性检测算法,0,0,1,0,4,0,0,5,1.0916666666666668
lmmse算法,0,0,1,0,6,0,0,7,1.575
zf算法,0,0,0,0,7,0,0,7,1.6916666666666667
线性检测算法,1,0,2,0,5,0,1,9,2.7
信号检测算,0,0,0,0,1,0,0,1,0.24166666666666667
叠加噪声,0,0,0,0,1,0,0,1,0.24166666666666667
迭代次数,0,0,1,5,9,4,0,19,3.8916666666666666
深度,0,0,1,0,0,8,0,9,2.0583333333333336
误比特率,1,0,0,0,10,2,0,13,3.9
信噪比,0,0,0,0,7,2,0,9,2.175
弱径,0,0,0,0,0,2,0,2,0.48333333333333334
仿真,2,0,1,0,4,3,1,11,4.058333333333334
感受野,0,0,0,1,0,7,0,8,1.8166666666666667
估计信道,0,0,0,0,0,2,0,2,0.48333333333333334
dncnn层数,0,0,0,0,0,2,0,2,0.48333333333333334
otfs信道,1,0,5,0,0,9,2,17,4.283333333333333
信道优化系统,0,0,0,0,0,1,0,1,0.24166666666666667
鲁棒,0,0,2,0,0,1,0,3,0.4916666666666667
深度学习方法,0,0,3,3,0,1,0,7,0.9916666666666667
神经网络,0,0,14,31,45,5,1,96,17.95
mp算,0,0,0,0,0,1,0,1,0.24166666666666667
误比特率性能,0,0,0,0,1,1,0,2,0.48333333333333334
理想信道,0,0,0,0,0,1,0,1,0.24166666666666667
snr,0,0,0,0,1,1,0,2,0.48333333333333334
接收器,0,0,1,0,1,1,0,3,0.6083333333333334
耗时,0,0,0,0,3,1,0,4,0.9666666666666667
时间复杂度,1,0,1,0,0,2,0,4,1.6083333333333334
信道图像,0,0,0,0,0,8,0,8,1.9333333333333333
曲线图,0,0,0,0,0,1,0,1,0.24166666666666667
be,0,0,0,0,0,1,0,1,0.24166666666666667
ber,1,0,0,0,4,1,0,6,2.208333333333333
收敛性能,0,0,0,0,0,1,0,1,0.24166666666666667
检测算法,0,0,1,0,3,1,1,6,1.3333333333333333
去噪性能,0,0,0,0,0,2,0,2,0.48333333333333334
噪声影响,0,0,0,0,0,2,0,2,0.48333333333333334
gma,0,0,0,0,1,1,0,2,0.48333333333333334
sigma,0,0,0,0,0,1,0,1,0.24166666666666667
pilotsnr,0,0,0,0,0,1,0,1,0.24166666666666667
二维信道图像,1,0,0,0,0,3,0,4,1.725
拟合,0,0,0,0,0,1,0,1,0.24166666666666667
优化收敛,0,0,0,0,0,1,0,1,0.24166666666666667
曲线,0,0,1,0,0,1,0,2,0.3666666666666667
深度影响,0,0,0,0,0,1,0,1,0.24166666666666667
snrp,0,0,0,0,0,2,0,2,0.48333333333333334
优化次数,0,0,0,0,0,1,0,1,0.24166666666666667
学习速率,0,0,0,10,1,1,0,12,1.7333333333333334
mse,1,0,0,0,0,1,0,2,1.2416666666666667
