,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
设备,2,0,24,1,3,84,3,117,26.875
成新率,0,0,0,0,0,17,0,17,4.108333333333333
价值评估,0,0,2,1,0,10,2,15,3.275
年限,0,0,0,0,0,8,0,8,1.9333333333333333
重置成本,0,0,0,0,0,2,0,2,0.48333333333333334
设备资产管理模块,0,0,0,0,0,6,0,6,1.45
安装费,0,0,0,0,0,2,0,2,0.48333333333333334
运杂费,0,0,0,0,0,4,0,4,0.9666666666666667
技术鉴定,0,0,0,0,0,2,0,2,0.48333333333333334
年限法,0,0,0,0,0,1,0,1,0.24166666666666667
成本法,0,0,1,0,0,1,1,3,0.6083333333333334
资产评估,0,0,0,0,0,1,0,1,0.24166666666666667
用寿命,0,0,2,1,1,3,0,7,1.3416666666666668
数据库,0,0,0,0,0,11,0,11,2.658333333333333
信息,0,0,2,0,0,5,0,7,1.4583333333333333
台账状态,0,0,0,0,0,1,0,1,0.24166666666666667
采购,0,0,0,0,0,1,0,1,0.24166666666666667
采购人员,0,0,0,0,0,1,0,1,0.24166666666666667
资产管理,0,0,2,0,0,6,1,9,1.9416666666666667
设备台账信息,0,0,0,0,0,5,0,5,1.2083333333333333
源域,2,0,7,25,19,0,6,59,12.041666666666668
目标域,2,0,7,24,17,0,5,55,11.191666666666666
特征空间,4,0,2,3,1,0,4,14,5.833333333333333
模型,0,0,11,9,12,3,3,38,6.85
数据,1,0,12,24,10,24,3,74,14.441666666666666
rul预测算法,2,0,5,0,1,7,2,17,5.041666666666666
权重,1,0,2,2,20,0,2,27,6.816666666666666
分布差异,1,0,2,0,4,0,2,9,2.7
样本差异度量,2,0,2,0,0,0,2,6,2.7333333333333334
年限成新率,0,0,0,0,0,1,1,2,0.48333333333333334
预测性,1,0,2,0,0,1,1,5,1.7333333333333334
工业设备运维系统,1,0,5,0,0,8,1,15,3.8
微信小程序,1,0,5,0,0,14,1,21,5.25
设备状态监测,0,0,0,0,0,1,1,2,0.48333333333333334
工况权重计算机,0,0,1,0,0,0,1,2,0.3666666666666667
域自适应模型,0,0,2,1,2,0,1,6,1.1
模型性能,0,0,4,0,1,0,1,6,0.9833333333333334
均值差异,0,0,0,1,0,0,1,2,0.3666666666666667
