,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
设备,4,0,11,20,15,3,0,53,12.225
d2d通信技术,0,0,4,3,0,0,0,7,0.875
通信技术,0,0,4,5,0,0,0,9,1.125
干扰控制,0,0,0,4,0,0,0,4,0.5
资源管理,0,0,0,3,0,0,0,3,0.375
模式,0,0,0,2,0,0,0,2,0.25
同步,0,0,0,23,0,0,0,23,2.875
d2d通信,1,0,19,46,2,0,7,75,11.3
资源分配,2,1,13,6,11,5,6,44,11.691666666666666
用户密度,1,0,6,0,2,5,1,15,3.6833333333333336
d2d邻居,3,0,9,15,4,3,0,34,7.691666666666666
时延性能,5,0,4,0,0,12,2,23,8.883333333333333
自适应调整,2,0,5,0,0,7,0,14,4.316666666666666
性能,1,0,3,1,9,5,1,20,5.125
发送概率,2,0,3,0,0,20,6,31,8.658333333333333
资源,1,0,2,7,52,25,3,90,21.458333333333332
性能缺陷,0,0,1,0,0,0,0,1,0.125
分布式,0,0,5,0,4,0,3,12,2.3166666666666664
资源分配方案,1,0,3,1,2,2,1,10,2.708333333333333
文本,0,0,1,0,0,0,0,1,0.125
同步信号源,0,0,0,9,0,0,0,9,1.125
同步信号,0,0,0,10,0,0,0,10,1.25
d2d设备,1,0,2,35,16,4,0,58,10.458333333333332
基站,1,0,5,23,4,0,1,34,5.708333333333333
蜂窝小区,0,0,0,13,2,1,0,16,2.35
ue,0,0,0,18,8,0,0,26,4.183333333333334
sd2dss,0,0,0,2,0,0,0,2,0.25
pd2dss,0,0,0,2,0,0,0,2,0.25
d2dss,0,0,0,2,0,0,0,2,0.25
d2d同步信号,0,0,0,2,0,0,0,2,0.25
d2d同步信号源,0,0,0,2,0,0,0,2,0.25
zc序列,0,0,0,2,0,0,0,2,0.25
运营商网络,0,0,0,1,0,0,0,1,0.125
异步蜂窝网络,0,0,0,1,0,0,0,1,0.125
电池,0,0,0,2,0,0,0,2,0.25
广播同步信号,0,0,0,1,0,0,0,1,0.125
d2d系统,0,0,0,2,0,0,0,2,0.25
同步实现机制,0,0,0,1,0,0,0,1,0.125
同步系统,0,0,0,2,0,0,0,2,0.25
d2ds,0,0,0,1,0,0,0,1,0.125
接收机,0,0,0,3,0,0,0,3,0.375
m序列,0,0,0,2,0,0,0,2,0.25
secondaryd2dsynchronization,0,0,0,1,0,0,0,1,0.125
辅d2d同步信号,0,0,0,1,0,0,0,1,0.125
2dsynchroniza,0,0,0,1,0,0,0,1,0.125
非基站,0,0,0,1,0,0,0,1,0.125
sss,0,0,0,3,0,0,0,3,0.375
pss,0,0,0,3,0,0,0,3,0.375
3gpp,0,0,5,4,1,2,1,13,2.091666666666667
中继,0,0,0,3,0,0,0,3,0.375
无蜂窝,0,0,0,1,0,0,0,1,0.125
蜂窝,0,0,0,14,1,1,0,16,2.2333333333333334
同步源,0,0,0,3,0,0,0,3,0.375
蜂窝覆盖场景,0,0,0,1,0,0,0,1,0.125
簇头,0,0,0,2,0,0,0,2,0.25
d2d簇,0,0,0,1,0,0,0,1,0.125
射频模块,0,0,0,1,0,0,0,1,0.125
复用zc序列,0,0,0,1,0,0,0,1,0.125
复杂度,0,0,0,2,1,0,0,3,0.4916666666666667
接收解调zc序列,0,0,0,1,0,0,0,1,0.125
802.11,0,0,0,1,0,0,0,1,0.125
多载波调制,0,0,0,1,0,0,0,1,0.125
下行信道,0,0,0,1,0,0,0,1,0.125
lte系统,0,0,0,5,5,0,0,10,1.8333333333333333
lted2d系统,0,0,0,1,0,0,0,1,0.125
资源池,1,0,2,0,10,14,0,27,7.05
邻居,0,0,2,3,8,2,3,18,3.7666666666666666
直接信号,0,0,2,5,3,0,4,14,2.5666666666666664
邻居发现方案,0,0,1,0,0,0,0,1,0.125
资源分配方,1,0,1,0,0,1,0,3,1.3666666666666667
信令,0,0,1,1,1,0,1,4,0.7333333333333334
无线资源,0,0,1,1,0,0,0,2,0.25
广播信令,0,0,1,0,0,0,0,1,0.125
集中式,0,0,1,0,0,0,0,1,0.125
信号,0,0,2,2,10,4,1,19,4.125
流程,0,0,1,3,2,0,2,8,1.4666666666666668
d2d通信链路,0,0,1,1,0,0,0,2,0.25
时延,2,1,1,3,0,19,2,28,9.575
子帧数,0,0,0,0,3,13,5,21,5.075
资源利用率,1,0,0,0,0,0,1,2,1.2416666666666667
周期,2,0,0,0,18,7,2,29,8.525
连续分配,0,0,0,0,1,0,1,2,0.48333333333333334
用户数,1,0,0,1,5,23,6,36,9.341666666666667
资源块,0,0,0,0,26,3,3,32,7.733333333333333
概率,1,0,0,0,11,16,3,31,8.25
数值分析模型,0,0,0,0,0,0,2,2,0.48333333333333334
随机资源分配,0,0,0,0,0,0,2,2,0.48333333333333334
自适应资源分配,0,0,0,0,0,1,1,2,0.48333333333333334
d2due,0,0,0,0,1,0,1,2,0.48333333333333334
发送,0,0,0,0,0,0,1,1,0.24166666666666667
性能分,0,0,0,0,0,0,1,1,0.24166666666666667
数值分析,0,0,0,0,0,1,1,2,0.48333333333333334
平均时延,0,0,0,0,0,6,1,7,1.6916666666666667
时延分析模型,0,0,0,0,0,0,1,1,0.24166666666666667
平均发现,0,0,0,0,0,0,1,1,0.24166666666666667
平均发现概率,0,0,0,0,0,0,1,1,0.24166666666666667
能量,0,0,0,2,13,0,1,16,3.6333333333333333
功率控制,0,0,0,10,0,0,1,11,1.4916666666666667
干扰管理,0,0,0,3,0,0,1,4,0.6166666666666667
模式选择,0,0,0,0,0,0,1,1,0.24166666666666667
设备同步,0,0,0,0,0,0,1,1,0.24166666666666667
标准化,0,0,1,0,0,0,1,2,0.3666666666666667
报警,0,0,0,0,0,0,1,1,0.24166666666666667
人员定位,0,0,0,0,0,0,1,1,0.24166666666666667
搜救,0,0,0,0,0,0,1,1,0.24166666666666667
灾难,0,0,0,0,0,0,1,1,0.24166666666666667
通信,1,0,1,23,1,0,1,27,4.483333333333333
应急救援,0,0,1,1,0,0,1,3,0.4916666666666667
公共安全,0,0,4,3,0,0,1,8,1.1166666666666667
传输,0,0,0,0,3,0,1,4,0.9666666666666667
直连链路,0,0,0,0,0,0,1,1,0.24166666666666667
d2d,0,0,1,7,2,2,1,13,2.208333333333333
本地服务流量,0,0,0,0,0,0,1,1,0.24166666666666667
核心网,0,0,2,0,0,0,1,3,0.4916666666666667
子帧,2,0,0,0,23,9,0,34,9.733333333333334
下行链路,0,0,0,6,6,0,0,12,2.2
时隙,0,0,0,0,6,0,0,6,1.45
二帧结构,0,0,0,0,4,0,0,4,0.9666666666666667
类型,0,0,0,0,4,0,0,4,0.9666666666666667
rb,0,0,0,0,4,0,0,4,0.9666666666666667
上行链路,0,0,0,7,3,0,0,10,1.6
频带资源单元,0,0,0,0,2,0,0,2,0.48333333333333334
上行同步时隙,0,0,0,0,2,0,0,2,0.48333333333333334
下行同步时隙,0,0,0,0,2,0,0,2,0.48333333333333334
ofdm符号,0,0,0,0,2,0,0,2,0.48333333333333334
无线帧,0,0,0,0,2,0,0,2,0.48333333333333334
一帧结构,0,0,0,0,2,0,0,2,0.48333333333333334
ltetdd系统,0,0,0,1,2,1,0,4,0.85
ltefdd系统,0,0,0,1,2,1,0,4,0.85
tdd,0,0,0,1,3,0,0,4,0.85
fdd,0,0,0,0,3,0,0,3,0.725
频率,0,0,0,2,3,0,0,5,0.975
rbo,0,0,0,0,1,0,0,1,0.24166666666666667
连续子载波,0,0,0,0,1,0,0,1,0.24166666666666667
频域,0,0,0,0,1,0,0,1,0.24166666666666667
上行传输,0,0,0,0,1,0,0,1,0.24166666666666667
子倾,0,0,0,0,1,0,0,1,0.24166666666666667
子顿,0,0,0,0,1,0,0,1,0.24166666666666667
下行传输,0,0,0,0,1,0,0,1,0.24166666666666667
uppts,0,0,0,0,1,0,0,1,0.24166666666666667
uplinkpilottimes,0,0,0,0,1,0,0,1,0.24166666666666667
guardperiod,0,0,0,0,1,0,0,1,0.24166666666666667
保护周期,0,0,0,0,1,0,0,1,0.24166666666666667
dwpts,0,0,0,0,1,0,0,1,0.24166666666666667
downlinkpilottimes,0,0,0,0,1,0,0,1,0.24166666666666667
特殊子帧,0,0,0,0,1,0,0,1,0.24166666666666667
类型一帧结构,0,0,0,0,1,0,0,1,0.24166666666666667
格式,0,0,0,0,1,0,0,1,0.24166666666666667
cyclepref,0,0,0,0,1,0,0,1,0.24166666666666667
常规循环前缀,0,0,0,0,1,0,0,1,0.24166666666666667
slot,0,0,0,0,1,0,0,1,0.24166666666666667
sub-frame,0,0,0,0,1,0,0,1,0.24166666666666667
帧结构,0,0,0,0,1,0,0,1,0.24166666666666667
tdd系统,0,0,0,1,1,0,0,2,0.3666666666666667
时长,0,0,0,0,1,0,0,1,0.24166666666666667
无线帧结构,0,0,0,0,1,0,0,1,0.24166666666666667
双工系统,0,0,0,0,2,0,0,2,0.48333333333333334
时间段,0,0,0,0,1,0,0,1,0.24166666666666667
频带,0,0,0,1,1,0,0,2,0.3666666666666667
保护频带,0,0,0,0,1,0,0,1,0.24166666666666667
上下行频带,0,0,0,0,1,0,0,1,0.24166666666666667
带宽,0,0,0,0,1,0,0,1,0.24166666666666667
频段,0,0,0,12,1,0,0,13,1.7416666666666667
olte系统,0,0,0,0,1,0,0,1,0.24166666666666667
时分双工,0,0,0,0,1,0,0,1,0.24166666666666667
频分双工,0,0,0,0,1,0,0,1,0.24166666666666667
资源复用,0,0,0,1,1,0,0,2,0.3666666666666667
蜂窝通信,0,0,1,2,1,0,0,4,0.6166666666666667
resourceblock,0,0,0,0,2,0,0,2,0.48333333333333334
时间维度,0,0,0,0,1,0,0,1,0.24166666666666667
复用,0,0,0,1,1,0,0,2,0.3666666666666667
用户资源,0,0,0,0,1,0,0,1,0.24166666666666667
选择性衰落,0,0,0,0,1,0,0,1,0.24166666666666667
窄带子载波信道,0,0,0,0,1,0,0,1,0.24166666666666667
宽带信道,0,0,0,0,1,0,0,1,0.24166666666666667
ofdm技术,0,0,0,0,1,0,0,1,0.24166666666666667
多载波调制技,0,0,0,0,1,0,0,1,0.24166666666666667
ofdm,0,0,0,0,1,0,0,1,0.24166666666666667
通信服务质量,0,0,0,0,1,0,0,1,0.24166666666666667
通信需求,0,0,0,0,1,0,0,1,0.24166666666666667
资源结构,0,0,0,0,2,0,0,2,0.48333333333333334
drb,0,0,0,0,20,2,0,22,5.316666666666666
发现信号,0,0,0,11,36,3,0,50,10.8
drbs,0,0,0,0,8,0,0,8,1.9333333333333333
发现周期,0,0,0,0,13,8,0,21,5.075
映射函数,0,0,0,0,5,0,0,5,1.2083333333333333
能量值,0,0,0,0,5,0,0,5,1.2083333333333333
带内辐射,0,0,0,0,4,0,0,4,0.9666666666666667
沉默周期,0,0,0,0,3,0,0,3,0.725
质数,0,0,0,0,2,0,0,2,0.48333333333333334
编号,0,0,0,0,2,0,0,2,0.48333333333333334
冲突,0,0,0,0,2,1,0,3,0.725
时频,0,0,0,0,2,0,0,2,0.48333333333333334
跳跃,0,0,0,0,2,0,0,2,0.48333333333333334
半双工,0,0,0,0,6,0,0,6,1.45
资源跳跃,0,0,0,0,2,0,0,2,0.48333333333333334
远近效应,0,0,0,1,2,0,0,3,0.6083333333333334
干扰程度,0,0,0,0,2,0,0,2,0.48333333333333334
映射,0,0,0,0,1,0,0,1,0.24166666666666667
整数,0,0,0,0,1,0,0,1,0.24166666666666667
galois域,0,0,0,0,1,0,0,1,0.24166666666666667
二元组,0,0,0,0,1,0,0,1,0.24166666666666667
序号,0,0,0,0,1,0,0,1,0.24166666666666667
函数,0,0,0,0,1,2,0,3,0.725
资源跳跃函数,0,0,0,0,1,0,0,1,0.24166666666666667
bs,0,0,0,0,1,0,0,1,0.24166666666666667
沉默,0,0,0,0,4,0,0,4,0.9666666666666667
载波泄露,0,0,0,0,1,0,0,1,0.24166666666666667
中间频段,0,0,0,0,1,0,0,1,0.24166666666666667
ue3,0,0,0,0,2,0,0,2,0.48333333333333334
ue2,0,0,0,1,4,0,0,5,1.0916666666666668
贪婪,0,0,0,0,1,0,0,1,0.24166666666666667
时频资源,0,0,0,1,2,1,0,4,0.85
现信号,0,0,0,0,1,0,0,1,0.24166666666666667
能量检测,1,0,0,0,11,0,0,12,3.658333333333333
d2d通信系统,0,0,1,2,0,0,0,3,0.375
现机制,0,0,0,1,0,0,0,1,0.125
异步系统,0,0,0,1,0,0,0,1,0.125
频谱效率,0,0,0,3,0,0,0,3,0.375
ofdma,0,0,0,6,0,0,0,6,0.75
sc-fdma,0,0,0,6,0,0,0,6,0.75
调制技术,0,0,0,1,0,0,0,1,0.125
同步的系统,0,0,0,1,0,0,0,1,0.125
手机,0,0,3,0,0,0,0,3,0.375
通信模式,0,0,3,2,2,0,0,7,1.1083333333333334
5g系统,0,0,3,0,0,0,0,3,0.375
应急通信,0,0,2,1,0,0,0,3,0.375
蜂窝网络,0,0,2,14,0,0,0,16,2.0
异构网络,0,0,2,0,0,0,0,2,0.25
网络容量,0,0,2,0,0,0,0,2,0.25
移动通信系统,0,0,2,0,0,0,0,2,0.25
物联网,0,0,2,0,0,0,0,2,0.25
近距离业务,0,0,1,0,0,0,0,1,0.125
频谱利用率,2,0,1,4,0,2,0,9,3.1083333333333334
负载,0,0,1,2,0,0,0,3,0.375
安全事件,0,0,1,0,0,0,0,1,0.125
自然灾害,0,0,1,2,0,0,0,3,0.375
lterel-12,0,0,1,0,0,0,0,1,0.125
proximityservice,0,0,1,0,0,0,0,1,0.125
近距离服务,0,0,1,1,0,0,0,2,0.25
radioaccessnetwork,0,0,1,0,0,0,0,1,0.125
无线接入网,0,0,1,0,1,0,0,2,0.3666666666666667
thirdgeneration,0,0,1,0,0,0,0,1,0.125
强度,0,0,1,0,0,0,0,1,0.125
救援队,0,0,1,0,0,0,0,1,0.125
位置发现服,0,0,1,0,0,0,0,1,0.125
d2d技,0,0,1,0,0,0,0,1,0.125
三星,0,0,1,0,0,0,0,1,0.125
kt,0,0,1,0,0,0,0,1,0.125
it展,0,0,1,0,0,0,0,1,0.125
publicsafety,0,0,1,0,0,0,0,1,0.125
压力,0,0,1,0,0,0,0,1,0.125
带宽共享,0,0,1,0,0,0,0,1,0.125
点对点连接,0,0,1,0,0,0,0,1,0.125
flashlinq,0,0,1,2,0,0,0,3,0.375
高通公司,0,0,1,0,0,0,0,1,0.125
续航时间,0,0,1,1,0,0,0,2,0.25
电池消耗,0,0,1,1,0,0,0,2,0.25
发射功率,0,0,1,2,1,0,0,4,0.6166666666666667
终端,0,0,1,2,0,0,0,3,0.375
频谱资源,0,0,1,9,0,2,0,12,1.7333333333333334
无线通信系统,0,0,1,0,0,0,0,1,0.125
利用率,0,0,1,1,0,0,0,2,0.25
频谱,0,0,1,7,0,0,0,8,1.0
通信链路,0,0,1,1,0,0,0,2,0.25
移动通信厂商,0,0,1,0,0,0,0,1,0.125
设备通信,0,0,1,1,0,0,0,2,0.25
近距离设备,0,0,1,0,0,0,0,1,0.125
授权频段,0,0,1,2,0,0,0,3,0.375
数据流量,0,0,1,0,0,0,0,1,0.125
本地服务,0,0,1,0,0,0,0,1,0.125
网络覆盖率,0,0,1,0,0,0,0,1,0.125
小功率基站,0,0,1,0,0,0,0,1,0.125
中继基站,0,0,1,0,0,0,0,1,0.125
微微小区基站,0,0,1,0,0,0,0,1,0.125
家庭基站,0,0,1,0,0,0,0,1,0.125
蜂窝网络结构,0,0,1,0,0,0,0,1,0.125
带宽资源,0,0,1,0,0,0,0,1,0.125
通信服务,0,0,1,0,0,0,0,1,0.125
能量消耗,0,0,1,0,0,0,0,1,0.125
比特传输,0,0,1,0,0,0,0,1,0.125
运营商,0,0,1,10,0,0,0,11,1.375
节能,0,0,1,0,0,0,0,1,0.125
环保,0,0,1,0,0,0,0,1,0.125
基础设施,0,0,1,1,0,0,0,2,0.25
网络,0,0,1,0,1,0,0,2,0.3666666666666667
移动运营商,0,0,1,0,0,0,0,1,0.125
时延缩减,0,0,1,0,0,0,0,1,0.125
能量效率,0,0,1,0,0,0,0,1,0.125
峰值速率,0,0,1,0,0,0,0,1,0.125
无线通信技术,0,0,1,0,0,0,0,1,0.125
移动通信标准,0,0,1,0,0,0,0,1,0.125
宽带服务,0,0,1,0,0,0,0,1,0.125
移动数据量,0,0,1,0,0,0,0,1,0.125
移动数据流量,0,0,1,0,0,0,0,1,0.125
联网设备,0,0,1,0,0,0,0,1,0.125
联网,0,0,1,0,0,0,0,1,0.125
移动通信网络,0,0,1,0,0,0,0,1,0.125
移动社交网络,0,0,1,1,0,0,0,2,0.25
通用宽带移动服务,0,0,1,0,0,0,0,1,0.125
4g系统,0,0,1,0,0,0,0,1,0.125
prose实体,0,0,0,4,0,0,0,4,0.5
地理位置信息,0,0,0,3,0,0,0,3,0.375
epc,0,0,0,7,1,0,0,8,1.1166666666666667
邻居发现服务,0,0,0,1,1,0,0,2,0.3666666666666667
直接通信,1,0,0,1,0,0,0,2,1.125
信道条件,0,0,0,1,1,0,0,2,0.3666666666666667
直连通信,0,0,0,1,0,0,0,1,0.125
无线信道,0,0,0,1,0,0,0,1,0.125
位置,0,0,0,1,0,0,0,1,0.125
阈值,0,0,0,1,0,0,0,1,0.125
邻居设备,0,0,0,2,5,0,0,7,1.4583333333333333
位置信息,0,0,0,1,0,0,0,1,0.125
功能实体,0,0,0,1,0,0,0,1,0.125
能耗,0,0,0,4,1,0,0,5,0.7416666666666667
邻居发现,0,1,0,2,0,1,0,4,2.4916666666666667
质量,0,0,0,2,0,0,0,2,0.25
信道,0,0,0,2,0,0,0,2,0.25
定位,0,0,0,1,0,0,0,1,0.125
无蜂窝覆盖,0,0,0,4,2,0,0,6,0.9833333333333334
wi-fidirect,0,0,0,9,0,0,0,9,1.125
服务,0,0,0,2,1,4,0,7,1.4583333333333333
时间,0,0,0,3,1,0,0,4,0.6166666666666667
安全性管理,0,0,0,1,0,0,0,1,0.125
检测信标信号,0,0,0,1,0,0,0,1,0.125
异步,0,0,0,2,0,0,0,2,0.25
蓝牙系统,0,0,0,1,0,0,0,1,0.125
折扣信息,0,0,0,1,0,0,0,1,0.125
优惠券,0,0,0,1,0,0,0,1,0.125
商店,0,0,0,1,0,0,0,1,0.125
移动营销,0,0,0,1,0,0,0,1,0.125
移动设备,1,0,0,4,5,0,0,10,2.708333333333333
好友,0,0,0,1,0,0,0,1,0.125
会话,0,0,0,1,0,0,0,1,0.125
3d2d邻居,0,0,0,1,0,0,0,1,0.125
资源选取,2,0,0,0,2,0,0,4,2.4833333333333334
翎居设备,0,0,0,0,1,0,0,1,0.24166666666666667
邻居用户,0,0,0,0,1,0,0,1,0.24166666666666667
用户数量,0,0,0,0,1,2,0,3,0.725
随机资源,0,0,0,0,1,0,0,1,0.24166666666666667
邻居用户数,0,0,0,0,3,3,0,6,1.45
发现概率,0,0,0,0,8,5,0,13,3.1416666666666666
仿真参数,0,0,0,0,2,3,0,5,1.2083333333333333
仿真,1,0,0,0,3,4,0,8,2.6916666666666664
d2d用户数,0,0,0,0,0,2,0,2,0.48333333333333334
干扰,0,0,0,22,4,2,0,28,4.2
用户,0,0,0,1,4,4,0,9,2.0583333333333336
冲突概率,0,0,0,0,1,3,0,4,0.9666666666666667
离散点,0,0,0,0,0,1,0,1,0.24166666666666667
离散值,0,0,0,0,0,1,0,1,0.24166666666666667
仿真曲线,0,0,0,0,0,1,0,1,0.24166666666666667
子帧数量,0,0,0,0,0,1,0,1,0.24166666666666667
资源分配拥,0,0,0,0,0,1,0,1,0.24166666666666667
数量,0,0,0,0,0,3,0,3,0.725
分配子帧数,0,0,0,0,0,1,0,1,0.24166666666666667
密度,0,0,0,0,0,1,0,1,0.24166666666666667
时延质量,0,0,0,0,0,1,0,1,0.24166666666666667
参数,0,0,0,0,0,1,0,1,0.24166666666666667
资源分配拥挤,0,0,0,0,0,1,0,1,0.24166666666666667
双工,0,0,0,0,1,1,0,2,0.48333333333333334
o3gpp,0,0,0,0,0,1,0,1,0.24166666666666667
资源分配技术,0,0,0,0,0,1,0,1,0.24166666666666667
自适应,0,1,0,0,0,2,0,3,2.4833333333333334
上行频段,0,0,0,0,1,1,0,2,0.48333333333333334
蜂窝用户,0,0,0,17,0,0,0,17,2.125
系统,0,0,0,9,0,0,0,9,1.125
容量,0,0,0,9,0,0,0,9,1.125
直通链路,0,0,0,4,0,0,0,4,0.5
d2d用户,0,0,0,11,0,0,0,11,1.375
小区,0,0,0,2,0,0,0,2,0.25
数据,0,0,0,2,0,0,0,2,0.25
信噪比,0,0,0,4,0,0,0,4,0.5
资源复用条件,0,0,0,1,0,0,0,1,0.125
工作模式,0,0,0,1,0,0,0,1,0.125
信道状态信息,0,0,0,2,0,0,0,2,0.25
信道状态,0,0,0,1,0,0,0,1,0.125
蜂窝链路信道,0,0,0,1,0,0,0,1,0.125
控制,0,0,0,1,0,0,0,1,0.125
集中,0,0,0,1,1,0,0,2,0.3666666666666667
通信质量,0,0,0,1,0,0,0,1,0.125
复用资源,0,0,0,1,0,0,0,1,0.125
复用信道模式,0,0,0,1,0,0,0,1,0.125
上行资源,0,0,0,2,0,0,0,2,0.25
专用信道模式,0,0,0,1,0,0,0,1,0.125
基站转发,0,0,0,1,0,0,0,1,0.125
蜂窝模式,0,0,0,1,0,0,0,1,0.125
接收端设备,0,0,0,1,0,0,0,1,0.125
发送端,0,0,0,2,0,0,0,2,0.25
系统容量,0,0,0,2,0,0,0,2,0.25
蜂窝通信模式,0,0,0,2,0,0,0,2,0.25
主同步信号,0,0,0,7,0,0,0,7,0.875
