,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
ip硬核,0,0,0,2,0,0,0,0,2,0.25
事务层,0,0,0,2,1,1,0,1,5,0.79375
pcie总线,0,0,0,5,3,2,1,0,11,1.7125
逻辑开发,0,0,0,1,0,0,0,0,1,0.125
xilinx,0,0,0,2,0,1,0,3,6,0.975
数据,1,0,4,27,12,36,11,6,97,16.65625
协议层,0,0,0,1,0,0,0,0,1,0.125
physicallayer,0,0,0,1,0,0,0,0,1,0.125
物理层,0,0,0,2,0,1,0,0,3,0.43125
datalinklayer,0,0,0,1,0,0,0,0,1,0.125
数据链路层,0,0,0,1,0,1,0,0,2,0.30625
transactionlayer,0,0,0,1,0,0,0,0,1,0.125
总线协议,0,0,0,1,0,0,0,0,1,0.125
pcie,0,0,2,5,1,5,7,2,22,3.59375
osi模型,0,0,0,1,0,0,0,0,1,0.125
tcp/ip协议,0,0,0,2,0,0,0,0,2,0.25
计算机网络,0,0,0,1,0,0,0,0,1,0.125
层次,0,0,0,1,0,0,0,0,1,0.125
硬件网卡,0,0,2,3,2,0,0,0,7,0.9875
pcie3,0,0,0,1,0,0,0,0,1,0.125
pcie2.0,0,0,0,3,0,0,0,0,3,0.375
主板,0,0,0,1,0,0,0,0,1,0.125
pcie4.0,0,0,0,2,0,0,0,0,2,0.25
串行传输技术,0,0,0,1,0,0,0,0,1,0.125
总线接口,0,0,0,1,0,0,0,0,1,0.125
计算机,0,0,0,2,1,0,0,1,4,0.6125
pcie总线接口,0,0,0,1,0,0,0,2,3,0.4875
接口协议,0,0,0,1,0,0,0,0,1,0.125
pcie串行技术,0,0,0,1,0,0,0,0,1,0.125
数据搬移,0,0,0,8,0,0,0,0,8,1.0
主机,0,0,2,9,4,7,7,1,30,4.81875
网卡,2,0,6,42,14,3,7,8,82,13.8
高速串行总线技,0,0,0,1,0,0,0,0,1,0.125
高速智能网卡,4,0,24,21,3,1,0,5,58,11.25625
dma,1,0,3,9,3,11,2,3,32,5.94375
描述符,1,0,3,12,43,4,0,3,66,11.9375
pcie接口,0,0,0,4,1,0,0,1,6,0.8625
转发功能,0,0,0,1,0,1,0,1,3,0.4875
数据包头,0,0,0,2,3,1,0,1,7,1.15625
cam存储器,0,0,2,1,6,3,2,2,16,2.7312499999999997
pcs模块,0,0,4,9,9,6,18,6,52,8.69375
66b编码,0,0,2,1,0,1,0,1,5,0.7375
64b,0,0,3,5,2,8,5,2,25,4.08125
高智能网卡,0,0,0,0,0,0,0,1,1,0.18125
万兆以太网,1,0,2,1,0,2,0,1,7,1.91875
千兆以太网,0,0,1,2,1,0,0,1,5,0.7375
实验室,0,0,0,0,0,0,0,1,1,0.18125
芯片制造商,0,0,0,0,0,0,0,1,1,0.18125
时延,0,0,4,5,1,0,0,1,11,1.4875
吞吐量,1,0,3,5,0,2,0,1,12,2.54375
金融,0,0,2,0,0,0,0,1,3,0.43125
数据中心,0,0,10,1,0,0,0,1,12,1.55625
硬件资源,0,0,0,0,6,0,0,0,6,1.0875
同步,0,0,1,4,6,6,2,1,20,3.34375
驱动,0,0,0,2,7,2,2,0,13,2.24375
内存,0,0,0,9,9,6,3,2,29,4.75
极速查找,0,0,0,0,2,0,0,0,2,0.3625
查找,0,0,0,0,2,0,0,0,2,0.3625
同步头数据,0,0,0,0,2,0,0,0,2,0.3625
编码,0,0,1,9,6,7,2,3,28,4.512499999999999
同步头,1,0,1,4,21,27,4,2,60,11.4125
接收队列,0,0,0,1,5,2,1,0,9,1.575
dma读取,0,0,0,0,1,0,0,0,1,0.18125
pcie总线架构,0,0,0,0,1,0,0,0,1,0.18125
计算机驱动,0,0,0,0,1,0,0,0,1,0.18125
接收需,0,0,0,0,1,0,0,0,1,0.18125
接收描述符队列,0,0,0,0,7,0,0,0,7,1.26875
符多队列机制,0,0,0,1,1,0,0,0,2,0.30625
硬件,0,0,2,7,6,2,0,0,17,2.575
队列结构,0,0,0,0,1,0,0,0,1,0.18125
读取,0,0,0,0,3,1,0,0,4,0.725
符多队列,0,0,0,0,3,0,0,0,3,0.54375
硬件设备,0,0,0,0,1,0,0,0,1,0.18125
硬件功能,0,0,0,0,1,0,0,0,1,0.18125
软件查找法,0,0,0,0,1,0,0,0,1,0.18125
匹配查找功能,1,0,0,0,1,0,0,0,2,1.18125
高速实时通信系统,0,0,0,0,1,0,0,0,1,0.18125
查找速度,0,0,0,0,2,0,0,0,2,0.3625
哈希表查找法,0,0,0,0,1,0,0,0,1,0.18125
二叉树查找法,0,0,0,0,1,0,0,0,1,0.18125
线型查找法,0,0,0,0,1,0,0,0,1,0.18125
mac地址,0,0,5,8,10,4,10,3,40,6.51875
传输效率,0,0,0,3,1,0,0,0,4,0.55625
等待时间,0,0,0,0,1,0,0,0,1,0.18125
速率,0,0,0,2,2,5,0,0,9,1.51875
logbps,0,0,0,5,1,2,0,0,8,1.16875
同步头数,0,0,0,0,1,0,0,0,1,0.18125
66b,0,0,2,2,3,10,3,1,21,3.58125
控制字符,0,0,0,1,1,5,0,0,7,1.2125
10b,0,0,0,0,1,0,0,0,1,0.18125
8b,0,0,0,3,1,0,0,0,4,0.55625
扰码器,0,0,0,0,3,4,2,0,9,1.6312499999999999
数据位宽,0,0,0,1,3,1,0,0,5,0.85
rx通道,0,0,0,0,2,2,10,0,14,2.5375
tx通道,0,0,0,0,2,3,6,0,11,1.99375
时钟,0,0,0,2,2,1,0,0,5,0.79375
mac层,0,0,0,1,2,0,1,0,4,0.66875
接收,0,0,0,2,7,3,0,0,12,2.0625
位宽转换,0,0,0,1,2,5,3,0,11,1.9375
扰码,0,0,0,3,2,5,1,0,11,1.825
发送过程,0,0,0,1,2,0,0,0,3,0.4875
模块,0,0,2,4,3,4,5,1,19,3.1062499999999997
收发过程,0,0,0,0,1,0,0,0,1,0.18125
同步模块,0,0,0,0,4,1,5,0,10,1.8125
sync_block,0,0,1,0,4,1,5,0,11,1.9375
rx变速箱,0,0,0,0,8,9,7,0,24,4.35
解扰器,0,0,0,0,1,5,2,0,8,1.45
解码器,0,0,0,0,1,1,0,0,2,0.3625
64b/66b,0,0,0,0,1,1,0,1,3,0.54375
tx变速箱,0,0,0,0,1,7,3,0,11,1.99375
编码器,0,0,0,0,1,5,1,0,7,1.26875
通道,0,0,0,2,1,2,0,0,5,0.79375
接收通道,0,0,1,0,1,0,0,0,2,0.30625
发送通道,0,0,0,0,1,0,0,0,1,0.18125
数据通道,0,0,0,0,1,0,0,0,1,0.18125
