,摘要,关键词,第一章,第二章,第三章,第四章,总词频,加权得分
无人机,2,0,54,13,77,9,155,41.55
飞行路径,0,0,3,0,16,6,25,8.35
跳数,5,0,14,37,0,4,60,12.825
端到端时延,2,1,10,8,2,4,27,8.425
吞吐量,1,1,13,10,19,4,48,14.2125
信道接入算法,2,0,24,0,8,4,38,9.35
路由协议,2,0,24,19,0,4,49,8.825
跳数信息,0,0,3,11,0,3,17,2.8375
路径,0,0,6,0,8,3,17,4.7375
辅助网络,4,0,6,0,4,3,17,7.2875
接触时间,2,0,4,0,9,3,18,6.85
能耗,1,0,9,12,7,3,32,7.25
地面传感器节点,0,0,2,0,4,2,8,2.425
吞吐量性能,1,0,2,3,10,2,18,5.975
传输成功率,2,0,14,4,1,2,23,5.3375
周期性,0,0,1,3,3,2,9,2.3125
路由,0,0,18,2,0,2,22,3.225
端到端,1,0,3,3,0,2,9,2.475
大规模网络,0,0,8,5,0,2,15,2.35
模糊决策树,0,1,2,20,0,2,25,5.475
无人机群组网,0,0,0,0,0,2,2,0.725
时延,3,0,11,27,5,2,48,10.2875
网络,1,0,22,7,5,2,37,7.1625
sla性能,0,0,0,0,0,1,1,0.3625
qleaner,1,0,1,0,6,1,9,3.6625
iqra,1,0,2,0,7,1,11,4.15
dlma,1,0,1,0,7,1,10,4.025
接入冲突,1,0,1,0,0,1,3,1.4875
信息,0,0,1,7,8,1,17,4.262499999999999
传感器节点信息,0,0,0,0,1,1,2,0.725
调整路径,0,0,0,0,1,1,2,0.725
度量学习,0,1,3,0,11,1,16,6.725
速度信息,0,0,0,0,1,1,2,0.725
传感器节点,0,0,11,0,3,1,15,2.825
路径点,0,0,0,0,3,1,4,1.45
移动,0,0,2,0,3,1,6,1.7
通信接触时间,0,0,0,0,0,1,1,0.3625
移动无人机,2,0,2,0,0,1,5,2.6125
lbr,0,0,1,17,0,1,19,2.6125
doa,0,0,1,18,0,1,20,2.7375
mlproph,1,0,3,22,0,1,27,4.4875
qgeo,0,0,0,1,0,1,2,0.4875
fdt,2,0,1,35,0,1,39,6.8625
丢包,0,0,1,2,0,1,4,0.7375
转发,0,0,3,10,0,1,14,1.9875
时延性能,0,0,1,1,1,1,4,0.975
数据包,0,0,9,17,5,1,32,5.425
时间,0,0,1,2,0,1,4,0.7375
端到端路由链路,0,0,0,1,0,1,2,0.4875
模网络,0,0,0,1,0,1,2,0.4875
移动性,0,0,8,9,9,1,27,5.75
节点,1,0,52,72,36,1,162,29.9125
最低时延,0,0,0,0,0,1,1,0.3625
决策树模型,0,0,1,5,0,1,7,1.1125
传感器,0,0,5,0,0,1,6,0.9875
无人机基站,2,0,3,0,13,1,19,7.45
高速移动无人机,0,0,0,0,0,1,1,0.3625
路由跳数,0,0,1,2,0,1,4,0.7375
信道接入算,0,0,0,0,0,1,1,0.3625
端到端跳数,1,0,2,1,0,1,5,1.7375
延长网络寿命,0,0,0,0,0,1,1,0.3625
传感器数据,0,0,0,0,1,1,2,0.725
无线传感器网络,0,0,1,0,0,1,2,0.4875
协议,0,0,3,0,1,1,5,1.1
无人机组网路,0,0,0,0,0,1,1,0.3625
组网通信性能,0,0,0,2,0,1,3,0.6125
无人机组网通信,0,0,0,0,0,1,1,0.3625
移动机器人,1,0,3,0,2,1,7,2.4625
信道接入,0,0,4,0,11,0,15,4.4875
路径规划,0,0,0,0,19,0,19,6.8875
ack包,0,0,0,6,2,0,8,1.475
地面节点,0,0,4,0,3,0,7,1.5875
时隙分配,0,0,0,0,2,0,2,0.725
周期,0,0,1,0,2,0,3,0.85
信息收集,0,0,0,0,2,0,2,0.725
色号,0,0,0,0,2,0,2,0.725
地面机器人节点,0,0,0,0,5,0,5,1.8125
概率地图,0,0,0,0,11,0,11,3.9875
b居信息,0,0,0,0,1,0,1,0.3625
剩余能量,0,0,0,1,1,0,2,0.4875
节点ip,0,0,0,0,1,0,1,0.3625
ack包结构,0,0,0,0,1,0,1,0.3625
节点回传,0,0,0,0,1,0,1,0.3625
无人机广播,0,0,0,0,2,0,2,0.725
飞行轨迹,1,0,4,0,10,0,15,5.125
轨迹规划,0,0,0,0,1,0,1,0.3625
通信,2,0,6,0,4,0,12,4.2
becon,0,0,0,0,1,0,1,0.3625
算法帧结构,0,0,0,0,1,0,1,0.3625
数据,0,0,16,7,12,0,35,7.225
信道,0,0,2,0,4,0,6,1.7
机器人节点,0,0,0,0,3,0,3,1.0875
广播,0,0,6,1,1,0,8,1.2375
优先级,0,0,0,0,1,0,1,0.3625
接入优先级,0,0,0,0,1,0,1,0.3625
无人机节点,0,0,1,3,4,0,8,1.95
无冲突接入,0,0,0,0,1,0,1,0.3625
着色图,0,0,0,0,1,0,1,0.3625
信道接入模块,0,0,0,0,1,0,1,0.3625
度量矩阵,0,0,0,0,10,0,10,3.625
离线,0,0,1,0,4,0,5,1.575
节点信息,0,0,1,2,5,0,8,2.1875
信道分配,0,0,2,0,1,0,3,0.6125
信息更新模块,0,0,0,0,1,0,1,0.3625
决策树,1,0,10,7,0,0,18,3.125
神经网络,0,0,9,0,0,0,9,1.125
移动自组织网络,0,0,7,1,0,0,8,1.0
链路,0,0,6,9,2,0,17,2.6
学习自动机,0,0,9,0,0,0,9,1.125
fanet,0,0,7,0,0,0,7,0.875
自动机,0,0,9,0,1,0,10,1.4875
时延约束,0,0,4,0,0,0,4,0.5
虚拟骨干网,0,0,4,0,0,0,4,0.5
广播风暴,0,0,4,0,0,0,4,0.5
邻居,0,0,4,4,2,0,10,1.725
数据传输,0,0,5,2,1,0,8,1.2375
移动速度,1,0,4,12,13,0,30,7.7124999999999995
机会路由,0,0,3,0,0,0,3,0.375
邻居节点,1,0,5,14,2,0,22,4.1
消息,0,0,3,0,0,0,3,0.375
性能,0,0,13,22,14,0,49,9.45
基站,0,0,5,26,3,0,34,4.9625
拦截时间,0,0,3,0,0,0,3,0.375
地理路由协议,0,0,3,0,0,0,3,0.375
属性,0,0,3,22,3,0,28,4.2125
源节点无人机,0,0,3,0,0,0,3,0.375
地理位置,0,0,3,0,0,0,3,0.375
拓扑,0,0,5,0,0,0,5,0.625
传递,0,0,2,0,0,0,2,0.25
单跳邻居,0,0,2,0,0,0,2,0.25
dtrp,0,0,2,0,0,0,2,0.25
树形结构,0,0,2,1,0,0,3,0.375
中继节点,0,0,2,0,0,0,2,0.25
概率,0,0,3,1,1,0,5,0.8625
机会网络,0,0,2,0,0,0,2,0.25
广播泛洪,0,0,2,1,0,0,3,0.375
历史信息,0,0,3,1,0,0,4,0.5
网络路由协议,0,0,2,0,0,0,2,0.25
机器学习,0,0,5,0,0,0,5,0.625
无线链路,0,0,2,0,0,0,2,0.25
规模网络,0,0,2,2,0,0,4,0.5
源节点,0,0,2,0,0,0,2,0.25
接收无人机,0,0,2,1,1,0,4,0.7375
能源消耗,0,0,2,0,0,0,2,0.25
能量效率,0,0,3,0,0,0,3,0.375
数量,0,0,2,2,1,0,5,0.8625
能量消耗,0,0,3,5,3,0,11,2.0875
带宽消耗,0,0,2,0,0,0,2,0.25
路由控制消息,0,0,2,0,0,0,2,0.25
频率,0,0,2,1,0,0,3,0.375
路由控制包,0,0,2,2,0,0,4,0.5
fanet网络,0,0,2,0,0,0,2,0.25
移动自组网,0,0,2,0,0,0,2,0.25
速度,0,0,2,10,2,0,14,2.225
动态性,0,0,2,0,0,0,2,0.25
度量,0,0,3,1,4,0,8,1.95
位置,0,0,2,0,0,0,2,0.25
mpr集合,0,0,2,0,0,0,2,0.25
fanet路由协议,0,0,2,0,0,0,2,0.25
能量,0,0,4,5,5,0,14,2.9375
olsr,0,0,2,0,0,0,2,0.25
网络拓扑结构,0,0,2,0,0,0,2,0.25
无人机网络,0,0,3,0,0,0,3,0.375
拓扑结构,0,0,4,0,0,0,4,0.5
内部节点,0,0,1,0,0,0,1,0.125
决策模型,0,0,1,0,0,0,1,0.125
dtcr,0,0,1,0,0,0,1,0.125
dtcr0,0,0,1,0,0,0,1,0.125
认知路由,0,0,1,0,0,0,1,0.125
路由发现机制,0,0,1,0,0,0,1,0.125
生命周期,0,0,1,2,0,0,3,0.375
数据包路由时间,0,0,1,0,0,0,1,0.125
过期时间,0,0,1,2,0,0,3,0.375
节点速度,0,0,1,6,5,0,12,2.6875
自组网性能,0,0,1,0,0,0,1,0.125
链路断,0,0,1,0,0,0,1,0.125
路由指标,0,0,1,0,0,0,1,0.125
节点内存,0,0,1,0,0,0,1,0.125
指标,0,0,1,0,0,0,1,0.125
多路径路,0,0,1,0,0,0,1,0.125
暂态混沌神经网络,0,0,1,0,0,0,1,0.125
重传概率,0,0,1,0,0,0,1,0.125
移动代理技术,0,0,1,0,0,0,1,0.125
