,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
数据,0,0,21,9,0,4,4,1,39,5.38125
物联网,0,0,19,0,0,0,0,0,19,2.375
传感器,0,0,8,0,0,0,0,0,8,1.0
大数据,0,0,6,1,0,0,1,0,8,1.05625
连接,0,0,4,1,3,0,1,0,9,1.35
股票,1,0,6,0,4,0,5,0,16,3.3812499999999996
计算机,0,0,3,0,0,0,1,0,4,0.55625
数据处理,0,0,3,0,0,1,0,0,4,0.55625
大数据分析,0,0,3,0,0,0,0,0,3,0.375
速率,0,0,3,1,0,0,0,0,4,0.5
速度,0,0,3,0,2,1,1,0,7,1.1
图拓扑结构,1,0,2,1,0,0,2,0,6,1.7375
实体,0,0,2,0,0,0,0,0,2,0.25
大数据处理,0,0,2,0,0,0,0,0,2,0.25
时刻时间序列,1,0,2,2,0,0,0,0,5,1.5
权重,0,0,2,2,12,8,5,0,29,5.03125
数据维度,0,0,2,1,0,0,0,0,3,0.375
变量,0,0,2,23,9,0,0,0,34,4.75625
矢量化,0,0,2,0,0,0,0,0,2,0.25
空时数据,0,0,2,0,0,0,0,0,2,0.25
金融市场,0,0,2,0,0,0,1,0,3,0.43125
感知数据,0,0,2,0,0,0,0,0,2,0.25
行为,0,0,2,0,0,0,0,0,2,0.25
时间序列,1,0,2,4,6,2,1,1,17,3.5625
数据量,0,0,3,0,0,1,1,0,5,0.7375
传感网络,0,0,2,0,0,0,0,0,2,0.25
网络结构,0,0,4,0,2,2,0,0,8,1.225
估计模型,0,0,1,0,0,0,0,0,1,0.125
复杂度,0,0,2,2,0,5,1,0,10,1.5875
数据类型,0,0,1,0,0,0,0,0,1,0.125
模股票,0,0,1,0,0,0,0,0,1,0.125
内在联系,0,0,1,0,0,0,0,0,1,0.125
图数据,0,0,1,0,0,0,0,0,1,0.125
市场作用力,0,0,1,0,0,0,0,0,1,0.125
人物关系,0,0,1,0,0,0,0,0,1,0.125
位置关系,0,0,1,0,0,0,0,0,1,0.125
路由协议,0,0,1,0,0,0,0,0,1,0.125
节点,0,0,2,45,26,6,7,0,86,12.94375
社交网络,0,0,1,0,0,0,0,0,1,0.125
无线传感网络,0,0,1,0,0,0,0,0,1,0.125
计算机网络网络,0,0,1,0,0,0,0,0,1,0.125
传统信号,0,0,1,0,0,0,0,0,1,0.125
图信号处理,0,0,1,2,0,0,0,0,3,0.375
数据点,0,0,1,0,0,3,0,0,4,0.66875
权重矩阵,0,0,1,0,0,0,0,0,1,0.125
大数据集处理,1,0,1,1,0,0,0,0,3,1.25
数据分析,1,0,1,1,0,0,0,0,3,1.25
图结构,3,0,6,5,9,7,11,3,44,9.8125
内部,0,0,1,0,0,0,0,0,1,0.125
图节点,0,0,1,3,1,0,4,0,9,1.40625
矩阵数据结构,0,0,1,0,0,0,0,0,1,0.125
图拓扑关系,0,0,1,0,0,0,0,0,1,0.125
空间关系,0,0,1,1,0,0,0,0,2,0.25
矢量数据结构,0,0,1,0,0,0,0,0,1,0.125
实时预测,0,0,1,0,0,0,0,0,1,0.125
流系统,0,0,1,0,0,0,0,0,1,0.125
迭代次数,0,0,1,0,4,1,0,0,6,1.03125
收敛,0,0,1,1,2,0,0,0,4,0.6125
迭代处理,0,0,1,0,0,0,0,0,1,0.125
数据预测,0,0,1,0,0,0,0,0,1,0.125
矩阵,0,0,1,7,9,5,4,0,26,4.262499999999999
粉丝数,0,0,1,0,0,0,0,0,1,0.125
评论数,0,0,1,0,0,0,0,0,1,0.125
发帖,0,0,1,0,0,0,0,0,1,0.125
推特,0,0,1,0,0,0,0,0,1,0.125
社交,0,0,1,0,0,0,0,0,1,0.125
血液,0,0,1,0,0,0,0,0,1,0.125
血压,0,0,1,0,0,0,0,0,1,0.125
