parent_url,parent_name,this_url,name,level,word_frequency
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_1,采样点,4,3
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_2,无线电环境,4,3
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_3,观测信号,4,2
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_4,初始化,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_5,半自适应采样频谱感知,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_6,单调性,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_7,信噪比,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_8,噪声,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_9,常数,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_10,方差吐,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_11,信号,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_12,检测阈值,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_13,采样点取系统,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_14,频谱感知控制信号,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_15,自适应采样,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_16,检测性能,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_17,半自适应调整,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_18,采样点数,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_19,半自适应检测策,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_20,检测概率,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_21,样点,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_22,检测策,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_23,感知阈值,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_24,cdr,4,1
认知无线网络中精准频谱感知技术研究_3级_15,A.CFAR,认知无线网络中精准频谱感知技术研究_知识点_25,恒检测准则,4,1
