(洛伦兹力, Lorentz Force): 1
(真空室, Vacuum Chamber): 4
(磁感应强度, Magnetic Induction): 1
(电子感应加速器, Electron Induction Accelerator): 3
(切向力, Tangential Force): 1
(柱形电磁铁, Cylindrical Electromagnet): 1
(交变场, Alternating Field): 1
(交变电流, Alternating Current): 1
(旋电场, Rotating Electric Field): 5
(有旋电场, Rotating Electric Field): 5
(电子圆形轨道, Electron Circular Orbit): 2
(交变磁场, Alternating Magnetic Field): 2
(动量, Momentum): 2
(空隙, Gap): 1
(周期, Period): 1
(磁通量, Magnetic Flux): 1
(能量, Energy): 1
(电子枪, Electron Gun): 2
