(分子性质, Molecular Properties): 0
(平均碰撞频率, Mean Collision Frequency): 10
(能量均分定理, Equipartition Theorem): 2
(气体状态, Gas State): 1
(分子的有效直径, Effective diameter of molecules): 3
(理想气体状态方程, Ideal Gas State Equation): 1
(重力场, Gravity Field): 2
(自由路程, Free path): 1
(分子数密度, Molecular Number Density): 3
(平均自由程, Average free path): 13
(分子的平均碰撞频率, Average collision frequency of molecules): 4
(平均自由程, Mean Free Path): 13
(温度, Temperature): 6
(麦克斯韦速率分布律, Maxwell Speed Distribution Law): 3
(单位体积内的分子数, Number of molecules per unit volume): 1
(分子的碰撞, Collision of molecules): 0
(压强, Pressure): 4
(分子的运动轨迹, Motion trajectory of molecules): 0
(平均碰撞频率, Average collision frequency): 10
(分子的相对速率, Relative velocity of molecules): 0
(平均速率, Average velocity): 9
(玻耳兹曼能量分布律, Boltzmann Energy Distribution Law): 1
(内能, Internal Energy): 3
(气体的压强, Pressure of gas): 1
