(导体, Conductor): 49
(静电屏蔽, Electrostatic shielding): 2
(电荷面密度, Charge surface density): 9
(电势, Electric potential): 11
(电场强度分布, Electric field distribution): 2
(静电平衡, Static equilibrium): 14
(避雷针, Lightning rod): 3
(引力和静电力服从平方反比律, Gravitational and electrostatic forces obey the inverse square law): 0
(感应电荷, Induced charge): 6
(电势分布, Potential distribution): 2
(静电感应, Electrostatic induction): 4
(电荷分布, Charge distribution): 7
(导体表面上电场强度的大小, Magnitude of electric field intensity on the surface of a conductor): 0
(导体表面上电荷的均匀分布, Uniform distribution of charge on the surface of a conductor): 0
(曲率, Curvature): 4
(尖端放电, Corona discharge): 5
(自由电子, Free electrons): 2
(引力场和静电场的重要差别, Important differences between gravitational field and electrostatic field): 0
(金属壳, Metal shell): 2
(电荷守恒定律, Law of conservation of charge): 2
(高斯定理, Gauss's theorem): 1
(电势, Potential): 11
(静电平衡, Electrostatic equilibrium): 14
(电势差, Potential difference): 3
(电场强度, Electric field strength): 18
(电场, Electric field): 34
(净电荷, Net charge): 5
(引力场的屏蔽, Shielding of gravitational field): 0
(带电导体的等势面, Equipotential surface of a charged conductor): 0
