(电阻, Resistance): 2
(静电力, static force): 1
(交流电, Alternating current): 6
(并排放着, placed side by side): 1
(勻强磁场, uniform magnetic field): 1
(矢量, Vector): 2
(线圈, coil): 22
(弧长, Arc length): 0
(频率, Frequency): 4
(转动线圈, Rotating coil): 2
(感应电动势, induced electromotive force): 6
(导体线圈, conductor coil): 3
(水平放置线圈, horizontally placed coil): 1
(积分, Integration): 3
(圆心角, Central angle): 2
(电子, electron): 1
(功, work): 1
(有旋电场, rotating electric field): 1
(磁铁, magnet): 2
(动生电动势, Induced electromotive force): 7
(导体回路, conductor circuit): 3
(矢积, Vector product): 1
(电键, switch): 1
(关系式, relationship): 1
(通电回路, electric circuit): 1
(可变电阻, variable resistor): 1
(方向, direction): 14
(切割磁力线运动, cutting magnetic field lines motion): 1
(圆形线圈, Circular coil): 1
(直导线, straight wire): 1
(磁场随时间变化, magnetic field changes with time): 1
(圆盘发电机, disk generator): 1
(动生电动势, induced electromotive force): 7
(大小, magnitude): 3
(半径, Radius): 1
(匀角速度, Uniform angular velocity): 1
(电势, potential): 4
(磁场线, Magnetic field lines): 2
(感应电流, induced current): 9
(自由电荷, free charge): 1
(条形磁铁, bar magnet): 1
(夹角关系, Angle relationship): 1
(感生电动势, induced electromotive force): 2
(电源, power source): 3
(电接触, electrical contact): 1
(导体圆回路, conductor circular loop): 1
(感应电流的方向, direction of induced current): 2
(电流, Current): 14
(洛伦兹力, Lorentz force): 4
(感应电动势, Induced electromotive force): 6
(法拉第电磁感应定律, Faraday's law of electromagnetic induction): 1
(速度, velocity): 6
(周期, Period): 1
(感应电动势随时间的变化曲线, curve of induced electromotive force with time): 1
(运动导线, Moving wire): 1
(标积, Scalar product): 1
(导体杆, conductor rod): 2
