(水, Water): 1
(大和小, Large and small): 1
(左右反转, Left-right reversal): 0
(表14.3, Table 14.3): 2
(色散像差, Chromatic aberration): 1
(距球心, Distance from the center of the sphere): 1
(薄透镜, Thin lens): 3
(浸泡, Immerse): 1
(大小, Size): 6
(放大率, Magnification ratio): 8
(物体, Object): 3
(虚像, Virtual image): 8
(连续变化, Continuous change): 0
(虚焦点, Virtual focus): 1
(平面镜, Plane mirror): 7
(反射定律, Law of reflection): 2
(广角后视镜, Wide-angle rearview mirror): 1
(缩小, Reduced): 6
(两平面反射镜, Two plane mirrors): 1
(光轴, Optical axis): 7
(凹球面反射镜, Concave spherical mirror): 7
(反射镜, Reflecting mirror): 67
(光路图, Ray diagram): 9
(兔平面镜, Plane mirror): 1
(像距, Image distance): 6
(缩小, Reduction): 6
(球面像差, Spherical aberration): 1
(房中相对悬挂的平面镜, Plane mirror hanging in the room): 1
(焦点, Focus): 17
(放大率, Magnification): 8
(凹面镜, Concave mirror): 1
(正立, Upright): 9
(凸球面反射镜, Convex spherical mirror): 4
(位置方位(倒立、正立), Position orientation (inverted, upright): 0
(实焦点, Real focus): 1
(物距, Object distance): 3
(像较暗, Dimmer image): 1
(楠球, Ellipsoidal surface): 2
(光线聚焦, Light focusing): 1
(倒立正立, Inverted upright): 1
(上下反转, Top-bottom reversal): 0
(主光线, Principal ray): 3
(凹球面镜, Concave spherical mirror): 5
(凹, Concave): 15
(物像公式, Formula for image formation): 9
(放大, Magnification): 13
(像点, Image point): 1
(像, Image): 87
(球壳, Spherical shell): 2
(倒立, Inverted): 5
(光线, Ray): 17
(实像, Real image): 8
(光的反射定律, Law of reflection): 1
(抛物面, Parabolic surface): 1
(放大, Enlarged): 13
(符号规则, Symbol rules): 9
(阳光点火, Ignite with sunlight): 1
(实像位置, Position of real image): 1
(球面反射镜, Spherical mirror): 29
(傍轴近似, Paraxial approximation): 2
(物点, Object point): 4
(凸球面反射镜, Convex spherical reflecting mirror): 4
(无限远处, Infinity): 1
(曲率半径, Radius of curvature): 3
(无穷大, Infinity): 1
(凹球面反射镜, Concave spherical reflecting mirror): 7
(条件, Conditions): 3
(位置类型(虚、实), Position type (virtual, real): 0
(凸, Convex): 7
(等距离, Equal distance): 1
(非球面反射镜, Non-spherical reflecting mirror): 1
(光源, Light source): 2
(放大缩小, Magnification): 1
(凹面反射镜, Concave mirror): 1
(像高, Image height): 1
(球面反射镜, Spherical reflecting mirror): 29
(焦距, Focal length): 8
