(带电物体, Charged object): 1
(矢量, Vector): 5
(电场强度矢量, Electric field strength vector): 1
(试验电荷, Test charge): 8
(空间坐标, Spatial coordinates): 1
(单值性, Uniqueness): 1
(典型场强, Typical field strength): 0
(电荷量, Charge): 3
(电场性质, Electric field properties): 1
(铀核的表面, Surface of a uranium nucleus): 1
(场源电荷, Source charge): 1
(脉冲星的表面, Surface of a pulsar): 1
(电视显像管内, Inside a TV display tube): 1
(室内电线附近, Near indoor electrical wires): 1
(场强, Field strength): 8
(高压电器击穿空气处, Air breakdown near high-voltage equipment): 0
(位置, Position): 2
(正负电荷, Positive and negative charge): 0
(场点, Field point): 4
(雷雨云附近, Near thunderstorm clouds): 1
(点电荷, Point charge): 1
(氢原子的电子所在处, Location of electrons in a hydrogen atom): 1
(X射线管内, Inside an X-ray tube): 1
(电场强度, Electric field strength): 5
(电场, Electric field): 28
(氢原子的电子所在处, Location of electron in a hydrogen atom): 1
(静电力, Electrostatic force): 1
(地面附近, Near the ground): 1
