(X射线, X-ray): 19
(X射线结构分析, X-ray crystallography): 1
(单缝衍射, Single slit diffraction): 3
(正人射, On-axis shooting): 1
(杨氏双缝实验, Young's double-slit experiment): 1
(衍射, Diffraction): 31
(暗纹条件, Dark fringe condition): 1
(光谱重叠, Spectral overlap): 0
(X射线光谱分析, X-ray spectroscopy): 1
(晶体, Crystal): 22
(多光束干涉, Multiple-beam interference): 1
(葶夸吵亨孕毕兮芩, Formation of interference pattern): 1
(光栅常量, Grating constant): 3
(光强分布, Intensity distribution): 4
(衍射图样变化, Changes in diffraction pattern): 0
(分离, Separation): 1
(图15*64, Figure 15*64): 1
(晶格常量, Lattice constant): 2
(0级, Zeroth order): 3
(入射X射线, Incident X-ray): 2
(相邻两层反射波的光程差, Optical path difference between adjacent layers): 1
(原子层间的距离, Distance between atomic layers): 1
(光栅衍射主极大明纹, Main bright fringes in grating diffraction): 1
(布拉格定律, Bragg's law): 0
(第二种情况, Second case): 1
(晶体微观结构和缺陷, Crystal microstructure and defects): 1
(束平彳7HIr的X射线, X-ray with grazing incidence angle P): 1
(光栅衍射, Grating diffraction): 5
(衍射实验, Diffraction experiment): 1
(斜人射, Off-axis shooting): 1
(相干条件, Coherence condition): 1
(光栅衍射条纹影响因素, Factors affecting grating diffraction fringes): 0
(劳厄斑, Laue spots): 5
(缝宽, Slit width): 2
(劳厄斑, Laue spot): 5
(菲涅耳半波带法, Fresnel half-period method): 1
(缝间干涉, Interference between slits): 1
(光栅, Grating): 16
(晶面, Crystal plane): 5
