(干涉图样, interference pattern): 7
(针孔间距, pinhole spacing): 2
(双缝干涉实验装置, double-slit interference experimental setup): 0
(干涉性质和特点, interference properties and characteristics): 1
(光的干涉现象, interference phenomenon of light): 1
(相干光源, coherent light source): 1
(光的波动性, wave nature of light): 0
(屏幕与双缝距离, distance between screen and double slits): 0
(彩色条纹, colored fringes): 1
(杨氏干涉实验装置, Young's interference experiment setup): 1
(杨氏干涉, Young's interference): 9
(干涉条纹, interference fringes): 13
(相干光波, coherent light waves): 1
(杨氏干涉的强度公式, Young's interference intensity formula): 1
(干涉条纹间距, interference fringe spacing): 2
(波长, wavelength): 11
(重叠, overlap): 6
(杨氏干涉实验, Young's interference experiment): 6
(激光, laser): 2
(相邻明条纹间距, distance between adjacent bright fringes): 1
(观测屏幕, observation screen): 4
(干涉减弱, interference reduction): 1
(分波前干涉空间相干性, interference spatial coherence of divided wavefronts): 1
(暗条纹, dark fringes): 4
(红光, red light): 2
(相位差, phase difference): 4
(干涉图样的强度关系, intensity relationship of interference pattern): 1
(双缝间距, distance between double slits): 5
(钠光灯, sodium lamp): 1
(白光, white light): 2
(波程差, path difference): 4
(紫光, violet light): 2
(中央明纹, central bright fringe): 3
(级次, order): 8
(针孔, pinhole): 5
(明条纹, bright fringes): 7
(最小分辨距离, minimum resolvable distance): 1
(光波的叠加原理, superposition principle of light waves): 1
(干涉光强分布曲线, interference intensity distribution curve): 1
(干涉条纹的间距, interference fringe spacing): 1
(惠更斯原理, Huygens' principle): 1
(光强极小, minimum intensity): 1
(光谱的级次, order of spectrum): 2
