(韦伯, Weber): 1
(右手螺旋法则, Right-hand Rule): 1
(铁屑, Iron Filings): 1
(磁通量的概念, Concept of Magnetic Flux): 1
(积分, Integration): 2
(磁通量的计算, Calculation of Magnetic Flux): 0
(曲面, Surface): 12
(标量, Scalar): 1
(法向单位矢量, Normal Unit Vector): 1
(磁场线, Magnetic Field Lines): 10
(特斯拉, Tesla): 0
(闭合曲线, Closed Curve): 1
(磁通量, Magnetic Flux): 13
(单位, Unit): 2
(载流圆线圈, Current-carrying Circular Coil): 1
(安培, Ampere): 0
(闭合曲面, Closed Surface): 4
(磁棒, Magnetic Bar): 1
(磁感应强度, Magnetic Induction): 0
(载流长直导线, Current-carrying Straight Wire): 1
(面积元, Area Element): 6
(电场线, Electric Field Lines): 1
(磁场线的定义, Definition of Magnetic Field Lines): 1
