(能量转化, energy conversion): 1
(热量, heat): 14
(摩尔热容与温度关系, relationship between molar heat capacity and temperature): 0
(体积变化, Volume Change): 2
(热运动, Thermal motion): 7
(作功, Work): 12
(热力学系统, Thermodynamic System): 1
(内燃机, Internal combustion engine): 1
(功, Work): 48
(热量, Heat): 14
(外界, External environment): 16
(态, State): 40
(气体, Gas): 14
(理想气体, ideal gas): 5
(体积, Volume): 11
(体积, volume): 11
(位移, Displacement): 2
(功, work): 48
(定体摩尔热容, constant volume molar heat capacity): 1
(温度变化, temperature change): 1
(内能, Internal energy): 14
(系统, system): 50
(过程量, process quantity): 4
(外界, surroundings): 16
(能量传递, energy transfer): 1
(等体过程, isochoric process): 2
(内能增量, Change in Internal Energy): 1
(压强, pressure): 3
(定压摩尔热容, constant pressure molar heat capacity): 2
(体积功, Volume work): 2
(放热, heat release): 1
(能量交换, energy exchange): 0
(机械能, Mechanical Energy): 7
(系统, System): 50
(温度, Temperature): 16
(准静态过程, Quasi-static Process): 11
(P-F图, P-V diagram): 1
(外界对系统作功, Work Done by the Surroundings on the System): 0
(吸热, heat absorption): 1
(压强, Pressure): 3
(机械能, Mechanical energy): 7
(传热, Heat Transfer): 5
(热运动状态, Thermal Motion State): 3
(活塞, Piston): 2
(体积功, volume work): 2
(摩尔热容, molar heat capacity): 8
(准静态过程, Quasi-static process): 11
(关系式, relationship equation): 1
(准静态过程, quasi-static process): 11
(状态函数, State Function): 2
(比热, specific heat): 1
(过程量, Process quantity): 4
(蒸汽机, Steam engine): 1
(总功, Total work): 1
(温度, temperature): 16
(内能, Internal Energy): 14
(状态函数, state function): 2
(等压过程, isobaric process): 2
(理想气体, Ideal Gas): 5
(气缸, Cylinder): 3
