,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
可见光通信,3,1,51,44,2,1,5,3,110,18.86875
可见光信号,1,0,11,21,5,7,2,0,47,7.5375
速率,0,0,8,5,12,1,3,2,31,4.887499999999999
可见光通信技术,0,0,11,9,0,0,0,1,21,2.68125
射频通信,0,0,4,6,2,1,0,0,13,1.79375
干扰,0,0,4,9,3,0,0,0,16,2.16875
射频通信系统,0,0,2,0,1,1,0,0,4,0.6125
智能家居,0,0,3,0,0,0,1,0,4,0.55625
基础设施,0,0,2,1,0,0,0,0,3,0.375
通信,0,0,11,20,2,2,3,0,38,5.14375
下行广播,0,0,2,0,0,0,0,0,2,0.25
通信速率,0,0,4,20,1,4,1,0,30,4.0875
频谱资源,0,0,2,0,0,1,0,0,3,0.43125
光源,0,0,3,10,6,4,0,0,23,3.4375
白炽灯,0,0,2,0,0,0,0,0,2,0.25
led,2,0,13,18,28,22,7,3,93,16.75
物联网,0,0,1,0,0,0,0,0,1,0.125
时延,0,0,1,1,0,0,0,0,2,0.25
可靠性,0,0,1,0,0,0,0,0,1,0.125
5g技术,0,0,1,0,0,0,0,0,1,0.125
节能,0,0,1,0,0,0,0,0,1,0.125
频段,0,0,1,1,0,0,0,0,2,0.25
射频频谱资源,1,0,2,1,0,0,0,0,4,1.375
流量,0,0,2,1,0,0,0,0,3,0.375
医院,0,0,1,0,0,0,0,0,1,0.125
机舱,0,0,2,0,0,0,0,0,2,0.25
核电站,0,0,1,0,0,0,0,0,1,0.125
电磁敏感场,0,0,1,0,0,0,0,0,1,0.125
部署,0,0,1,0,0,0,0,0,1,0.125
射频系统,0,0,1,0,1,0,0,0,2,0.30625
射频,0,0,4,1,2,1,0,0,8,1.16875
兼容射频通信,0,0,1,0,0,0,0,0,1,0.125
通信性能,3,0,9,7,26,17,4,5,71,14.424999999999999
功率,2,0,7,11,7,9,33,4,73,13.85625
照明,1,0,9,28,5,2,8,1,54,8.525
人眼,0,0,1,0,0,0,0,0,1,0.125
辐射,0,0,1,0,0,0,0,0,1,0.125
传统射频信号,0,0,1,0,0,0,0,0,1,0.125
无辐射,0,0,1,0,0,0,0,0,1,0.125
led光源,0,0,1,4,3,0,0,0,8,1.16875
水下通信,0,0,2,4,0,0,0,0,6,0.75
车联网,0,0,1,5,0,0,0,0,6,0.75
智能照明,0,0,2,0,0,1,1,0,4,0.6125
保密通信,0,0,1,0,0,0,0,0,1,0.125
vlc信号,0,0,1,0,0,0,0,0,1,0.125
障碍,0,0,1,0,0,0,0,0,1,0.125
墙体,0,0,1,0,0,0,0,0,1,0.125
可见光,7,0,17,28,17,8,5,1,83,18.24375
电磁波,0,0,1,0,0,0,0,0,1,0.125
保密性,0,0,3,0,0,0,0,0,3,0.375
能量损耗,0,0,1,0,0,0,0,0,1,0.125
led照明设备,0,0,2,1,0,1,0,0,4,0.55625
发光效率,0,0,1,0,0,0,0,0,1,0.125
卤素,0,0,1,0,0,0,0,0,1,0.125
照明技术,1,0,1,0,0,0,0,0,2,1.125
绿色节能,0,0,1,0,0,0,0,0,1,0.125
兼容照明功能,0,0,1,0,0,0,0,1,2,0.30625
用户高速通信,0,0,1,0,0,0,0,0,1,0.125
led光线,0,0,1,0,0,0,0,0,1,0.125
本质属性,0,0,1,0,1,0,0,0,2,0.30625
广播,1,0,1,2,1,0,0,0,5,1.55625
空间资源,0,0,1,0,0,0,0,0,1,0.125
可见光小区,0,0,2,2,0,0,0,0,4,0.5
传播距离,0,0,1,0,0,0,0,0,1,0.125
信号,3,0,8,28,35,41,46,8,169,31.0625
gbps,0,0,1,0,0,0,0,0,1,0.125
频谱稀缺,0,0,1,0,0,0,0,0,1,0.125
频段通信,0,0,1,0,0,0,0,0,1,0.125
