,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
vdmm,3,0,4,0,40,39,3,89,23.316666666666666
切换时延,3,0,5,0,5,2,0,15,5.316666666666666
移动性管理,1,0,15,15,4,0,0,35,5.716666666666667
ap负载,1,0,6,0,10,0,0,17,4.166666666666666
虚拟ap,3,0,3,0,84,8,7,105,27.3
分布式移动性管理,1,1,8,29,26,2,4,71,15.358333333333334
网络,2,0,8,30,11,5,3,59,11.341666666666667
算法,0,0,4,0,4,1,2,11,2.1916666666666664
负载,1,0,3,2,51,2,1,60,14.675
信号强度,1,0,2,0,1,0,0,4,1.4916666666666667
丢包率,0,0,2,2,15,32,2,53,12.341666666666667
ietfdmm,0,0,5,1,15,20,1,42,9.45
信令流程,0,0,3,2,9,1,0,15,3.0416666666666665
虚拟化,0,1,3,8,10,0,1,23,6.033333333333333
隧道,2,0,10,14,24,2,0,52,11.283333333333333
分布式,0,0,2,14,1,0,0,17,2.2416666666666667
网络吞吐量,0,0,1,0,4,0,0,5,1.0916666666666668
ap间负载,0,0,1,0,0,0,0,1,0.125
性能,2,0,4,2,2,12,0,22,6.133333333333333
仿真,0,0,3,0,0,0,0,3,0.375
代码,0,0,1,0,1,2,1,5,1.0916666666666668
ap负载均衡,0,0,1,0,3,0,0,4,0.85
网络架构,0,0,2,3,1,0,0,6,0.8666666666666667
自适应负载均衡算法,1,0,3,0,7,0,1,12,3.3083333333333336
wlam网络,0,0,1,0,0,0,0,1,0.125
vdmm方案,0,0,1,0,7,4,0,12,2.783333333333333
数学公式,0,0,1,0,0,0,0,1,0.125
性能分析,0,0,1,0,0,0,0,1,0.125
数学建模,0,0,2,0,1,1,0,4,0.7333333333333334
数据通信流程,0,0,4,0,3,1,0,8,1.4666666666666668
信令潦,0,0,1,0,0,0,0,1,0.125
双向隧道,0,0,9,4,10,3,0,26,4.766666666666667
连接,1,0,1,0,5,0,0,7,2.333333333333333
状态信息,1,0,1,0,12,0,0,14,4.025
网络层,1,0,1,1,8,0,0,11,3.1833333333333336
链路层,1,0,1,0,10,0,0,12,3.5416666666666665
用户,0,0,1,2,22,1,3,29,6.658333333333333
接入用户,0,0,1,0,0,0,0,1,0.125
转发路径,1,0,4,0,5,0,1,11,2.95
nfv,0,0,1,16,0,0,0,17,2.125
功能虚拟化,0,0,1,3,0,0,0,4,0.5
sdn,0,0,1,26,4,0,0,31,4.341666666666667
pmipv6,0,0,8,6,0,0,0,14,1.75
mipv6,0,0,6,0,0,0,0,6,0.75
移动性管理协议,0,0,4,2,0,0,0,6,0.75
切换优化,1,0,0,0,2,0,0,3,1.4833333333333334
控制器,0,0,0,16,88,8,5,117,26.408333333333335
消息处理模块,0,0,0,0,0,6,0,6,1.45
mn,0,0,27,43,6,11,0,87,12.858333333333334
bytesequence,0,0,0,0,0,4,0,4,0.9666666666666667
数据,0,0,16,8,17,4,0,45,8.075
接入,0,0,0,1,5,4,0,10,2.3
位置管理模块,0,0,0,0,0,4,0,4,0.9666666666666667
