,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,第七章,总词频,加权得分
ue1,0,0,0,0,0,0,0,6,0,6,0.8699999999999999
蜂窝网络,2,0,9,12,8,0,0,8,3,42,7.38
d2d终端,2,0,2,32,80,23,1,25,1,166,25.099999999999998
bs,0,0,0,0,0,0,0,2,0,2,0.29
d2d通信,4,0,16,31,48,3,0,25,3,130,21.33
蜂窝覆盖延伸业务,0,0,0,0,0,0,0,1,0,1,0.145
移动4g网络,0,0,0,0,0,0,0,1,0,1,0.145
internet页面,0,0,0,0,0,0,0,1,0,1,0.145
ue2,0,0,0,0,0,0,0,1,0,1,0.145
模拟,0,0,1,0,0,0,0,1,0,2,0.27
复合d2d终端,0,0,0,0,0,0,0,1,0,1,0.145
interneto,0,0,0,0,0,0,0,1,0,1,0.145
d2d链路,0,0,0,9,1,0,0,3,0,13,1.705
链路,0,0,0,2,0,5,3,1,0,11,1.555
复合终端,0,0,0,0,0,0,0,1,0,1,0.145
通信,0,0,11,17,5,6,3,9,1,52,6.9799999999999995
d2d网络,0,0,1,5,8,3,0,5,0,22,3.07
代理,0,0,0,0,0,0,0,1,0,1,0.145
桥接,0,0,0,0,0,0,0,1,0,1,0.145
蜂窝终端,0,0,0,8,16,3,0,1,0,28,3.9
d2d验证平台系统,0,0,0,0,0,4,2,6,1,13,1.8849999999999998
边缘覆盖,0,0,0,0,0,0,0,2,0,2,0.29
蜂窝小区,0,0,0,0,1,3,0,1,0,5,0.725
d2d技术,3,0,7,0,0,0,0,1,3,14,4.455
蜂窝覆盖延伸,0,0,0,0,0,0,0,1,0,1,0.145
覆盖延伸,0,0,0,0,0,0,0,1,0,1,0.145
延时,0,0,1,0,0,1,34,3,0,39,5.635
子帧,0,0,0,0,20,25,28,0,0,73,10.584999999999999
数据,0,0,3,1,5,40,14,0,0,63,9.055
packet,0,0,0,0,0,14,7,0,0,21,3.045
接收链路,0,0,0,1,0,8,10,0,0,19,2.735
时延,0,0,0,1,0,3,6,1,0,11,1.575
处理粒度,0,0,0,0,0,0,4,0,0,4,0.58
处理时间,1,0,0,0,0,3,4,0,0,8,2.0149999999999997
滤波运算,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
实时性,1,0,4,0,0,0,13,0,0,18,3.385
usrp,0,0,3,0,0,18,4,2,0,27,3.8549999999999995
packetn,0,0,0,0,0,0,2,0,0,2,0.29
线程,0,0,0,0,0,5,29,0,0,34,4.93
总延时,0,0,0,0,0,0,2,0,0,2,0.29
物理层,1,0,0,1,3,59,29,0,3,96,14.754999999999999
样值,0,0,0,0,0,3,2,0,0,5,0.725
处理,0,0,0,0,0,0,2,0,0,2,0.29
运算延时,0,0,0,0,0,0,1,0,0,1,0.145
运算操作,0,0,0,0,0,0,1,0,0,1,0.145
io操作,0,0,0,0,0,0,1,0,0,1,0.145
设备访问,0,0,0,0,0,0,1,0,0,1,0.145
数据运算,0,0,0,0,0,0,2,0,0,2,0.29
门限,0,0,0,0,0,0,1,1,0,2,0.29
三段延时,0,0,0,0,0,0,1,0,0,1,0.145
段延时,0,0,0,0,0,0,1,0,0,1,0.145
流水线处,0,0,0,0,0,0,1,0,0,1,0.145
模块,0,0,0,1,0,0,7,0,0,8,1.14
接收数据流,0,0,0,0,0,0,1,0,0,1,0.145
延时累积,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
变采样率波,0,0,0,0,0,0,1,0,0,1,0.145
三段式处理逻辑,0,0,0,0,0,0,1,0,0,1,0.145
处理逻辑,0,0,0,0,0,0,1,0,0,1,0.145
单段式,0,0,0,0,0,0,1,0,0,1,0.145
系统,1,0,8,1,7,4,6,2,0,29,4.88
持续累积,0,0,0,0,0,0,1,0,0,1,0.145
信号,0,0,1,0,4,6,4,0,0,15,2.155
变样滤波运算,0,0,0,0,0,0,1,0,0,1,0.145
1packet,0,0,0,0,0,0,1,0,0,1,0.145
变采样滤波运算,0,0,0,0,0,0,1,0,0,1,0.145
程序调用,0,0,0,0,0,0,1,0,0,1,0.145
量级,0,0,0,0,0,0,1,0,0,1,0.145
单次滤波运算,0,0,0,0,0,0,1,0,0,1,0.145
物理层接收链路,0,0,0,0,0,3,1,0,0,4,0.58
sse指令集,0,0,0,0,0,0,7,0,0,7,1.015
算法效率,0,0,0,0,0,0,2,0,0,2,0.29
采样率转换模块,0,0,0,0,0,0,1,0,0,1,0.145
采样率转换,0,0,0,0,0,1,1,0,1,3,0.43499999999999994
rp,0,0,1,0,0,1,1,0,0,3,0.415
数据接收服务,0,0,0,0,0,3,2,0,0,5,0.725
物理层模块,0,0,0,0,0,1,1,0,0,2,0.29
上下层通信,0,0,0,0,0,0,1,0,0,1,0.145
持续时间,0,0,0,0,1,0,2,0,0,3,0.43499999999999994
tddete系统,0,0,0,0,0,0,1,0,0,1,0.145
样率转换,0,0,0,0,0,0,2,0,0,2,0.29
d2d物理层,0,0,0,0,0,1,1,0,0,2,0.29
单模块,0,0,0,0,0,0,4,0,0,4,0.58
流水线,0,0,0,0,0,0,2,0,0,2,0.29
帧格式,0,0,1,3,3,3,4,0,0,14,1.95
数据排队,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
样点,0,0,0,0,0,1,3,0,0,4,0.58
通信接口,0,0,0,0,0,3,3,0,0,6,0.8699999999999999
排队延时,0,0,0,0,0,0,2,0,0,2,0.29
缓冲区,0,0,0,0,0,2,3,0,0,5,0.725
物理层接收端,0,0,0,0,0,0,2,0,0,2,0.29
采样点,0,0,0,0,0,0,2,0,0,2,0.29
稳定性,0,0,0,0,0,0,2,0,0,2,0.29
性能,0,0,2,1,1,1,2,1,0,8,1.1
信令,0,0,0,0,13,0,1,0,1,15,2.175
接口,0,0,2,1,0,19,1,0,0,23,3.275
数据流程,0,0,0,0,0,0,1,0,0,1,0.145
接收接口,0,0,0,0,0,0,1,0,0,1,0.145
物理,0,0,0,0,0,1,1,0,0,2,0.29
帧格式维护,0,0,0,0,0,0,1,0,0,1,0.145
数据缓存,0,0,0,0,0,1,1,0,0,2,0.29
排队,0,0,0,0,0,0,1,0,0,1,0.145
空口,0,0,0,0,0,2,2,0,0,4,0.58
子帧长度,0,0,0,0,0,0,1,0,0,1,0.145
变样,0,0,0,0,0,0,1,0,0,1,0.145
时域补偿值,0,0,0,0,0,0,1,0,0,1,0.145
缓存,0,0,0,0,0,3,1,0,0,4,0.58
usrp缓冲区,0,0,0,0,0,0,1,0,0,1,0.145
补偿值,0,0,0,0,0,0,1,0,0,1,0.145
时域,0,0,0,1,2,0,1,0,0,4,0.5599999999999999
同步跟踪,0,0,0,1,0,0,1,0,0,2,0.27
数据链路,0,0,0,0,0,0,1,0,0,1,0.145
粒度,0,0,0,0,0,2,1,0,0,3,0.43499999999999994
消息机制,0,0,0,0,0,0,1,0,0,1,0.145
schedmsg,0,0,0,0,0,14,1,0,0,15,2.175
coremsg,0,0,0,0,0,9,1,0,0,10,1.45
协议栈,0,0,2,0,2,30,4,0,2,40,5.76
线程间通信,0,0,0,0,0,2,1,0,0,3,0.43499999999999994
zeromq,0,0,0,0,0,5,1,0,0,6,0.8699999999999999
多线程,0,0,0,0,0,0,1,0,0,1,0.145
失和,0,0,0,0,0,0,1,0,0,1,0.145
传递,0,0,0,0,0,0,1,0,0,1,0.145
高指数据,0,0,0,0,0,0,1,0,0,1,0.145
延时稳定,0,0,0,0,0,0,1,0,0,1,0.145
时间,0,0,1,0,1,8,2,0,0,12,1.72
接收,0,0,2,0,0,14,4,0,0,20,2.86
延时小即消息,0,0,0,0,0,0,1,0,0,1,0.145
通信接口效率,0,0,0,0,0,0,1,0,0,1,0.145
并行流水架构,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
多核多线程,0,0,0,0,0,0,1,0,0,1,0.145
轻耦合,0,0,0,0,0,0,1,0,1,2,0.29
同步,0,0,1,6,6,12,0,0,0,25,3.485
终端,2,0,4,8,8,12,0,1,1,36,6.6899999999999995
同步状态,0,0,0,1,3,12,0,0,0,16,2.3
同步源,0,0,0,0,4,5,0,0,0,9,1.305
ulsyn,0,0,0,0,0,4,0,0,0,4,0.58
主线程,0,0,0,0,0,12,1,0,0,13,1.8849999999999998
cellsearcho函数,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
cellsearch,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
函数接口,0,0,0,0,0,37,0,0,0,37,5.364999999999999
symtracking,0,0,0,0,0,2,0,0,0,2,0.29
混合网络模式,0,0,0,2,0,2,0,0,0,4,0.54
自组织网络,0,0,1,3,6,2,0,4,0,16,2.2399999999999998
帧格,0,0,0,0,0,2,0,0,0,2,0.29
ch,0,0,0,0,1,3,0,0,0,4,0.58
cellsearchout,0,0,0,0,0,2,0,0,0,2,0.29
同步状态监听线程,0,0,0,0,0,4,0,0,0,4,0.58
同步模块,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
补偿,0,0,0,0,0,1,0,0,0,1,0.145
频率补偿函数,0,0,0,0,0,1,0,0,0,1,0.145
频率偏差,0,0,0,0,0,1,0,0,0,1,0.145
时域校正,0,0,0,0,0,1,0,0,0,1,0.145
帧号,0,0,0,0,7,9,0,0,0,16,2.32
时间戳,0,0,0,0,0,14,0,0,0,14,2.03
时间偏差,0,0,0,0,0,1,0,0,0,1,0.145
跟踪,0,0,0,0,0,1,0,0,0,1,0.145
fo,0,0,0,0,0,1,0,0,0,1,0.145
ulrstracking,0,0,0,0,0,1,0,0,0,1,0.145
symtrackctrl,0,0,0,0,0,1,0,0,0,1,0.145
uerxsymtrackctrl,0,0,0,0,0,1,0,0,0,1,0.145
phy跟踪功能接口,0,0,0,0,0,1,0,0,0,1,0.145
跟踪结果,0,0,0,0,0,1,0,0,0,1,0.145
数值,0,0,0,0,0,1,0,0,0,1,0.145
sptoffset,0,0,0,0,0,1,0,0,0,1,0.145
pfoffset,0,0,0,0,0,1,0,0,0,1,0.145
symtrackctrl结构体,0,0,0,0,0,1,0,0,0,1,0.145
rstracking,0,0,0,0,0,1,0,0,0,1,0.145
时频域跟踪函数接口,0,0,0,0,0,1,0,0,0,1,0.145
频点差异,0,0,0,0,0,1,0,0,0,1,0.145
样率,0,0,0,0,0,5,0,0,0,5,0.725
晶振频率,0,0,0,0,0,1,0,0,0,1,0.145
硬件,0,0,4,0,0,1,0,0,0,5,0.645
抵消系统,0,0,0,0,0,1,0,0,0,1,0.145
频率,0,0,0,0,0,1,0,0,0,1,0.145
定时,0,0,0,0,0,2,0,0,0,2,0.29
时频域,0,0,0,1,4,1,0,0,0,6,0.85
物理层同步模块逻辑,0,0,0,0,0,1,0,0,0,1,0.145
物理层同步模块,0,0,0,0,0,1,0,0,0,1,0.145
未同步模式,0,0,0,0,0,1,0,0,0,1,0.145
oxff,0,0,0,0,0,1,0,0,0,1,0.145
outofsync,0,0,0,0,0,1,0,0,0,1,0.145
mixslave,0,0,0,0,0,1,0,0,0,1,0.145
从机,0,0,0,0,0,1,0,0,0,1,0.145
自组织模式,0,0,0,0,2,1,0,0,0,3,0.43499999999999994
d2dslave,0,0,0,0,0,1,0,0,0,1,0.145
自组织模式主机,0,0,0,0,0,1,0,0,0,1,0.145
d2dmaster0,0,0,0,0,0,1,0,0,0,1,0.145
同步状态值,0,0,0,0,0,1,0,0,0,1,0.145
syncmodecoremsg,0,0,0,0,0,1,0,0,0,1,0.145
sync_modecoremsg,0,0,0,0,0,1,0,0,0,1,0.145
混合网络,0,0,0,0,7,2,1,6,0,16,2.32
重同步,0,0,0,0,0,2,0,0,0,2,0.29
小区,0,0,1,0,2,1,0,0,0,4,0.5599999999999999
监听线程,0,0,0,0,0,1,0,0,0,1,0.145
干扰,1,0,2,8,6,2,0,6,0,25,4.279999999999999
蜂窝系统,1,0,3,5,3,2,0,0,0,14,2.725
蜂窝信号,0,0,0,1,0,1,0,0,0,2,0.27
丢失,0,0,0,0,0,2,0,0,0,2,0.29
subrssearch0函数,0,0,0,0,0,1,0,0,0,1,0.145
信号源,0,0,0,0,0,1,0,0,0,1,0.145
d2d终端信号,0,0,0,0,0,1,0,0,0,1,0.145
subrssearcho函数,0,0,0,0,0,1,0,0,0,1,0.145
蜂窝小区基站信号,0,0,0,0,0,1,0,0,0,1,0.145
同步功能,0,0,0,0,0,2,0,0,0,2,0.29
同步结果,0,0,0,0,0,1,0,0,0,1,0.145
结构体,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
rssearchout,0,0,0,0,0,1,0,0,0,1,0.145
无线帧,0,0,0,0,7,7,0,0,0,14,2.03
蜂窝小区搜索,0,0,0,0,0,1,0,0,0,1,0.145
subrssearch0,0,0,0,0,0,1,0,0,0,1,0.145
subrss,0,0,0,0,0,1,0,0,0,1,0.145
phy同步功能接口,0,0,0,0,0,1,0,0,0,1,0.145
接收主线程,0,0,0,0,0,8,0,0,0,8,1.16
同步功能模块,0,0,0,0,0,1,0,0,0,1,0.145
上行子帧,0,0,0,1,9,6,4,2,0,22,3.17
pusch,0,0,0,1,5,6,5,0,0,17,2.445
模块逻辑,0,0,0,0,0,2,0,0,0,2,0.29
发送端,0,0,0,1,15,7,0,1,0,24,3.46
ten,0,0,0,0,0,1,0,0,0,1,0.145
uplinktx,0,0,0,0,0,1,0,0,0,1,0.145
发送接口,0,0,0,0,0,2,0,0,0,2,0.29
phypusch,0,0,0,0,0,2,0,0,0,2,0.29
前端处理,0,0,0,0,0,2,5,0,0,7,1.015
guardband,0,0,0,0,1,3,0,0,0,4,0.58
txfrontendo函数,0,0,0,0,0,1,0,0,0,1,0.145
uplink,0,0,0,0,0,1,0,0,0,1,0.145
空口格式,0,0,0,0,0,2,0,0,0,2,0.29
ete,0,0,3,3,4,9,0,0,0,19,2.635
pusch链路负载,0,0,0,0,0,1,0,0,0,1,0.145
daiactrl信令,0,0,0,0,1,2,0,0,0,3,0.43499999999999994
ccch,0,0,0,0,1,5,0,0,0,6,0.8699999999999999
dataschedmsg调度,0,0,0,0,0,1,0,0,0,1,0.145
pusch模块,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
物理层发送链路,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
3pusch模块,0,0,0,0,0,1,0,0,0,1,0.145
recvcoremsg,0,0,0,0,0,2,0,0,0,2,0.29
sync信令,0,0,0,0,1,2,0,0,0,3,0.43499999999999994
crc校验位,0,0,0,0,0,5,0,0,0,5,0.725
负载,0,0,0,0,0,10,1,0,0,11,1.595
sync,0,0,0,0,0,1,0,0,0,1,0.145
接收操作,0,0,0,0,0,5,0,0,0,5,0.725
syncschedmsg,0,0,0,0,0,2,0,0,0,2,0.29
tti,0,0,0,0,0,5,0,0,0,5,0.725
hearbeatms,0,0,0,0,0,1,0,0,0,1,0.145
发送,0,0,1,0,1,4,0,0,0,6,0.85
osync信令,0,0,0,0,0,1,0,0,0,1,0.145
sync控制器,0,0,0,0,0,1,0,0,0,1,0.145
5sync控制器,0,0,0,0,0,1,0,0,0,1,0.145
后端线程,0,0,0,0,0,8,0,0,0,8,1.16
前端线程,0,0,0,0,0,8,0,0,0,8,1.16
变采样线程,0,0,0,0,0,5,0,0,0,5,0.725
数据发送,0,0,0,0,2,7,0,0,0,9,1.305
数据发送服务,0,0,0,0,0,4,0,0,0,4,0.58
usrp时间戳,0,0,0,0,0,5,0,0,0,5,0.725
采样值,0,0,0,0,0,4,0,0,0,4,0.58
物理层时间戳,0,0,0,0,0,8,0,0,0,8,1.16
发送操,0,0,0,0,0,2,0,0,0,2,0.29
uhd接口,0,0,0,0,0,2,0,0,0,2,0.29
采样率,0,0,0,0,0,6,0,0,0,6,0.8699999999999999
usrp信号,0,0,0,0,0,1,0,0,0,1,0.145
滤波降采样,0,0,0,0,0,1,0,0,0,1,0.145
et,0,0,0,0,0,1,0,0,0,1,0.145
长度,0,0,0,0,0,9,0,0,0,9,1.305
读取,0,0,0,0,0,2,0,0,0,2,0.29
数据量,0,0,0,0,0,2,0,0,0,2,0.29
伦询,0,0,0,0,0,1,0,0,0,1,0.145
发送数据,0,0,0,0,0,2,0,0,0,2,0.29
burst,0,0,0,0,0,1,0,0,0,1,0.145
物理层数据,0,0,0,0,0,1,0,0,0,1,0.145
d2d验证平台,0,0,5,19,3,8,7,6,3,51,6.914999999999999
无蜂窝覆盖,0,0,0,1,2,0,0,0,0,3,0.415
蜂窝覆盖,0,0,0,2,1,0,0,0,0,3,0.395
软件系统,0,0,0,1,1,10,2,0,0,14,2.01
通信流程,2,0,0,0,1,1,0,0,0,4,2.29
自适应编码调制,0,0,1,0,7,0,0,0,1,9,1.285
功率控制,0,0,2,1,7,0,0,0,1,11,1.535
无线资源,0,0,1,3,9,2,0,0,1,16,2.2399999999999998
时域竞争接入,0,0,0,0,6,0,0,0,0,6,0.8699999999999999
映射机制,0,0,0,0,1,0,0,0,0,1,0.145
