,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
加速度,0,0,0,0,4,6,0,10,2.4166666666666665
参数,0,0,0,2,2,5,0,9,1.9416666666666667
安全距离,0,0,0,0,3,3,0,6,1.45
融合中心,1,0,5,15,0,18,1,40,8.091666666666667
仿真参数,0,0,0,0,3,3,0,6,1.45
参数符号,0,0,0,0,1,2,0,3,0.725
授权,0,0,0,4,2,4,0,10,1.95
波束,0,0,4,3,16,26,1,50,11.266666666666667
速度,0,0,2,2,8,10,0,22,4.85
感知周期,1,0,2,2,20,2,0,27,6.816666666666666
瞬时速度,0,0,0,0,2,2,0,4,0.9666666666666667
车辆密度,0,0,0,0,5,6,0,11,2.658333333333333
车联网,6,1,35,63,20,19,10,154,32.09166666666667
虚警概率,1,0,2,2,10,1,1,17,4.4
信噪比,3,0,0,5,11,5,0,24,7.491666666666667
对准角度误差,0,0,0,0,3,2,0,5,1.2083333333333333
波束主瓣宽度,0,0,0,0,1,1,0,2,0.48333333333333334
认知车辆,0,0,0,2,0,1,0,3,0.4916666666666667
车辆速度,0,0,0,1,2,1,0,4,0.85
道路长度,0,0,0,0,2,1,0,3,0.725
迭代次数,0,0,0,0,0,2,0,2,0.48333333333333334
种群,0,0,0,0,0,2,0,2,0.48333333333333334
自适应遗传算法,1,0,2,0,0,7,1,11,3.1833333333333336
扇形增益模型,0,0,0,0,1,1,0,2,0.48333333333333334
天线增益模型,0,0,0,0,1,1,0,2,0.48333333333333334
毫米波频段,0,0,1,6,2,1,0,10,1.6
28ghz,0,0,0,0,1,1,0,2,0.48333333333333334
频段,1,0,3,16,1,1,0,22,3.8583333333333334
毫米波信道,0,0,0,0,3,1,0,4,0.9666666666666667
信道,0,0,0,12,5,2,0,19,3.1916666666666664
信号,0,0,2,4,11,5,0,22,4.616666666666667
定向通信,0,0,1,0,1,1,0,3,0.6083333333333334
毫米波,3,1,11,4,11,14,1,45,13.158333333333333
认知,0,0,2,3,5,1,1,12,2.3166666666666664
on/off模型,0,0,0,0,1,1,0,2,0.48333333333333334
活动模型,0,0,0,0,1,1,0,2,0.48333333333333334
频谱占用,0,0,0,1,1,1,0,3,0.6083333333333334
距离,0,0,0,1,1,1,0,3,0.6083333333333334
移动速度,0,0,1,0,1,4,1,7,1.575
正态分布,0,0,0,0,0,1,0,1,0.24166666666666667
初始速度,0,0,0,0,1,1,0,2,0.48333333333333334
移动性,3,1,13,16,13,10,2,58,14.666666666666668
曼哈顿网格移动模型,0,0,0,0,0,1,0,1,0.24166666666666667
