dissertation,name,this_url,language
基于旁路分析的密码集成电路电磁信息安全研究,电磁旁路分析,基于旁路分析的密码集成电路电磁信息安全研究_关键词_1,中文
基于旁路分析的密码集成电路电磁信息安全研究,信息泄露建模,基于旁路分析的密码集成电路电磁信息安全研究_关键词_2,中文
基于旁路分析的密码集成电路电磁信息安全研究,多字节,基于旁路分析的密码集成电路电磁信息安全研究_关键词_3,中文
基于旁路分析的密码集成电路电磁信息安全研究,智能算法,基于旁路分析的密码集成电路电磁信息安全研究_关键词_4,中文
基于旁路分析的密码集成电路电磁信息安全研究,硬件木马,基于旁路分析的密码集成电路电磁信息安全研究_关键词_5,中文
基于旁路分析的密码集成电路电磁信息安全研究,electromagnetic side-channel analysis,基于旁路分析的密码集成电路电磁信息安全研究_keyword_6,英文
基于旁路分析的密码集成电路电磁信息安全研究,information leakage model,基于旁路分析的密码集成电路电磁信息安全研究_keyword_7,英文
基于旁路分析的密码集成电路电磁信息安全研究,multiple bytes,基于旁路分析的密码集成电路电磁信息安全研究_keyword_8,英文
基于旁路分析的密码集成电路电磁信息安全研究,intelligent algorithm,基于旁路分析的密码集成电路电磁信息安全研究_keyword_9,英文
基于旁路分析的密码集成电路电磁信息安全研究,hardware Trojan,基于旁路分析的密码集成电路电磁信息安全研究_keyword_10,英文
