(波函数, Wave function)
(简谐波, Simple harmonic wave)
(振幅, Amplitude)
(波源, Wave source)
(频率, Frequency)
(振动方程, Vibration equation)
(相位差, Phase difference)
(相速, Phase velocity)
(初相位, Initial phase)
(波传播速度, Wave propagation speed)
(波速, Wave speed)
(坐标取法, Coordinate method)
(光学, Optics)
(周期性波, Periodic wave)
(波峰, Crest)
(简谐波, Harmonic wave)
(振动曲线, Vibration curve)
(波形图, Waveform)
(波沿轴传播, Propagation of waves along the axis)
(波谷, Trough)
(速度, Velocity)
(波形曲线, Waveform curve)
(角波数, Wave number)
(相位, Phase)
(加速度, Acceleration)
(周期, Period)
(波长, Wavelength)
