(波的吸收, Wave absorption)
(动能转换, Kinetic energy conversion)
(室内噪声, Indoor noise)
(工作影响, Impact on work)
(噪声显示牌, Noise display board)
(通常谈话, Normal conversation)
(聚焦超声波, Focused ultrasound)
(声功率, Sound power)
(波的叠加原理, Principle of wave superposition)
(声强级, Sound intensity level)
(能量守恒定律, Law of conservation of energy)
(分贝, Decibel)
(飞机起飞, Airplane takeoff)
(位移最大处, Maximum displacement)
(地震, Earthquake)
(波的传播, Wave propagation)
(噪声源, Noise source)
(声强, Sound intensity)
(声波吸收, Sound absorption)
(能量传递, Energy transfer)
(听觉阈, Auditory threshold)
(简谐横波, Transverse harmonic wave)
(波强度, Wave intensity)
(动能和势能, Kinetic energy and potential energy)
(波的干涉, Wave interference)
(噪声污染, Noise pollution)
(听觉损害, Hearing damage)
(消声设备, Soundproofing equipment)
(吸收系数, Absorption coefficient)
(势能转换, Potential energy conversion)
(介质, Medium)
(闹市车声, City traffic noise)
(低语, Whisper)
(能量密度, Energy density)
(高频噪声, High-frequency noise)
(波的强度, Wave intensity)
(声波散射, Sound scattering)
(摇滚乐, Rock music)
