(气体动理论, Kinetic theory of gases)
(査理定律, Charles's law)
(瓦, Watt)
(气体分子运动论, Gas molecular kinetic theory)
(理想气体, ideal gas)
(分子速度, Molecular velocity)
(冲量, impulse)
(热力学温度, Thermodynamic temperature)
(热运动能量, thermal energy)
(K, Kelvin)
(面积元, area element)
(平动动能, translational kinetic energy)
(理想气体的微观模型, Microscopic model of ideal gas)
(统计平均值, statistical average)
(平均平动动能, Average translational kinetic energy)
(J, Joule)
(压强, pressure)
(温度的微观本质, Microscopic nature of temperature)
(理想气体的状态方程, Ideal gas equation of state)
(分子力学性质的假设, Assumptions about molecular mechanical properties)
(气体分子对器壁的压强, Pressure of gas molecules on the wall)
(计算气体分子施于器壁的宏观压强的步骤, Steps to calculate the macroscopic pressure of gas molecules on the wall)
(玻意尔定律, Boyle's law)
(单个分子对面积元的作用, Action of a single molecule on the area element)
(压强公式, Pressure formula)
(电子伏特, Electron volt)
(温度的定义, Definition of temperature)
(分子热运动剧烈程度, Intensity of molecular thermal motion)
(分子, molecule)
(气体分子间的碰撞, Collisions between gas molecules)
(斜柱体, slanted cylinder)
(微观模型, microscopic model)
(速度, velocity)
(压强增大的原因, Reasons for increase in pressure)
(理想气体微观模型, Ideal gas microscopic model)
(分子集体在平衡态的统计假设, Statistical assumptions about molecular collective in equilibrium state)
(碰撞, collision)
