(电磁场, Electromagnetic field)
(电容, Capacitance)
(静电能, Static electric energy)
(电子电路, Electronic circuit)
(电源, Power supply)
(功, Work)
(球对称性, Spherical symmetry)
(两板间距, Distance between plates)
(电介质, Dielectric)
(击穿电场强度, Breakdown electric field strength)
(分布电容, Distributed capacitance)
(球形电容器, Spherical capacitor)
(电子半径, Electron radius)
(极板面积, Plate area)
(电容率, Relative permittivity)
(极板, Plate)
(功率因素, Power factor)
(电荷线密度, Line charge density)
(电容测厚仪, Capacitance thickness gauge)
(电场能量密度, Electric field energy density)
(磁场, Magnetic field)
(高斯定理, Gauss's law)
(静电力, Static electric force)
(电磁波, Electromagnetic wave)
(电势差, Potential difference)
(导体板, Conductor plate)
(电容器, Capacitor)
(平行板电容器, Parallel plate capacitor)
(导线, Conductor)
(电荷, Charge)
(电场能量, Electric field energy)
(电场强度, Electric field strength)
(同心球壳, Concentric spheres)
(电荷, Electric charge)
(能量密度, Energy density)
(电场, Electric field)
(静电场, Static electric field)
(电力系统, Power system)
(同轴电缆, Coaxial cable)
