(原子, Atom)
(转动动能级, Rotational energy levels)
(不连续能量, Discrete energy)
(角动量量子化条件, Quantization condition of angular momentum)
(玻尔氢原子理论, Bohr's hydrogen atom theory)
(电子轨道半径, Electron orbital radius)
(双原子气体分子, Diatomic gas molecule)
(牟夸, Energy level)
(距离, Distance)
(能级, Energy level)
(核外电子, Electron outside the nucleus)
(量子枣, Quantum number)
(玻尔理论, Bohr theory)
(玻尔的氢原子理论, Bohr's theory of hydrogen atom)
(里德伯-里兹并合原则, Rydberg-Ritz combination principle)
(巴耳末系, Balmer series)
(能级跃迁, Energy level transition)
(谐振子能量量子化, Quantization of harmonic oscillator energy)
(半经典量子理论, Semi-classical quantum theory)
(玻尔半径, Bohr radius)
(能级图, Energy level diagram)
(能量间隔, Energy gap)
(卢瑟福关于原子的有核模型, Rutherford's nuclear model of the atom)
(角动量, Angular momentum)
(可能值, Possible values)
(转动动能, Rotational kinetic energy)
(氢光谱, Hydrogen spectrum)
(受激态, Excited state)
(普朗克量子假设, Planck's quantum hypothesis)
(质量, Mass)
(量子化, Quantization)
(电离状态, Ionization state)
(莱曼系, Lyman series)
(氢原子结构, Structure of hydrogen atom)
(里德伯常量, Rydberg constant)
(定态, Stationary state)
(跃迁频率公式, Transition frequency formula)
(电离能, Ionization energy)
(基态, Ground state)
(类氢离子, Hydrogen-like ion)
(波长, Wavelength)
(轨道角动量, Orbital angular momentum)
(稳定圆轨道, Stable circular orbit)
(能量量子化, Quantization of energy)
