(光的顺序, order of light)
(入射角, incident angle)
(金刚石, diamond)
(声波, sound wave)
(反射定律, Law of reflection)
(介质, medium)
(光速, Speed of light)
(反射, reflection)
(反射角, Reflection angle)
(轨迹, Trajectory)
(光源, light source)
(反射角, reflection angle)
(平面反射镜, Plane mirror)
(光在各向同性,均匀介质中沿直线传播, Light propagates in a straight line in isotropic, homogeneous media)
(折射率, refractive index)
(色散现象, dispersion phenomenon)
(圆的直径, diameter of a circle)
(球面界面, spherical interface)
(玻璃, glass)
(界面法线, interface normal)
(折射定律, Law of refraction)
(费马原理, Fermat's principle)
(全反射, Total internal reflection)
(入射角, Incident angle)
(临界角, critical angle)
(全反射, total internal reflection)
(光程, Optical path)
(折射角, Refraction angle)
(光能, light energy)
(介质, Medium)
(介质层, medium layer)
(折射率, Refractive index)
(水槽, water tank)
(水面, water surface)
