(球面, Sphere)
(球面方程, Equation of a sphere)
(位置坐标, Position coordinates)
(运动轨迹方程, Equation of motion trajectory)
(拋体运动, Projectile motion)
(运动方程, Equations of motion)
(运动叠加原理, Principle of superposition of motion)
(抛物线运动, Parabolic motion)
(无阻力抛体运动, Projectile motion without air resistance)
(重力加速度, Gravity acceleration)
(射程, Range)
(时间关系, Relationship with time)
(抛体运动, Projectile motion)
(速度, Velocity)
(轨迹方程, Equation of trajectory)
(直线运动, Linear motion)
(球心位置, Center of sphere)
(初始速度, Initial velocity)
(加速度, Acceleration)
(球面半径, Radius of sphere)
(阻力, Resistance)
(爆炸, Explosion)
(水平射程, Horizontal range)
(无阻力抛体运动, Projectile motion without resistance)
(最大射程, Maximum range)
(碎片, Fragments)
