(带电物体, Charged object)
(矢量, Vector)
(电场强度矢量, Electric field strength vector)
(试验电荷, Test charge)
(空间坐标, Spatial coordinates)
(单值性, Uniqueness)
(典型场强, Typical field strength)
(电荷量, Charge)
(电场性质, Electric field properties)
(铀核的表面, Surface of a uranium nucleus)
(场源电荷, Source charge)
(脉冲星的表面, Surface of a pulsar)
(电视显像管内, Inside a TV display tube)
(室内电线附近, Near indoor electrical wires)
(场强, Field strength)
(高压电器击穿空气处, Air breakdown near high-voltage equipment)
(位置, Position)
(正负电荷, Positive and negative charge)
(场点, Field point)
(雷雨云附近, Near thunderstorm clouds)
(点电荷, Point charge)
(氢原子的电子所在处, Location of electrons in a hydrogen atom)
(X射线管内, Inside an X-ray tube)
(电场强度, Electric field strength)
(电场, Electric field)
(氢原子的电子所在处, Location of electron in a hydrogen atom)
(静电力, Electrostatic force)
(地面附近, Near the ground)
