(界面, Interface)
(光纤通信, Fiber optic communication)
(光密介质, Optically dense medium)
(图像, Image)
(光能损失, Loss of light energy)
(传输, Transmission)
(水槽, Water tank)
(光疏介质, Optically rare medium)
(位移, Displacement)
(光纤外介质, Outer medium of optical fiber)
(射, Refraction)
(光线传播方向, Direction of light propagation)
(中继距离, Relay distance)
(传输带宽, Transmission bandwidth)
(圆木片, Circular wooden piece)
(面积, Area)
(内外两层, Inner and outer layers)
(肠镜, Colonoscopy)
(临界角, Critical angle)
(电磁干扰, Electromagnetic interference)
(折射定律, Snell's law)
(传播, Propagation)
(压力, Pressure)
(折射定律, Law of refraction)
(等边直角三棱镜, Equilateral right-angle prism)
(解法, Solution)
(玻璃, Glass)
(全反射, Total internal reflection)
(磁场强度, Magnetic field strength)
(入射角, Incident angle)
(子宫镜, Hysteroscopy)
(光学纤维, Optical fiber)
(光纤传感器, Optical fiber sensor)
(垂线, Perpendicular line)
(窥视, Inspection)
(光线范围, Range of light)
(激光光纤通信, Laser fiber optic communication)
(折射率计, Refractometer)
(光源, Light source)
(光学仪器, Optical instruments)
(光纤, Optical fiber)
(反射, Reflection)
(医学, Medicine)
(材料, Material)
(直径, Diameter)
(损耗, Loss)
(通信容量, Communication capacity)
(底面, Bottom surface)
(复杂机器, Complex machinery)
(木片, Wooden plank)
(保密性, Confidentiality)
(光缆通信系统, Optical cable communication system)
(物理量, Physical quantity)
(折射率, Refractive index)
(空气, Air)
(速度, Speed)
(溫度, Temperature)
(折射角, Refracted angle)
(加速度, Acceleration)
(内窥, Endoscopy)
(胃镜, Gastroscopy)
(膀胱镜, Cystoscopy)
(工业, Industry)
(圆木片, Circular wooden plank)
(声场强度, Sound field intensity)
(全反射, Total reflection)
