(速率区间, Rate interval)
(分子质量影响, Molecular mass influence)
(分子数比率, Molecular number ratio)
(麦克斯韦速率分布率, Maxwell velocity distribution rate)
(麦克斯韦速率分布函数, Maxwell velocity distribution function)
(速率分布曲线, Rate distribution curve)
(麦克斯韦速率分布曲线, Maxwell velocity distribution curve)
(麦克斯韦速率分布律, Maxwell velocity distribution law)
(特征, characteristics)
(分子质量, molecular mass)
(温度影响, Temperature influence)
(分子热运动速率, molecular thermal velocity)
(温度, temperature)
(分布函数, distribution function)
(归一化条件, normalization condition)
(最概然速率, Most probable rate)
(玻尔兹曼常数, Boltzmann constant)
