(粒子, Particle)
(光强, Light intensity)
(频率, Frequency)
(低能级A上的粒子, Particles on low energy level A)
(受激辐射系数, Stimulated emission coefficient)
(能级, Energy level)
(连锁反应, Chain reaction)
(自发辐射, Spontaneous emission)
(受激辐射, Stimulated emission)
(自发辐射系数, Spontaneous emission coefficient)
(光强, Intensity)
(受激吸收, Stimulated absorption)
(跃迁, Transition)
(放大, Amplification)
(系统, System)
(亚稳态, Metastable state)
(简并度, Degeneracy)
(平均寿命, Average lifetime)
(入射光, Incident light)
(矽, Silicon)
(受激吸收系数, Stimulated absorption coefficient)
(比例系数, Proportionality coefficient)
(频率条件, Frequency condition)
(外来辐射, External radiation)
