(干涉图样, interference pattern)
(针孔间距, pinhole spacing)
(双缝干涉实验装置, double-slit interference experimental setup)
(干涉性质和特点, interference properties and characteristics)
(光的干涉现象, interference phenomenon of light)
(相干光源, coherent light source)
(光的波动性, wave nature of light)
(屏幕与双缝距离, distance between screen and double slits)
(彩色条纹, colored fringes)
(杨氏干涉实验装置, Young's interference experiment setup)
(杨氏干涉, Young's interference)
(干涉条纹, interference fringes)
(相干光波, coherent light waves)
(杨氏干涉的强度公式, Young's interference intensity formula)
(干涉条纹间距, interference fringe spacing)
(波长, wavelength)
(重叠, overlap)
(杨氏干涉实验, Young's interference experiment)
(激光, laser)
(相邻明条纹间距, distance between adjacent bright fringes)
(观测屏幕, observation screen)
(干涉减弱, interference reduction)
(分波前干涉空间相干性, interference spatial coherence of divided wavefronts)
(暗条纹, dark fringes)
(红光, red light)
(相位差, phase difference)
(干涉图样的强度关系, intensity relationship of interference pattern)
(双缝间距, distance between double slits)
(钠光灯, sodium lamp)
(白光, white light)
(波程差, path difference)
(紫光, violet light)
(中央明纹, central bright fringe)
(级次, order)
(针孔, pinhole)
(明条纹, bright fringes)
(最小分辨距离, minimum resolvable distance)
(光波的叠加原理, superposition principle of light waves)
(干涉光强分布曲线, interference intensity distribution curve)
(干涉条纹的间距, interference fringe spacing)
(惠更斯原理, Huygens' principle)
(光强极小, minimum intensity)
(光谱的级次, order of spectrum)
