(加速度方向, Direction of acceleration)
(g-1/2, g-1/2)
(左旋, Counterclockwise rotation)
(原子振动频率, Atomic vibration frequency)
(频率, Frequency)
(平衡轮的周期, Period of a balance wheel)
(振动方程, Oscillation equation)
(扭转系数, Torsion coefficient)
(振动的分解, Decomposition of Vibration)
(音叉, Tuning fork)
(同方向同频率的简谐振动, Harmonic oscillations with the same direction and frequency)
(液体柱的运动微分方程, Differential equation of liquid column motion)
(相对改变, Relative change)
(临界阻尼, Critical Damping)
(B-52, B-52)
(质量为25kg的木块, A block with a mass of 25kg)
(弹簧振子, Spring oscillator)
(劲度系数为1250N_nT1的弹簧, A spring with a stiffness coefficient of 1250N_nT1)
(微分方程, Differential equation)
(合成振动的轨迹, Trajectory of the composite oscillation)
(静止被释放, Released from rest)
(余弦振动, Cosine oscillation)
(平衡位置, Equilibrium position)
(固有频率, Natural frequency)
(单摆周期, Pendulum period)
(汽车, Car)
(叠加, Superposition)
(弦, String)
(势能, Potential Energy)
(速度振幅, Velocity amplitude)
(固体, Solid)
(弹簧的劲度系数, Spring constant)
(活塞, Piston)
(位移共振, Displacement Resonance)
(Ag的更髙次项小量, Higher order terms of Ag)
(小阻尼, Small Damping)
(物体, Object)
(钟的准确性与温度, Accuracy of a clock and temperature)
(谐振动, Harmonic oscillation)
(拍频, Beat Frequency)
(螺旋形弹簧, Spiral spring)
(单摆的周期, Period of a pendulum)
(小球, Ball)
(周期, Period)
(机械振动, Mechanical vibration)
(受迫振动, Forced Vibration)
(振幅比, Amplitude ratio)
(振幅衰减, Amplitude decay)
(耦合双振子系统, Coupled double pendulum system)
(冲压喷气发动机, Ramjet engine)
(右旋, Clockwise rotation)
(耦合振子, Coupled oscillators)
(碗底, Bowl bottom)
(振动频率, Vibration frequency)
(自由度, Degrees of freedom)
(振动系统, Oscillation system)
(位移, Displacement)
(最大频率, Maximum frequency)
(阻尼振动, Damped Vibration)
(振动周期, Vibration period)
(大阻尼, Large Damping)
(地球, Earth)
(单摆, Pendulum)
(合振动, Combined oscillation)
(角频率, Angular frequency)
(弹簧, Spring)
(简化, Simplification)
(U+Ag)_1/2展开, Expansion of U+Ag)_1/2)
(初始振幅和相位, Initial amplitude and phase)
(合振动的初相位, Initial phase of combined oscillation)
(频率测量, Frequency measurement)
(频率方程, Frequency equation)
(等效劲度系数, Equivalent spring constant)
(简谐振动, Simple Harmonic Motion)
(小阻尼, Small damping)
(固定轴, Fixed axis)
(g4/2Ag, g4/2Ag)
(李萨如图形, Lissajous Figure)
(合振动振帳, Zero amplitude of the combined oscillation)
(合振动振幡, Maximum amplitude of the combined oscillation)
(坐标, Coordinate)
(合成运动, Composite motion)
(初相, Initial phase)
(砝码, Weight)
(速度, Velocity)
(摆动, Swing)
(能量动能, Kinetic Energy)
(选择题, Multiple Choice)
(摆长, Pendulum length)
(运动微分方程, Differential Equation of Motion)
(相位, Phase)
(质点的谐振动, Harmonic oscillation of a particle)
(时间, Time)
(最大速率, Maximum velocity)
(简正振动模式, Normal mode of vibration)
(转动惯量, Moment of inertia)
(简正频率, Normal frequencies)
(火箭推进器, Rocket booster)
(t时的位移, Displacement at time t)
(相互垂直的两个简谐振动的合成, Composite of Perpendicular Simple Harmonic Vibrations)
(周期性外力, Periodic external force)
(阻尼振动的角频率, Angular frequency of damped oscillation)
(最大加速度, Maximum acceleration)
(简正振动, Normal modes)
(合振动的振幅, Amplitude of combined oscillation)
(重力加速度, Gravity acceleration)
(悬挂轴, Suspension axis)
(单摆, Simple pendulum)
(最短时间, Shortest time)
(谐振动系统的动能和势能, Kinetic and potential energy of harmonic oscillation system)
(阻尼因子, Damping factor)
(初始条件, Initial Conditions)
(加速度振幅, Acceleration amplitude)
(旋转矢量表示, Rotational Vector Representation)
(直角均质细杆, Right-angled homogeneous rod)
(X-43A极速飞机, X-43A hypersonic aircraft)
(振幅, Amplitude)
(拉力, Tension)
(谐振动, Harmonic motion)
(宝钢的振动选煤机, Vibration coal selector of Baosteel)
(速度共振, Velocity Resonance)
(复摆的周期, Period of a compound pendulum)
(振动方程, Vibration equation)
(总机械平均能量, Total Mechanical Average Energy)
(线性振动, Linear vibration)
(分离, Separation)
(物理方面, Physical aspect)
(角频率, Angular Frequency)
(月球, Moon)
(半径, Radius)
(角加速度, Angular acceleration)
(细杆, Rod)
(质量, Mass)
(U+Ag)~1/2, U+Ag)~1/2)
(初相位, Initial Phase)
(质点, Particle)
(互相垂直的同频率谐振动, Orthogonal harmonic oscillations with the same frequency)
(简正频率, Natural frequency)
(驱动力角频率, Driving Force Angular Frequency)
(合成振动, Composite Vibration)
(加速度, Acceleration)
(微振动, Micro vibration)
(合振动振幅, Amplitude of the combined oscillation)
