(韦伯, Weber)
(右手螺旋法则, Right-hand Rule)
(铁屑, Iron Filings)
(磁通量的概念, Concept of Magnetic Flux)
(积分, Integration)
(磁通量的计算, Calculation of Magnetic Flux)
(曲面, Surface)
(标量, Scalar)
(法向单位矢量, Normal Unit Vector)
(磁场线, Magnetic Field Lines)
(特斯拉, Tesla)
(闭合曲线, Closed Curve)
(磁通量, Magnetic Flux)
(单位, Unit)
(载流圆线圈, Current-carrying Circular Coil)
(安培, Ampere)
(闭合曲面, Closed Surface)
(磁棒, Magnetic Bar)
(磁感应强度, Magnetic Induction)
(载流长直导线, Current-carrying Straight Wire)
(面积元, Area Element)
(电场线, Electric Field Lines)
(磁场线的定义, Definition of Magnetic Field Lines)
