(相邻明条纹, Adjacent bright fringes)
(测量, Measurement)
(精度, Accuracy)
(明纹条件, Bright fringe condition)
(线膨胀系数, Linear expansion coefficient)
(明纹半径公式, Formula for bright fringe radius)
(待检透镜, Lens under test)
(劈尖夹角, Wedge angle)
(劈尖膜, Wedge film)
(接触, Contact)
(光学干涉, Optical interference)
(光学元件, Optical element)
(公式, Formula)
(劈尖空气层厚度, Thickness of air wedge)
(暗纹条件, Dark fringe condition)
(曲率半径, Radius of curvature)
(微小角度测量, Measurement of small angles)
(介质的折射率, Refractive index of the medium)
(级数, Order)
(显微镜, Microscope)
(干涉条纹间距, Interference fringe spacing)
(细金属丝的直径, Diameter of the thin metal wire)
(等厚干涉条件, Conditions for equal thickness interference)
(膜层厚度差, Difference in film thickness)
(暗纹半径公式, Formula for dark fringe radius)
(明条纹, Bright fringes)
(微小缺陷, Minor defect)
(平行光, Parallel light)
(干涉条纹, Interference fringes)
(等厚干涉, Equal thickness interference)
(级差, Order difference)
(石英圆环, Quartz ring)
(膨胀系数定义, Definition of expansion coefficient)
(整度, Flatness)
(半波损失, Half-wave loss)
(加工, Processing)
(暗条纹, Dark fringes)
(级次, Order)
(差, Difference)
(等厚干涉方法, Equal thickness interference method)
(直径, Diameter)
(劈尖干涉, Wedge interference)
(折射率, Refractive index)
(薄膜的等厚干涉, Interference of Thin Films)
(透明薄膜, Transparent film)
(膜厚度分布, Thickness distribution of the film)
(牛顿环, Newton's rings)
(棱边, Edge)
(工件表面纹路, Surface pattern of workpiece)
(零级暗纹, Zero-order dark fringe)
(误差, Error)
(波长, Wavelength)
(块规, Gauge block)
(空气层厚度, Thickness of air layer)
(光程差, Optical path difference)
