(振幅, Amplitude)
(共鸣, Resonance)
(共振时的振幅, Amplitude at resonance)
(极大值, Maximum value)
(弹性回复力, Restoring force)
(共振, Resonance)
(振动系统, Vibration system)
(驱动力角频率, Driving force angular frequency)
(相位差, Phase difference)
(周期性外力, Periodic external force)
(阻尼系数, Damping coefficient)
(谐振动, Harmonic vibration)
(共振的应用, Applications of resonance)
(起始条件, Initial conditions)
(角频率, Angular frequency)
(特解, Particular solution)
(稳定的受迫振动, Stable forced vibration)
(速度共振, Velocity resonance)
(二阶线性非齐次常微分方程, Second-order linear nonhomogeneous ordinary differential equation)
(振幅变化曲线, Amplitude variation curve)
(分子振动能谱, Molecular vibrational spectrum)
(受迫振动, Forced vibration)
(非齐次方程, Nonhomogeneous equation)
(共振对系统的影响, Effects of resonance on systems)
(速度振幅, Velocity amplitude)
(驱动力, Driving force)
(速度, Velocity)
(阻力, Damping)
(能量共振, Energy resonance)
(齐次方程, Homogeneous equation)
(运动微分方程, Differential equation of motion)
(通解, General solution)
(旋转矢量法, Rotating vector method)
