(干涉级, interference order)
(等厚条纹, equidistant fringes)
(空气薄膜, air film)
(入射角, incident angle)
(镉红线, cadmium red line)
(物质折射率的测量, measurement of refractive index of material)
(干涉, interference)
(光路长度变化, Change in optical path length)
(空气劈尖, air wedge)
(分光板, beam splitter)
(亮纹, bright fringe)
(平面反射镜, plane mirror)
(视场, field of view)
(待测物质, test substance)
(时间相干性, temporal coherence)
(干涉条纹, interference fringes)
(补偿板, compensating plate)
(微小距离, small distance)
(波长, wavelength)
(长度测量, length measurement)
(波长差, Wavelength difference)
(动臂移动, Arm movement)
(折射率, refractive index)
(观测屏幕, observation screen)
(单色性, Monochromaticity)
(单色平行光, monochromatic parallel light)
(干涉条纹, Interference fringes)
(平面玻璃板, plane glass plate)
(光的干涉原理, principle of interference of light)
(暗纹, dark fringe)
(精度, precision)
(光速, speed of light)
(相干光, coherent light)
(等倾干涉圆纹, Equal inclination interference fringes)
(干涉仪, interferometer)
(平均波长, Average wavelength)
(光程差, optical path difference)
(迈克耳孙干涉仪, Michelson interferometer)
(亮点, bright spot)
(标准米尺, standard meter)
(诺贝尔物理学奖, Nobel Prize in Physics)
(迈克尔孙干涉仪, Michelson interferometer)
(焦平面, focal plane)
(相干光, Coherent light)
(基本原理, basic principle)
(微小物体尺寸, Size of small objects)
(波长差, wavelength difference)
(以太风, ether wind)
(薄膜的厚度, thickness of thin film)
(厚度, thickness)
(钠光, Sodium light)
(双线波长, Doublet wavelength)
(明圆纹, Bright fringes)
(光的波长, wavelength of light)
(光电自动计数器, photoelectric automatic counter)
(入射光波长, Incident light wavelength)
(光波, light wave)
(暗圆纹, Dark fringes)
(透明介质折射率, Refractive index of transparent medium)
(透镜, lens)
(复色光, polychromatic light)
(光程差, Optical path difference)
(光谱的精细结构, fine structure of spectrum)
