(线密度, Linear density)
(对称轴, Axis of symmetry)
(质量分布区域, Region of mass distribution)
(质心, Center of mass)
(对称体系, Symmetric system)
(位置坐标, Position coordinates)
(质量均匀分布, Uniform mass distribution)
(连续分布体, Continuous distribution)
(质点系, System of particles)
(距离, Distance)
(位矢, Position vector)
(重心, Center of gravity)
(质点系, Particle system)
(均匀铁丝, Uniform wire)
(质量元, Mass element)
(质心的动量, Momentum of the center of mass)
(质心位置的计算, Calculation of the position of the center of mass)
(半圆形, Semicircle)
(半径, Radius)
(连线, Line connecting)
(离散分布, Discrete distribution)
(速度, Velocity)
(重力, Gravity)
(质量, Mass)
(质心的总质量, Total mass of the center of mass)
(交点, Intersection)
(动量, Momentum)
(总质量, Total mass)
(动量矢量和, Vector sum of momenta)
