(观测者, Observer)
(动量守恒定律, Law of conservation of momentum)
(惯性系, Inertial frame)
(伽利略相对性原理, Galilean relativity principle)
(时钟, Clock)
(能量守恒定律, Law of conservation of energy)
(伽利略变换, Galilean transformation)
(牛顿定律, Newton's laws)
(速度变换关系, Velocity transformation relationship)
(时空坐标, Spacetime coordinates)
(力学规律, Mechanical laws)
(事件, Event)
(参考系, Reference frame)
(物理学, Physics)
(动力学, Dynamics)
(绝对时间, Absolute time)
(相互作用, Interaction)
(角动量守恒定律, Law of conservation of angular momentum)
(速度, Velocity)
(经典力学, Classical mechanics)
(伽利略时空坐标变换式, Galilean spacetime coordinate transformation)
(质量, Mass)
(等价, Equivalent)
(质点, Particle)
(守恒定律, Conservation laws)
(运动描述, Description of motion)
(运动学, Kinematics)
(坐标, Coordinates)
(变换关系, Transformation relationship)
(加速度变换关系, Acceleration transformation relationship)
(逆变换, Inverse transformation)
