(振幅, Amplitude)
(波源, Wave source)
(探针, Probe)
(频率, Frequency)
(相互加强点, Mutual reinforcement point)
(减弱线, Weakening line)
(相消, Destructive interference)
(相位差, Phase difference)
(相干, Coherence)
(能量, Energy)
(§13.8, Section 13.8)
(干涉相长处, Interference constructive point)
(干涉相消处, Interference destructive point)
(波强, Wave intensity)
(水波演示干涉现象装置, Water wave interference demonstration device)
(相长, Constructive interference)
(波程差, Path difference)
(波速, Wave speed)
(合成波, Composite wave)
(干涉现象, Interference phenomenon)
(驻波, Standing Wave)
(波峰, Crest)
(相干波, Coherent wave)
(能量守恒, Conservation of energy)
(相干水波, Coherent water waves)
(声干涉仪, Acoustic interference instrument)
(叠加, Superposition)
(波的干涉, Interference of waves)
(波谷, Trough)
(平面简谐波, Plane harmonic wave)
(相遇, Encounter)
(平面余弦波, Plane cosine wave)
(思考题13.33图, Exercise 13.33 Figure)
(相消干涉, Destructive interference)
(非相干波, Incoherent waves)
(加强线, Reinforcement line)
(波动方程, Wave equation)
(相干结果, Coherent result)
(分布, Distribution)
(强度, Intensity)
(干涉现象的条件, Conditions for interference phenomenon)
(声波, Sound wave)
(声速, Speed of sound)
(空气, Air)
(相长干涉, Constructive interference)
(相位公式, Phase formula)
(波程, Path difference)
(波长, Wavelength)
(相互减弱点, Mutual weakening point)
(合强度, Total intensity)
