(次级明纹, Secondary maximum)
(单缝衍射, Single slit diffraction)
(衍射角, Diffraction angle)
(凹光栅, Concave grating)
(物镜直径, Objective lens diameter)
(望远镜, Telescope)
(光源波长, Wavelength of the light source)
(圆心角, Central angle)
(相位差, Phase difference)
(分辨本领, Resolution capability)
(透镜, Lens)
(最小分辨角的大小, Size of the minimum resolvable angle)
(反射光栅, Reflection grating)
(衍射明条纹, Bright fringes in diffraction)
(衍射暗条纹, Dark fringes in diffraction)
(光强, Intensity)
(单色仪, Monochromator)
(半角宽度, Half-angle width)
(光强公式, Intensity formula)
(多边形, Polygon)
(斜入射情况下的衍射条纹, Diffraction fringes in oblique incidence)
(双星, Binary stars)
(入射光的波长, Wavelength of the incident light)
(衍射效应, Diffraction effect)
(振幅叠加方法, Amplitude superposition method)
(全息光栅, Holographic grating)
(惠更斯-菲涅耳原理, Huygens-Fresnel principle)
(人眼的最小分辨角, Minimum resolution angle of the human eye)
(望远镜口径, Telescope aperture)
(艾里斑, Airy disk)
(菲涅尔衍射, Fresnel diffraction)
(光强, Light intensity)
(二维光栅, Two-dimensional grating)
(入射光波波长, Wavelength of incident light waves)
(月球表面, Lunar surface)
(衍射图样, Diffraction pattern)
(角宽度, Angular width)
(瑞利判据, Rayleigh criterion)
(干涉, Interference)
(单缝夫琅禾费衍射, Single slit Fraunhofer diffraction)
(合成振动的振幅, Amplitude of the composite vibration)
(瞳孔直径, Pupil diameter)
(光振动, Light vibration)
(临界距离, Critical distance)
(最小线距离, Minimum line distance)
(放大率, Magnification)
(白光, White light)
(同心明环和暗环, Concentric bright and dark rings)
(衍射现象, Diffraction phenomenon)
(夫琅禾费衍射, Fresnel diffraction)
(可见光, Visible light)
(明亮的圆斑, Bright central spot)
(光学仪器的分辨本领, Resolution capability of the optical instrument)
(地日距离, Distance between Earth and Sun)
(电子束, Electron beam)
(衍射光栅, Diffraction grating)
(蓝光, Blue light)
(缝宽, Slit width)
(电子显微镜, Electron microscope)
(红光, Red light)
(波长, Wavelength)
(线距离, Line distance)
(单狭缝, Single slit)
(一维光栅, One-dimensional grating)
(式(15.63), Equation (15.63))
(光学显微镜, Optical microscope)
(夫琅禾费圆孔衍射, Fraunhofer diffraction of circular aperture)
(波长关系, Relationship between wavelengths)
(角间距, Angular separation)
(透射光栅, Transmission grating)
(仪器成像质量, Imaging quality of instruments)
(光强分布特点, Characteristics of light intensity distribution)
(线宽度, Line width)
(光的波动性, Wave nature of light)
(衍射屏, Diffraction screen)
(视网膜, Retina)
(声波, Sound wave)
(光学仪器的孔径, Aperture of the optical instrument)
(光程差, Optical path difference)
(眼睹, Perceive)
(圆孔直径, Diameter of the aperture)
(艾里斑的半径, Radius of Airy disk)
(衍射, Diffraction)
(透镜焦距, Lens focal length)
(暗纹条件, Dark fringe condition)
(圆心, Center of the circle)
(透镜口径, Lens aperture)
(地月距离, Distance between Earth and Moon)
(明纹, Bright fringe)
(超越方程, Transcendental equation)
(最小分辨角, Minimum resolvable angle)
(最小分辨角的计算, Calculation of the minimum resolvable angle)
(三维光栅, Three-dimensional grating)
(分辨率, Resolution)
(夫琅禾费衍射, Fraunhofer diffraction)
(光学精密测量仪器, Optical precision measuring instrument)
(波面, Wavefront)
(次波源, Secondary source)
(半径, Radius)
(迎面驶来的汽车的两盏前灯相距, The distance between the two headlights of an oncoming car)
(光谱仪, Spectrometer)
(光轴方向, Optical axis direction)
(衍射极小, Diffraction minima)
(明纹宽度, Width of bright fringes)
(衍射因子, Diffraction factor)
(垂直入射, Vertical incidence)
(振幅矢量叠加, Amplitude vector superposition)
(无线电波, Radio wave)
(主极大, Principal maximum)
(暗纹之间的距离, Distance between dark fringes)
