(能量转化, energy conversion)
(热量, heat)
(摩尔热容与温度关系, relationship between molar heat capacity and temperature)
(体积变化, Volume Change)
(热运动, Thermal motion)
(作功, Work)
(热力学系统, Thermodynamic System)
(内燃机, Internal combustion engine)
(功, Work)
(热量, Heat)
(外界, External environment)
(态, State)
(气体, Gas)
(理想气体, ideal gas)
(体积, Volume)
(体积, volume)
(位移, Displacement)
(功, work)
(定体摩尔热容, constant volume molar heat capacity)
(温度变化, temperature change)
(内能, Internal energy)
(系统, system)
(过程量, process quantity)
(外界, surroundings)
(能量传递, energy transfer)
(等体过程, isochoric process)
(内能增量, Change in Internal Energy)
(压强, pressure)
(定压摩尔热容, constant pressure molar heat capacity)
(体积功, Volume work)
(放热, heat release)
(能量交换, energy exchange)
(机械能, Mechanical Energy)
(系统, System)
(温度, Temperature)
(准静态过程, Quasi-static Process)
(P-F图, P-V diagram)
(外界对系统作功, Work Done by the Surroundings on the System)
(吸热, heat absorption)
(压强, Pressure)
(机械能, Mechanical energy)
(传热, Heat Transfer)
(热运动状态, Thermal Motion State)
(活塞, Piston)
(体积功, volume work)
(摩尔热容, molar heat capacity)
(准静态过程, Quasi-static process)
(关系式, relationship equation)
(准静态过程, quasi-static process)
(状态函数, State Function)
(比热, specific heat)
(过程量, Process quantity)
(蒸汽机, Steam engine)
(总功, Total work)
(温度, temperature)
(内能, Internal Energy)
(状态函数, state function)
(等压过程, isobaric process)
(理想气体, Ideal Gas)
(气缸, Cylinder)
