(振幅, Amplitude)
(斜椭圆轨迹, Slanted elliptical trajectory)
(频率, Frequency)
(拍频, Beat frequency)
(初相差, Phase difference)
(相位差, Phase difference)
(圆, Circle)
(谐振动, Harmonic vibration)
(同频率相互垂直的谐振动, Harmonic oscillations with the same frequency and mutually perpendicular)
(受迫振动, Forced vibration)
(相互垂直的谐振动, Mutually perpendicular harmonic oscillations)
(非周期运动, Non-periodic motion)
(阻尼振动, Damped vibration)
(斜椭圆, Slanted ellipse)
(椭圆轨迹, Elliptical trajectory)
(直线轨迹, Straight line trajectory)
(合成运动, Composite motion)
(拍, Beating)
(天体力学, Celestial mechanics)
(正圆轨迹, Circular trajectory)
(合成运动, Synthetic motion)
(李萨如图, Lissajous figure)
(谐振动, Harmonic oscillation)
(正椭圆, Ellipse)
(闭合曲线, Closed curve)
(轨迹方程, Trajectory equation)
(合成, Synthesis)
(分解, Decomposition)
