(电介质板, Dielectric plate)
(各向同性均匀电介质, Isotropic homogeneous dielectric)
(电介质, Dielectric)
(分界面上的极化电荷面密度, Polarization charge surface density on the interface)
(区域, Region)
(式(8.5), Equation (8.5))
(极化电荷面密度, Polarization charge surface density)
(自由电荷分布, Free charge distribution)
(电位移矢量D, Electric displacement vector D)
(电容率, Permittivity)
(拉进, Pull in)
(电力, Electric force)
(电位移通量, Electric displacement flux)
(高斯定理, Gauss's theorem)
(电位移, Electric displacement)
(电势差, Potential difference)
(电介质的极化现象, Polarization phenomenon of dielectric)
(自由电荷, Free charge)
(平行板电容器, Parallel plate capacitor)
(极化电荷, Polarization charge)
(电场强度, Electric field strength)
(推出, Push out)
(电介质中电场强度分布, Distribution of electric field strength in dielectric)
(自由电荷与极化电荷的差别, Difference between free charge and polarization charge)
(导体的静电感应现象, Static induction phenomenon of conductor)
