(高压水枪, High-pressure water gun)
(守恒条件, Conservation condition)
(木板地, Wooden floor)
(质心运动定理, Center of mass motion theorem)
(坐标系, Coordinate system)
(加速行驶的汽车, Accelerating car)
(质点系, System of particles)
(外层空间, Outer space)
(软梯, Ladder)
(总动量, Total momentum)
(合外力, Net external force)
(最大速度, maximum velocity)
(真空, Vacuum)
(火箭点火, Rocket ignition)
(系统, System)
(玻璃杯, Glass cup)
(动量守恒, Conservation of momentum)
(墙面对水柱的作用力, Force of the wall on the water column)
(国土资源卫星, Land resources satellite)
(动量定理, Principle of momentum)
(物理问题, Physics problem)
(长征系列火箭, Long March rockets)
(冲量, Impulse)
(火箭脱落, Rocket separation)
(地球引力, gravity)
(物体, Object)
(助燃剂, oxidizer)
(圆锥面, Conical surface)
(火箭, rocket)
(速率, Velocity)
(大船, Big ship)
(风云气象卫星, Fengyun meteorological satellite)
(空气阻力, air resistance)
(水泥地板, Concrete floor)
(现代火箭技术, Modern rocket technology)
(速率, velocity)
(捆绑式火箭, Strap-on rocket)
(拉, Pull)
(普遍性, Universality)
(空中翻转, Mid-air flip)
(质量, mass)
(牛顿定律, Newton's laws)
(分量式, Component formula)
(小船, Small boat)
(人水, Water entry)
(岸, Shore)
(速度, Velocity)
(运动员, Athlete)
(动量定理, Momentum theorem)
(动量, Momentum)
(火箭, Rocket)
(动量守恒定律, Law of conservation of momentum)
(静止状态, Resting state)
(动量守恒定律, law of conservation of momentum)
(支架, Support)
(细线, String)
(载人飞船, Manned spacecraft)
(爬, Climb)
(牛顿第三定律, Newton's third law)
(运动位移, displacement)
(动力学问题, Dynamics problem)
(质点系, Particle system)
(受力分析, Force analysis)
(反冲推力, thrust)
(悬浮, Suspension)
(动量定理式, Momentum theorem)
(动能, Kinetic energy)
(弧形槽面, arc-shaped groove)
(多级火箭, Multi-stage rocket)
(飞溅速率, Splashing rate)
(喷出截面积, Ejected cross-sectional area)
(喷气式飞机, Jet plane)
(内力, Internal force)
(滑槽, slide)
(起跳, Takeoff)
(动量守恒定律, Law of Conservation of Momentum)
(距离, Distance)
(子压进去, Submerge)
(跳水, Diving)
(外力, External force)
(伽利略速度变换定理, Galilean velocity transformation theorem)
(滑槽, Slide)
(科学探测卫星, Scientific exploration satellite)
(现象, Phenomenon)
(作用力, Action force)
(研究对象, Research object)
(人造地球卫星, Artificial Earth satellite)
(动力学, Dynamics)
(燃料烧完, Fuel depletion)
(机械能, Mechanical energy)
(断裂, Fracture)
(气球, Balloon)
(质量, Mass)
(质点, Particle)
(广播通信卫星, Broadcast communication satellite)
(质量比, mass ratio)
(燃料, fuel)
(航天事业, Space industry)
(单级火箭, Single-stage rocket)
(沙土地, Sandy ground)
(末速度, Final velocity)
