(电场线, electric field line)
(试验电荷, test charge)
(静电场的高斯定理, Gauss's theorem for static electric field)
(电场力, Electric field force)
(法向距离, normal distance)
(电势, Electric potential)
(电偶极子, Electric dipole)
(电势, electric potential)
(匀强电场, Uniform electric field)
(等势面, equipotential surface)
(功, work)
(电势差, Electric potential difference)
(电荷分布, Charge distribution)
(电场强度的定义式, Definition of electric field strength)
(电偶极子, electric dipole)
(闭合曲面积分, Closed surface integral)
(矢量关系式, vector relationship)
(点电荷产生的电场强度, Electric field strength produced by point charge)
(梯度, gradient)
(静电场的高斯定理, Gauss's theorem for static electric fields)
(电场强度的叠加原理, Superposition principle of electric field strength)
(位移, displacement)
(电势能, Electric potential energy)
(直角坐标, rectangular coordinates)
(分量, component)
(高斯定理, Gauss's theorem)
(电势差, Potential difference)
(力矩, Torque)
(电场强度, Electric field strength)
(等势面, Equipotential surface)
(静电场, Static electric field)
(点电荷产生的电场强度, Electric field strength produced by a point charge)
(微分关系, differential relationship)
(积分关系, integral relationship)
(电场力, electric field force)
(场强, field strength)
