(球面波, spherical wave)
(可见度, visibility)
(干涉, interference)
(距离, distance)
(光源线度, light source width)
(波程差, Optical path difference)
(菲涅耳双面镜干涉实验, Fresnel double-sided mirror interference experiment)
(杨氏双缝实验, Young's double-slit experiment)
(明条纹, bright fringe)
(夹角, angle)
(镜像对称性, mirror symmetry)
(干涉条纹, interference fringes)
(反射镜, Reflecting mirror)
(半波损失的条件, Conditions for half-wave loss)
(光源, light source)
(普通平板玻璃, Ordinary flat glass)
(线光源, line source)
(两镜交线, intersection of the two mirrors)
(空间相干性, spatial coherence)
(波长, wavelength)
(湖面, Lake surface)
(杨氏干涉实验, Young's interference experiment)
(波前, wavefront)
(菲涅耳双镜干涉实验, Fresnel biprism interference experiment)
(干涉装置, interference device)
(光波叠加图, superposition of light waves)
(光源的极限宽度, limiting width of the light source)
(明条纹和暗条纹, Bright fringes and dark fringes)
(分波前干涉, Division of wavefront interference)
(干涉条纹, Interference fringes)
(点光源, point source)
(相位差, phase difference)
(双缝间隔, distance between the double slits)
(屏, screen)
(入射角, Incident angle)
(相干光, coherent light)
(天线, Antenna)
(劳埃德镜, Lloyd's mirror)
(光程差, optical path difference)
(缝光源的长度限制, limitation on the length of the slit light source)
(滤光片, filter)
(干涉图样的可见度, Visibility of interference patterns)
(地平线, Horizon)
(光瀑笼, light slits)
(半波损失, Half-wave loss)
(相干光, Coherent light)
(菲涅耳双面镜实验, Fresnel's double-sided mirror experiment)
(波程差, path difference)
(光程, optical path length)
(相对位移, relative displacement)
(干涉条纹的明亮度, brightness of interference fringes)
(光束, Light beam)
(缝光源的宽度限制, limitation on the width of the slit light source)
(掠射角, Grazing angle)
(虚光源, Virtual light source)
(劳埃德镜实验, Lloyd's mirror experiment)
(干涉明条纹, Interference fringes)
(菲涅耳双面镜干涉, Fresnel double-mirror interference)
(干涉条纹间距公式, Formula for interference fringe spacing)
(屏幕, Screen)
(反射镜, mirror)
(干涉条纹的可见度, visibility of interference fringes)
(湖岸, Lake shore)
(杨氏干涉装置, Young's interference apparatus)
(恒星, Star)
(光波的空间相干性, Spatial coherence of light waves)
(缝光源, slit light source)
(缝光源与点光源, slit light source vs point light source)
(波长, Wavelength)
