(电阻, Resistance)
(静电力, static force)
(交流电, Alternating current)
(并排放着, placed side by side)
(勻强磁场, uniform magnetic field)
(矢量, Vector)
(线圈, coil)
(弧长, Arc length)
(频率, Frequency)
(转动线圈, Rotating coil)
(感应电动势, induced electromotive force)
(导体线圈, conductor coil)
(水平放置线圈, horizontally placed coil)
(积分, Integration)
(圆心角, Central angle)
(电子, electron)
(功, work)
(有旋电场, rotating electric field)
(磁铁, magnet)
(动生电动势, Induced electromotive force)
(导体回路, conductor circuit)
(矢积, Vector product)
(电键, switch)
(关系式, relationship)
(通电回路, electric circuit)
(可变电阻, variable resistor)
(方向, direction)
(切割磁力线运动, cutting magnetic field lines motion)
(圆形线圈, Circular coil)
(直导线, straight wire)
(磁场随时间变化, magnetic field changes with time)
(圆盘发电机, disk generator)
(动生电动势, induced electromotive force)
(大小, magnitude)
(半径, Radius)
(匀角速度, Uniform angular velocity)
(电势, potential)
(磁场线, Magnetic field lines)
(感应电流, induced current)
(自由电荷, free charge)
(条形磁铁, bar magnet)
(夹角关系, Angle relationship)
(感生电动势, induced electromotive force)
(电源, power source)
(电接触, electrical contact)
(导体圆回路, conductor circular loop)
(感应电流的方向, direction of induced current)
(电流, Current)
(洛伦兹力, Lorentz force)
(感应电动势, Induced electromotive force)
(法拉第电磁感应定律, Faraday's law of electromagnetic induction)
(速度, velocity)
(周期, Period)
(感应电动势随时间的变化曲线, curve of induced electromotive force with time)
(运动导线, Moving wire)
(标积, Scalar product)
(导体杆, conductor rod)
