(uud, uud)
(渐进自由理论, asymptotic freedom theory)
(粒子的分类, Classification of particles)
(Ca, Calcium)
(高能加速器, high-energy accelerator)
(守恒情况, Conservation situation)
(频率, Frequency)
(夸克模型, Quark model)
(能量的共振吸收, Resonant absorption of energy)
(能量, Energy)
(无共振吸收, No resonant absorption)
(t子, top quark)
(核物质的平均密度, Average density of nuclear matter)
(质子, Proton)
(静止能量, Rest energy)
(UBS^, UBS^)
(J/ψ粒子, J/ψ particle)
(轻子, Lepton)
(两弹一艇, Two Bombs, One Satellite)
(原子核的结合能, binding energy of atomic nuclei)
(色荷, color charge)
(发射7射线, Emission of 7 rays)
(反冲吸收, Recoil absorption)
(中子散射实验, Neutron scattering experiment)
(动量守恒, Conservation of momentum)
(因子, Factor)
(过程是否可能发生, Whether the process is possible)
(光子, Photon)
(原子核的基本性质, basic properties of atomic nuclei)
(电荷数, charge number)
(电磁相互作用, Electromagnetic interaction)
(+n—jx_+p, +n—jx_+p)
(双环改造, double-ring upgrade)
(奇异粒子, strange particle)
(dds, dds)
(粒子物理, Particle physics)
(A—?!!+-y, A—?!!+-y)
(BESIII, Beijing Spectrometer III)
(量子力学基本知识, Basic knowledge of quantum mechanics)
(中子, Neutron)
(共振态粒子, resonance particles)
(Ge, Germanium)
(udd, udd)
(it-+p—*>K0+x, it-+p—*>K0+x)
(强相互作用, Strong interaction)
(强度, Intensity)
(铁原子, Iron atom)
(髙频磁场, High-frequency magnetic field)
(Mg, Mg)
(平均生存时间, Average survival time)
(磁矩, magnetic moment)
(H—A0+7T, H—A0+7T)
(夸克, Quark)
(K°, K°)
(弱相互作用, Weak interaction)
(51Fe, 51Fe)
(第六种夸克, top quark)
(角动量守恒, Conservation of angular momentum)
(光子的能级宽度, Photon energy level width)
(Z+, Z+)
(核磁矩, Nuclear magnetic moment)
(反应堆工程和材料, Reactor engineering and materials)
(t子物理, top quark physics)
(粒子的基本属性, basic properties of particles)
(夸克, quark)
(运动速率, Motion rate)
(重子数守恒, Conservation of baryon number)
(能级宽度, Energy level width)
(质量数, mass number)
(反冲能量, Recoil energy)
(粒子间相互作用, Particle interactions)
(能量守恒, Conservation of energy)
(核物理实验, Nuclear physics experiment)
(探测器, detector)
(费米子, Fermion)
(Z'A, Z'A)
(粲数C, charm number)
(uus, uus)
(强相互作用力, strong interaction)
(14.4IceV的光子, Photon of 14.4IceV)
(核磁共振法, Nuclear Magnetic Resonance)
(反质子, Antiproton)
(自由的37Fe, Free 37Fe)
(ddd, ddd)
(轻子数守恒, Conservation of lepton number)
(U, U)
(结合能, Binding energy)
(A°粒子, A° particle)
(守恒定律, Conservation laws)
(核自旋, nuclear spin)
(核子, Nucleon)
(核磁共振, nuclear magnetic resonance)
(粲夸克, charm quark)
(x是什么粒子, What particle is x)
(恒定磁场, Constant magnetic field)
(激发态, Excited state)
(原子核, Atomic nucleus)
(穆斯堡尔效应, Mössbauer effect)
(强相互作用反应, Strong interaction reaction)
(t-粲物理实验, t-charm physics experiment)
(重子, Baryon)
(盖耳曼, Gell-Mann)
(uds, uds)
(核裂变, nuclear fission)
(军用放射性同位素, Military radioactive isotopes)
(强子, Hadron)
(功率, Power)
(反粒子, antiparticles)
(同位旋, Isospin)
(原子能, Atomic energy)
(磁特性, Magnetic properties)
(UUU, UUU)
(Tu, Tu)
(同位旋守恒, Conservation of isospin)
(反夸克, Antiquark)
(无反冲吸收, No recoil absorption)
(介子, meson)
(顶数, topness)
(实验研究反应堆, Experimental research reactor)
(中子活化分析, Neutron activation analysis)
(基态, Ground state)
(重要标志, Important symbol)
(tt+-?jul++x, tt+-?jul++x)
(电荷守恒, Conservation of charge)
(相对线宽, Relative line width)
(K+, K+)
(中子数, neutron number)
(亮度, luminosity)
(色量子数, color charge)
(静止的5^粒子, Stationary 5^ particle)
(氧, oxygen)
(e'-?v,+-y, e'-?v,+-y)
(附录I, Appendix I)
(强子结构的夸克模型, quark model of hadrons)
(北京正负电子对撞机, Beijing Electron-Positron Collider)
(晶体, Crystal)
(奇异数, Strangeness)
(奇夸克S, strange quark)
(p+p—+x, p+p—+x)
(核聚变, nuclear fusion)
(F, F)
(原子核的半径, radius of atomic nuclei)
(+n—e+p, +n—e+p)
(ir+, ir+)
(粒子物理, particle physics)
(D, D)
(胶子, gluon)
(放射性计量标准, Radiometric measurement standards)
(重水研究反应堆, Heavy water research reactor)
(引力子, Graviton)
(放射性同位素生产, Production of radioactive isotopes)
(相互作用, Interaction)
(TT+, TT+)
(欧洲核子中心, CERN)
(p+p—?K0+A°+p+x, p+p—?K0+A°+p+x)
(玻色子, Boson)
(规范玻色子, Gauge boson)
(反夸克, antiquark)
(实验室中已观察到的过程, Processes observed in the laboratory)
(北京正负电子对撞机, BEPC)
(速度驱动器, Velocity driver)
(191Ir核, 191Ir nucleus)
(介子, Meson)
(IT*, IT*)
(守恒定律, Conservation law)
(比结合能, Binding energy per nucleon)
(粲夸克c, charm quark)
(粲物理, charm physics)
