(定态不辐射, non-radiation of stationary states)
(电子衍射实验, electron diffraction experiment)
(类氢离子, hydride ion)
(氢原子, hydrogen atom)
(光谱线结构, spectral line structure)
(半经典量子理论, semi-classical quantum theory)
(量子力学, quantum mechanics)
(能级跃迁, energy level transition)
(轨道, orbit)
(玻尔理论, Bohr theory)
(反氢原子, anti-hydrogen atom)
(巴耳末系, Balmer series)
(波粒二象性, wave-particle duality)
(莱曼线系, Lyman series)
(德布罗意, de Broglie)
(量子化条件, quantization condition)
(能级, energy level)
(激发态, excited state)
(谱线强度, spectral line intensity)
(谱线偏振性, spectral line polarization)
(谱线宽度, spectral line width)
(氦离子, helium ion)
