(气体动理论, Kinetic theory of gases)
(每秒, Per second)
(平均自由程, Mean free path)
(麦克斯韦速率分布函数, Maxwell velocity distribution function)
(麦克斯韦速率分布, Maxwell velocity distribution)
(积分, Integral)
(方均根速率, Root mean square velocity)
(分子数比率, Molecular number ratio)
(速率分布函数, Velocity distribution function)
(气体分子运动, Gas molecule motion)
(力, Force)
(物理意义, Physical meaning)
(一化, Normalization)
(平均速率, Average velocity)
(分子总数, Total number of molecules)
(速率区间, Velocity interval)
(米, Meter)
(归一化条件, Normalization condition)
(质量, Mass)
(摩尔质量, Molar mass)
(总分子数, Total number of molecules)
(运动量, Momentum)
(室温, Room temperature)
(最概然速率, Most probable velocity)
(分子数, Number of molecules)
(分子速率, Molecular velocity)
(统计平均值, Statistical average)
(数量级, Order of magnitude)
