(磁感应强度, Magnetic induction intensity)
(定律, Law)
(长度, Length)
(积分, Integration)
(角速度, Angular velocity)
(电源, Power source)
(圆盘发电机, Disk generator)
(导线, Wire)
(动生电动势, Induced electromotive force)
(导线运动, Wire movement)
(实际发电机, Actual generator)
(匀强磁场, Uniform magnetic field)
(回路, Circuit)
(间的电势差, Potential difference between two points)
(电势差公式, Formula for potential difference)
(IAVI, IAVI)
(fi, fi)
(电磁感应, Electromagnetic Induction)
(自由电子, Free electrons)
(稳恒, Steady)
(电势差, Potential difference)
(磁场中转动的线圈, Coil rotating in a magnetic field)
(速度, Velocity)
(方向, Direction)
(闭合导体回路, Closed conductor loop)
(洛伦兹力, Lorentz force)
(感应电动势, Induced electromotive force)
(切割磁场线, Cutting magnetic field lines)
(法拉第电磁感应定律, Faraday's law of electromagnetic induction)
(夹角, Angle)
(积分求解, Integral solution)
(非静电场强, Non-electrostatic field strength)
(补偿法, Compensation method)
(尺, Length)
(基本元件, Basic components)
(垂直, Perpendicular)
(电动势, Electromotive force)
